actual_OCC,coded_OCC,count
220,180,1
001,215,2
041,041,5
470,s220,1
306,s160,2
013,s043,1
s043,043,1
130,620,1
023,001,4
286,324,1
982,204,1
980,001,4
002,004,1
482,215,1
211,211,13
285,023,2
136,001,2
s220,204,2
275,220,2
021,220,1
s220,085,1
276,274,1
651,490,1
220,s220,27
270,636,1
206,260,1
s160,s160,1
043,001,10
182,220,1
160,s160,2
160,s043,1
200,s220,2
283,s043,2
306,220,2
131,132,1
165,s043,1
470,051,2
s220,s220,12
050,s043,2
283,s220,1
220,170,2
012,051,1
200,324,1
035,s043,1
s043,220,1
276,272,1
001,001,107
s980,s980,1
121,121,1
180,180,2
s130,030,1
270,490,1
276,285,1
204,443,1
085,085,2
272,762,1
220,s130,1
161,220,1
286,285,1
021,s043,1
281,001,4
275,306,1
161,001,1
232,200,1
210,270,1
136,s130,1
306,023,1
271,285,4
281,220,2
210,280,1
293,186,1
062,443,1
285,275,5
270,276,1
570,423,1
980,030,1
001,084,3
165,306,4
022,001,1
062,206,1
272,s043,1
275,274,1
s043,136,1
182,182,3
001,s220,1
271,470,1
041,s043,1
276,471,1
s043,306,1
s220,043,1
286,286,2
001,272,2
s043,204,1
270,454,1
271,443,1
240,240,5
285,161,1
210,003,1
001,161,1
171,220,1
161,186,1
s220,275,1
285,215,2
s130,s130,1
186,161,1
043,130,1
022,620,1
174,001,1
306,301,1
s220,232,1
s980,s043,1
292,186,1
220,183,2
281,283,4
306,272,1
001,043,8
285,234,1
980,210,1
s043,001,11
001a,001,5
043,275,3
382,s160,1
220,285,9
073,073,1
280,281,2
270,210,1
136,220,1
s220,001,1
271,260,1
s130,282,1
272,722,1
001,172,1
002,023,1
230,s220,1
165,001,1
172,220,1
980,272,1
274,274,18
043,281,2
382,382,3
260,285,1
210,275,1
005,005,2
023,s043,2
021,722,1
270,274,1
022,130,1
291,291,8
272,443,1
001,s160,1
275,001,2
210,s220,1
240,051,1
132,263,1
001,041,2
292,292,1
220,s160,10
275,280,1
172,172,4
151,151,1
240,001,1
001,722,1
043,052,1
570,461,1
260,220,1
272,001,2
161,s160,4
281,161,1
316,286,1
164,164,2
035,306,2
234,s220,1
275,275,66
232,s220,1
001a,s220,1
272,684,1
002,002,8
204,215,1
050,280,1
003,003,11
s220,286,1
001a,202,1
001a,204,1
285,260,2
283,043,1
071,285,1
006,006,1
283,001,1
470,260,1
021,270,1
043,210,1
021,272,1
220,280,1
272,021,1
023,220,3
043,204,1
s043,s220,2
492,s043,1
161,285,1
282,276,1
316,316,1
023,023,11
s043,210,1
980,002,1
492,492,1
s043,s043,18
021,s160,1
263,270,1
043,270,1
285,306,1
260,270,1
263,260,1
200,200,2
450,450,1
206,206,1
035,215,1
280,275,1
270,285,1
183,183,2
492,001,2
035,035,1
306,324,1
186,s220,7
001,305,1
132,041,1
232,285,1
012,210,1
204,051,1
043,271,1
272,392,2
283,285,8
004,004,3
131,620,1
285,220,4
286,316,1
395,395,1
272,276,1
146,132,1
285,204,1
s043,280,1
280,454,1
220,021,1
123,123,1
270,275,7
204,001,4
305,s043,1
002,263,1
980,s130,1
023,s160,1
220,283,1
283,281,4
293,292,1
186,s160,1
001,210,8
220,182,2
281,280,2
186,285,2
281,285,13
002,272,1
161,281,1
210,s043,5
280,276,1
275,623,1
482,012,4
275,605,1
306,041,1
240,285,1
270,270,43
002,012,1
001,280,1
180,276,1
186,186,19
s043,275,1
285,400,1
s043,260,1
161,161,11
285,470,1
001,186,1
243,215,1
285,186,1
285,283,6
275,043,3
306,285,1
003,215,1
071,s220,1
275,276,1
204,220,1
280,280,12
846,001,1
013,013,1
243,243,1
280,270,1
211,043,1
220,174,1
271,270,2
165,220,2
285,182,1
220,001,9
210,285,1
271,280,1
281,s220,1
283,220,1
400,400,2
204,s043,3
144,144,1
204,202,1
285,454,1
230,280,1
043,211,1
220,136,1
172,s160,2
023,204,1
482,001,2
001a,286,1
281,260,1
174,s160,1
165,s160,5
220,275,4
470,470,6
980,275,1
233,s220,1
202,204,1
002,283,1
980,450,1
211,285,1
275,285,6
263,281,1
271,271,10
232,234,1
085,232,1
423,461,1
275,270,5
272,301,1
100,s220,1
132,s130,1
285,270,4
270,605,1
043,285,3
271,043,1
210,041,1
980,211,1
306,306,21
172,s043,1
285,211,1
220,204,2
260,001,1
161,s043,1
276,260,1
283,283,17
s130,001,1
005,s043,1
043,023,1
204,204,24
285,286,1
454,454,1
270,271,1
204,286,1
170,170,6
023,280,1
122,123,1
371,371,2
154,132,1
276,s980,1
170,220,3
260,260,26
200,285,1
316,324,1
220,260,1
023,002,1
002,610,1
001,021,1
263,263,4
001,275,1
130,001,1
003,001,4
220,172,2
260,275,1
715,392,1
263,132,8
165,023,2
164,161,1
281,s043,2
275,610,1
160,021,1
s220,285,2
231,s220,1
220,161,6
1a,012,1
043,043,31
023,s220,5
271,220,1
160,220,1
043,282,1
276,280,1
275,260,4
275,023,2
380,392,1
1a,s043,2
272,002,1
001a,285,1
285,s043,2
202,202,2
980,215,1
001a,260,1
s043,130,1
204,206,1
003,s043,2
260,132,2
234,274,1
272,280,2
982,285,1
170,s160,1
182,285,1
285,210,1
305,305,1
001a,610,1
s043,610,2
182,306,1
285,s220,16
211,210,1
071,s043,2
275,465,1
202,001,1
286,270,1
423,423,1
220,282,1
023,275,1
220,610,1
285,272,1
001,023,3
102,s130,1
210,210,31
482,050,1
316,285,1
281,043,1
274,s220,1
395,132,1
002,204,1
283,002,1
s043,382,1
s043,042,1
255,255,1
001,s043,28
041,620,2
012,001,6
281,281,24
030,001,1
260,206,1
220,220,47
306,001,2
980,204,1
285,043,1
003,210,1
220,186,16
182,s220,2
001a,003,1
001,211,2
470,052,1
136,136,3
211,215,2
043,s043,12
001a,210,2
186,292,1
031,001,1
210,001,11
272,272,36
161,271,1
012,012,12
s043,041,1
280,001,1
274,270,1
001a,s043,4
023,285,1
s980,084,1
275,s043,3
270,382,1
001,035,1
012,s043,5
204,043,1
400,285,1
382,622,1
271,s043,3
210,260,2
276,275,2
220,123,2
071,071,1
130,130,5
002,001,3
021,021,3
s043,003,1
271,275,1
271,272,2
186,220,10
050,275,1
220,306,4
062,204,1
382,s043,2
s043,215,1
482,023,1
180,275,1
023,170,1
282,282,6
s043,283,1
272,135,1
270,286,1
280,s220,1
980,s980,1
174,174,1
211,001,2
003,243,1
164,001,1
306,s043,1
043,s220,1
280,272,1
285,001,3
006,s043,4
001,002,5
002,164,1
s043,285,1
012,043,1
210,043,2
220,276,1
001,012,6
271,041,1
210,215,2
s220,454,1
275,s220,4
282,220,1
271,161,1
270,282,1
220,023,4
260,s220,3
260,215,1
s220,215,1
043,283,2
285,281,12
031,502,1
291,270,1
276,276,10
395,272,1
183,s220,1
980,s043,2
285,285,81
s043,002,1
003,043,1
s220,260,2
220,s043,8
012,220,1
285,271,1
001,202,1
186,001,3
231,280,1
240,s043,1
s043,012,2
006,282,1
210,012,1
002,s043,8
