actual_OCC,coded_OCC,count
023,490,1
s980,186,1
980,202,1
442,442,1
283,280,1
210,186,2
001,514,1
274,186,3
260,283,2
211,s980,2
450,s220,1
275,286,2
775,743,1
043,161,1
282,001,3
041,041,4
276,375,1
021,204,1
470,440,1
285,280,2
s220,306,1
021,220,2
260,605,2
276,274,2
220,s220,51
282,270,1
043,001,34
980,443,1
161,285,2
174,s160,2
281,132,1
280,454,1
130,490,1
263,210,1
001,485,1
275,053,1
306,041,1
382,012,1
001,160,1
161,281,2
s043,220,6
276,272,1
035,001,5
283,050,2
s980,s980,1
274,286,2
121,121,1
271,281,4
001,054,1
041,001,3
172,001,3
100,220,1
210,211,8
043,043,32
272,762,1
285,121,2
041,052,1
281,001,15
164,465,1
775,s160,1
001,290,1
001a,073,1
204,165,1
270,056,1
271,285,10
210,280,2
204,283,1
021,461,1
062,206,1
275,496,1
570,423,1
980,030,1
001,084,10
293,271,1
270,636,1
022,001,2
220,516,1
285,240,1
123,220,1
003,270,1
210,023,1
s043,136,1
151,021,1
001,s220,14
980,454,1
270,280,2
233,291,1
260,043,1
400,s130,1
275,s130,3
043,021,1
280,002,4
382,043,2
211,204,1
171,220,1
454,613,1
006,470,1
274,465,1
285,215,5
004,001,3
001a,012,2
271,694,1
s043,s160,1
s980,s043,1
276,001,5
170,002,1
220,183,3
001,220,16
141,001,2
283,291,1
002,210,1
980,281,2
470,023,1
160,461,1
980,372,1
s220,001,12
270,012,2
651,291,1
001a,502,1
275,442,1
283,006,1
002,023,2
186,130,1
275,023,4
001,006,1
980,306,1
382,382,5
005,005,3
272,013,1
1a,s043,3
570,001,1
161,204,1
275,001,26
031,021,1
016,003,1
243,270,1
146,s130,1
382,392,1
202,202,2
130,204,1
s043,274,1
174,136,1
043,052,3
316,306,1
182,135,1
230,043,1
172,043,2
211,215,3
001,085,1
164,164,1
170,215,1
232,470,1
023,035,1
043,392,1
001,586,1
450,392,1
272,136,1
050,280,1
270,461,2
180,465,1
043,502,1
021,270,1
005,275,2
006,006,4
382,s220,2
003,130,1
102,130,1
280,483,1
043,512,1
470,s160,2
272,021,1
275,282,2
182,605,1
001a,215,2
276,400,1
050,210,1
s043,210,5
102,s220,1
715,211,1
s043,s043,25
271,215,1
071,743,1
071,490,1
200,461,1
031,043,1
002,605,1
200,200,2
002,011,1
271,382,4
002,002,13
s220,622,1
021,260,2
272,123,1
306,s130,1
306,353,1
281,762,1
280,400,1
003,585,1
041,211,1
220,132,1
283,385,2
263,540,1
161,283,1
271,392,1
260,465,1
275,043,7
012,085,1
220,174,2
540,211,1
043,382,2
186,043,2
283,s980,1
186,145,1
980,s130,2
s043,465,1
285,461,11
292,186,1
454,276,1
005,s043,2
165,301,1
186,285,11
281,285,16
382,372,1
012,260,1
280,306,1
285,220,25
211,021,1
470,593,1
165,325,1
285,460,2
001a,052,2
220,153,1
283,043,5
721,285,1
275,623,1
182,260,1
382,211,2
132,220,1
846,001,1
012,270,1
270,270,40
280,622,1
263,220,2
121,s220,1
274,281,4
291,283,1
285,400,1
282,285,2
305,052,1
275,283,3
285,204,11
285,283,18
230,490,1
003,215,3
071,s220,1
220,465,2
002,610,1
001,502,5
210,s220,3
002,285,3
001a,023,1
271,270,7
035,170,1
001,062,2
174,443,1
006,002,2
280,006,1
272,555,1
281,s220,3
283,220,1
400,400,2
001,551,1
220,160,1
285,180,4
043,211,4
220,136,1
220,605,1
263,512,1
001,210,27
281,130,1
041,490,1
121,s160,1
043,303,1
021,612,1
186,s220,11
102,272,1
305,043,1
470,001,4
263,001,5
285,374,1
285,570,2
371,003,1
276,270,4
280,276,4
442,276,1
085,232,1
482,003,1
132,s130,1
001,286,1
002,283,1
293,292,1
721,s043,1
204,s043,10
980,211,2
172,s043,2
271,620,1
211,496,1
285,442,1
276,260,5
283,283,17
275,350,1
282,306,1
001,011,1
382,285,1
454,454,1
001a,283,1
003,481,1
023,280,2
170,186,2
274,270,1
002,272,3
276,s980,1
170,220,7
260,130,2
200,285,1
220,130,4
023,002,1
275,041,1
004,272,1
s980,001,2
186,210,1
281,186,1
001,051,3
276,276,12
186,465,1
980,043,2
s043,443,2
022,012,2
003,001,18
423,001,1
186,292,1
035,204,1
775,260,1
s043,146,1
s043,325,1
164,161,1
s220,285,6
272,502,1
442,001,1
220,281,4
260,051,1
281,012,1
400,285,2
170,275,1
s130,002,1
001,385,3
160,204,1
141,s160,2
272,002,5
274,276,2
285,s043,12
275,453,1
280,204,1
275,s043,18
285,516,1
272,280,4
982,285,1
186,204,3
186,s043,2
043,271,1
023,281,2
240,465,1
715,s043,1
003,s220,2
001a,610,1
270,423,2
291,260,5
170,012,1
283,460,1
005,001,2
s130,s980,1
001,440,1
305,001,1
002,762,1
275,035,1
220,286,5
285,272,7
001,023,14
170,465,1
280,443,1
271,043,3
306,461,1
220,762,2
1a,084,1
231,496,1
234,023,1
285,562,1
001,285,11
275,180,1
041,620,3
220,374,1
281,281,27
035,353,1
291,263,1
285,132,3
202,385,1
220,051,2
272,006,2
136,136,3
272,215,1
186,382,2
285,182,2
002,001,11
275,626,1
002,263,1
s130,003,1
186,275,1
210,001,30
492,492,1
043,371,1
211,011,1
002,271,1
136,153,1
210,052,2
220,270,2
280,271,1
043,004,1
283,144,1
204,043,4
272,285,6
280,392,1
180,186,1
286,502,1
