actual_OCC,coded_OCC,count
306,285,1
071,s220,1
275,276,1
211,211,7
470,s220,1
306,s160,1
023,285,1
280,280,2
980,272,1
130,620,1
275,275,45
023,001,3
271,270,2
165,220,2
041,s043,2
220,001,2
012,s043,5
281,s220,1
283,220,1
285,281,10
204,s043,1
003,210,1
275,220,1
001,172,1
482,001,1
001a,286,1
281,260,1
276,274,1
220,s220,19
204,001,2
220,180,1
s160,s160,1
043,001,4
220,275,4
160,s160,1
161,285,1
210,275,1
021,s160,1
283,s043,1
233,s220,1
306,220,1
131,132,1
165,s043,1
202,204,1
470,051,4
043,283,1
144,130,1
186,186,10
280,276,1
306,041,1
002,012,1
271,271,1
423,461,1
275,270,1
151,s130,1
200,324,1
161,281,1
285,270,2
002,283,1
001a,210,1
001,001,62
043,285,1
001a,285,1
980,211,1
306,306,15
172,s043,1
154,132,1
276,285,1
001,275,1
286,324,1
281,s043,1
276,260,1
043,043,13
220,s130,1
041,041,2
043,s220,1
204,204,10
285,286,1
281,001,1
172,s160,1
204,286,1
170,170,5
210,270,1
136,s130,3
220,204,1
285,182,1
s043,s043,13
271,285,2
274,270,1
293,186,1
170,220,2
260,260,20
130,130,5
316,324,1
570,423,1
s043,210,1
001,021,1
272,s043,2
276,276,6
220,s043,5
001,s220,1
s043,260,1
982,204,1
s043,306,1
220,172,1
470,470,1
260,275,1
220,170,2
263,132,6
003,204,1
003,043,1
240,240,3
285,161,1
001,161,1
160,021,1
s220,285,2
161,186,1
220,161,5
1a,012,1
283,283,11
186,161,1
023,s220,4
400,285,1
022,620,1
980,210,1
041,620,1
275,260,1
271,051,1
1a,s043,1
292,186,1
043,130,1
220,183,2
281,283,3
980,s043,1
285,s043,2
s220,275,1
s043,001,4
001a,001,2
043,275,2
003,s043,1
272,280,1
102,s130,1
280,281,1
275,285,1
172,172,3
182,285,1
001,043,1
146,132,1
305,305,1
002,023,1
230,s220,1
165,001,2
s130,s130,1
220,276,1
186,220,5
286,270,1
210,215,1
400,400,2
043,281,2
023,204,1
001,210,6
004,s043,3
210,210,24
023,s043,2
161,001,1
270,274,1
281,043,1
022,130,1
272,272,11
291,291,7
001,s160,1
s220,260,2
001,041,1
220,s160,7
161,271,1
012,001,3
281,281,19
030,001,1
220,220,27
570,461,1
306,001,2
001,s043,17
220,186,8
182,s220,2
161,s160,1
281,161,1
285,275,2
012,012,7
005,s043,1
043,s043,6
002,001,4
001,211,1
164,161,1
183,183,2
031,001,1
210,001,6
003,003,3
164,164,1
s043,041,1
182,306,1
285,260,1
283,043,1
165,s160,3
001a,s043,2
023,170,1
283,001,1
275,s043,2
285,023,1
204,043,1
204,220,1
272,021,1
023,220,3
270,286,1
271,s043,1
s043,s220,2
492,s043,1
285,051,1
276,275,1
023,023,7
012,210,1
220,285,5
286,286,1
200,s220,1
021,021,3
043,270,1
200,285,1
285,306,1
071,285,1
282,220,1
263,260,1
186,s220,3
382,s043,2
s043,215,1
035,215,1
982,285,1
270,285,1
282,282,2
s220,286,1
260,285,1
423,423,1
001,305,1
280,s220,1
071,s043,2
272,s130,1
232,285,1
211,001,1
003,243,1
174,s160,1
272,392,2
283,285,6
306,s043,1
131,620,1
280,272,1
s043,s130,1
285,220,2
165,306,3
002,164,1
182,182,3
001,186,1
s043,220,1
012,220,1
s043,130,1
220,021,1
231,s220,1
270,275,4
001,012,4
136,220,1
980,s130,1
240,s043,1
283,281,3
186,s160,2
275,s220,4
220,182,2
281,280,1
186,285,1
050,s043,1
281,285,12
271,161,1
220,023,2
006,s043,2
260,s220,2
210,s043,4
180,180,2
482,012,3
183,s220,1
285,s220,12
274,274,14
285,285,56
243,243,1
161,s043,1
001,280,1
180,276,1
270,270,27
s220,s220,11
s043,275,1
285,400,1
220,306,2
161,161,10
023,275,1
s043,012,2
210,012,1
085,s220,1
001,204,1
285,283,4
275,043,2
220,260,1
002,s043,4
