actual_OCC,coded_OCC,count
306,285,1
161,001,1
275,276,1
001,215,2
211,211,11
470,s220,1
846,001,1
306,s160,1
013,s043,1
172,s160,2
980,272,1
130,620,1
271,270,1
286,324,1
220,001,1
281,s220,1
002,004,1
001a,003,1
280,280,10
204,s043,1
285,234,1
230,280,1
275,220,1
001,172,1
182,220,1
482,001,1
001a,286,1
281,260,1
220,s220,16
204,001,1
206,260,1
001,023,1
165,s160,2
220,275,2
160,s160,1
161,285,1
186,s220,6
200,s220,1
283,s043,1
233,s220,1
272,392,2
202,204,1
470,051,1
043,283,2
240,051,1
186,186,12
050,s043,1
283,s220,1
002,012,1
271,271,6
232,234,1
211,043,1
003,215,1
275,270,3
161,281,1
132,s130,1
272,s043,1
220,204,1
001,001,27
043,285,1
022,130,1
243,215,1
121,121,1
172,s043,1
s130,030,1
001,275,1
165,220,1
283,283,11
220,s130,1
161,220,1
043,023,1
204,204,12
285,286,1
270,271,1
204,286,1
306,306,12
170,170,3
136,s130,1
023,280,1
122,123,1
s043,s043,8
271,285,3
371,371,1
220,180,1
220,043,1
144,144,1
285,275,2
220,123,2
260,260,25
130,130,4
316,324,1
220,260,1
980,030,1
001,084,1
s043,210,1
s043,285,1
263,263,2
220,s043,3
982,204,1
220,172,1
470,470,5
715,392,1
s220,085,1
220,170,1
263,132,6
003,043,1
240,240,5
281,s043,1
210,003,1
s220,285,1
395,132,1
171,220,1
220,161,2
285,215,1
043,043,20
023,s220,2
001,041,1
022,620,1
043,282,1
306,301,1
275,260,1
275,023,2
482,012,1
380,392,1
1a,s043,1
400,285,1
281,283,2
980,s043,1
285,s043,1
151,151,1
043,275,1
003,s043,1
260,132,2
234,274,1
272,280,1
982,285,1
280,281,1
172,172,2
282,220,1
s130,282,1
272,722,1
002,023,1
240,285,1
232,200,1
980,275,1
172,220,1
263,260,1
286,270,1
073,073,1
400,400,1
043,281,1
382,382,3
260,285,1
210,210,21
023,s043,1
482,050,1
021,722,1
272,001,1
281,043,1
274,s220,1
1a,012,1
291,291,6
180,180,1
s043,382,1
270,274,1
255,255,1
220,s160,4
275,280,1
041,620,1
012,001,1
281,281,13
271,041,1
220,220,20
123,123,1
285,043,1
220,186,10
211,215,2
001,043,2
316,286,1
012,012,7
035,306,2
161,s160,2
234,s220,1
043,s043,5
232,s220,1
001,211,1
186,292,1
002,002,1
210,001,1
272,272,21
s220,286,1
164,164,2
285,260,1
071,285,1
001a,s043,1
023,285,1
270,382,1
012,s043,2
285,270,2
204,043,1
041,041,2
220,280,1
270,270,31
023,220,1
043,204,1
271,s043,2
s220,275,1
012,051,1
210,260,1
271,272,1
276,275,1
023,023,5
001,s043,19
220,285,7
200,285,1
286,286,2
001a,210,1
174,174,1
980,210,1
s043,003,1
271,275,1
260,270,1
186,220,4
050,275,1
220,306,2
062,204,1
382,s043,1
001,722,1
035,215,1
280,275,1
270,285,1
282,282,4
492,001,1
136,220,1
270,286,1
292,292,1
071,s043,1
271,470,1
232,285,1
012,210,1
131,132,1
283,285,5
004,004,2
285,220,3
006,s043,3
002,164,1
272,276,1
275,043,1
492,492,1
220,174,1
276,280,1
270,275,5
001,012,2
161,161,4
305,s043,1
210,215,1
085,085,1
220,283,1
293,292,1
272,301,1
001,210,5
281,280,2
003,003,7
186,285,2
281,285,12
271,161,1
002,272,1
220,023,1
260,s220,2
210,s043,3
s220,215,1
280,276,1
285,281,5
276,276,6
285,s220,7
274,274,13
285,285,64
s220,260,2
275,285,4
200,200,2
s220,s220,2
285,271,1
186,001,1
231,280,1
023,275,1
275,275,47
006,282,1
285,186,1
285,283,4
240,s043,1
002,s043,7
