actual_OCC,coded_OCC,count
306,285,1
186,220,2
286,270,1
275,276,1
274,274,10
043,281,1
001,210,3
210,210,16
023,s043,1
161,001,1
130,620,1
270,274,1
281,043,1
022,130,1
272,272,4
165,220,1
281,283,1
043,s043,1
382,s043,1
470,s220,1
281,s220,1
211,211,6
220,306,1
280,280,2
282,220,1
043,283,1
281,281,8
275,220,1
001,172,1
232,285,1
220,220,12
260,285,1
220,s220,9
281,260,1
001,s043,9
220,186,4
204,001,1
001,211,1
164,164,1
165,s160,1
220,275,2
s220,s220,1
161,285,1
012,210,1
233,s220,1
470,051,1
282,282,1
272,392,2
202,204,1
003,003,2
s220,286,1
012,012,4
285,260,1
280,276,1
071,285,1
220,161,2
275,270,1
285,270,1
161,281,1
220,180,1
285,285,45
286,324,1
023,275,1
043,285,1
186,s220,2
306,306,7
172,s043,1
023,023,3
172,s160,1
275,275,28
001,275,1
200,285,1
s043,s043,3
400,400,1
283,283,6
980,210,1
220,s130,1
204,204,6
285,286,1
263,260,1
204,043,1
204,286,1
291,291,5
170,170,3
136,s130,1
035,215,1
270,285,1
276,275,1
271,285,2
172,172,1
270,286,1
071,s043,1
260,260,19
130,130,4
316,324,1
220,260,1
131,132,1
283,285,4
s043,210,1
180,180,1
470,470,1
272,s043,1
285,220,2
006,s043,1
276,276,3
220,s043,2
220,s160,2
275,043,1
281,280,1
982,204,1
270,275,3
001a,286,1
286,286,1
220,170,1
263,132,3
003,043,1
240,240,3
136,220,1
001,012,1
186,285,1
980,272,1
281,285,11
002,s043,2
1a,012,1
043,043,7
271,161,1
023,s220,1
400,285,1
022,620,1
260,s220,1
210,s043,2
1a,s043,1
271,270,1
285,281,4
285,s043,1
002,164,1
023,285,1
980,s043,1
270,270,19
002,012,1
023,220,1
220,285,3
s220,260,2
982,285,1
186,186,5
161,161,4
240,s043,1
s220,285,1
002,023,1
285,s220,6
285,283,2
s220,275,1
001,001,14
