actual_OCC,coded_OCC,count
001,215,2
285,281,11
470,s220,1
306,s160,2
013,s043,1
130,620,1
023,001,3
286,324,1
982,204,1
286,286,2
002,004,1
280,280,10
275,220,1
001,172,1
s220,085,1
276,274,1
220,s220,26
206,260,1
043,001,4
182,220,1
160,s160,2
161,285,1
200,s220,2
280,275,1
306,220,1
131,132,1
165,s043,1
470,051,4
050,s043,2
283,s220,1
002,012,1
200,324,1
161,281,1
270,285,1
001,001,75
121,121,1
180,180,2
s130,030,1
276,285,1
001,275,1
043,043,26
220,s130,1
281,001,1
161,001,1
395,132,1
210,270,1
136,s130,3
285,182,1
271,285,3
023,023,9
144,144,1
s220,285,2
570,423,1
980,030,1
001,084,1
165,306,3
s043,285,1
272,s043,2
182,182,3
001,s220,1
271,470,1
041,s043,2
470,470,5
220,170,2
003,204,1
003,043,1
240,240,5
285,161,1
161,220,1
001,161,1
171,220,1
161,186,1
285,215,1
021,021,3
186,161,1
043,130,1
022,620,1
980,210,1
306,301,1
292,186,1
220,183,2
281,283,4
281,161,1
s043,001,4
001a,001,2
043,275,3
220,285,9
280,281,2
136,220,1
146,132,1
282,220,1
s130,282,1
272,722,1
002,023,1
230,s220,1
980,275,1
165,001,2
172,220,1
980,272,1
274,274,17
043,281,2
382,382,3
260,285,1
210,275,1
271,051,1
023,s043,2
240,285,1
021,722,1
270,274,1
022,130,1
161,s043,1
001,s160,1
260,275,1
292,292,1
220,s160,9
275,280,1
161,271,1
151,151,1
271,041,1
570,461,1
123,123,1
272,001,1
211,215,2
001,043,3
316,286,1
012,012,10
035,306,2
234,s220,1
275,275,64
232,s220,1
002,002,1
071,s220,1
492,001,1
202,204,1
285,260,1
283,043,1
071,285,1
023,170,1
283,001,1
285,023,1
220,280,1
003,s043,2
023,220,3
043,204,1
s043,s220,2
280,s220,1
271,272,1
220,043,1
s043,210,1
s043,s043,18
021,s160,1
043,270,1
285,306,1
263,260,1
271,161,1
001,722,1
035,215,1
283,s043,2
183,183,2
s220,286,1
423,423,1
001,305,1
270,275,6
272,s130,1
232,285,1
s043,s130,1
272,392,2
283,285,7
004,004,2
131,620,1
285,220,3
272,276,1
043,s220,1
275,043,2
220,174,1
003,210,1
204,001,2
305,s043,1
980,s130,1
220,283,1
283,281,3
293,292,1
186,s160,2
001,210,8
220,182,2
281,280,2
186,285,2
281,285,13
002,272,1
210,s043,5
180,276,1
482,012,4
306,041,1
285,s220,13
270,270,39
001,280,1
200,200,2
186,186,17
s043,275,1
285,400,1
s043,260,1
161,161,10
243,215,1
085,s220,1
285,186,1
s220,260,2
306,285,1
003,215,1
275,276,1
204,220,1
211,211,12
172,s160,2
211,043,1
220,021,1
271,270,2
165,220,2
220,001,3
281,s220,1
283,220,1
023,275,1
204,s043,2
285,234,1
230,280,1
023,204,1
482,001,2
260,270,1
281,260,1
272,021,1
165,s160,4
220,275,4
s043,220,1
004,s043,3
233,s220,1
144,130,1
280,276,1
271,271,7
232,234,1
423,461,1
275,270,3
151,s130,1
272,301,1
041,041,4
132,s130,1
285,270,3
002,283,1
043,285,1
274,s220,1
980,211,1
306,306,20
172,s043,1
220,204,2
276,260,1
283,283,16
005,s043,1
043,023,1
204,204,16
285,286,1
270,271,1
204,286,1
170,170,5
023,280,1
122,123,1
371,371,1
154,132,1
170,220,2
260,260,26
200,285,1
316,324,1
400,285,1
001,021,1
276,276,9
220,s043,6
220,172,2
715,392,1
263,132,9
164,161,1
281,s043,2
160,021,1
285,275,4
231,s220,1
220,161,5
1a,012,1
085,085,1
023,s220,5
001,041,2
043,282,1
275,260,2
275,023,2
380,392,1
1a,s043,1
285,s043,2
182,306,1
s043,130,1
275,s043,2
s160,s160,1
260,132,2
234,274,1
272,280,2
982,285,1
186,s220,7
182,285,1
305,305,1
846,001,1
220,276,1
240,051,1
286,270,1
220,220,35
400,400,2
001,023,1
102,s130,1
210,210,29
220,260,1
482,050,1
281,043,1
001a,285,1
232,200,1
s043,382,1
255,255,1
001,s043,27
041,620,2
012,001,4
281,281,24
030,001,1
073,073,1
306,001,2
285,043,1
220,186,14
182,s220,2
001a,003,1
001,211,1
s043,306,1
161,s160,3
043,s043,10
002,001,4
186,292,1
031,001,1
210,001,7
272,272,28
164,164,2
s043,041,1
274,270,1
001a,s043,3
023,285,1
270,382,1
012,s043,7
172,172,4
293,186,1
204,043,1
220,180,1
s220,275,1
271,s043,3
210,260,1
285,051,1
276,275,1
220,123,2
012,210,1
130,130,5
210,003,1
s130,s130,1
s043,003,1
271,275,1
186,220,7
050,275,1
220,306,3
062,204,1
382,s043,2
s043,215,1
012,051,1
282,282,5
s220,s220,12
270,286,1
492,s043,1
071,s043,2
174,174,1
211,001,1
003,243,1
174,s160,1
306,s043,1
291,291,8
280,272,1
001,012,5
006,s043,4
002,164,1
001,186,1
492,492,1
276,280,1
001a,286,1
210,215,2
s043,012,2
003,003,8
001a,210,2
220,023,3
260,s220,3
s220,215,1
043,283,2
263,263,2
183,s220,1
980,s043,1
285,285,75
243,243,1
285,283,6
275,285,5
012,220,1
285,271,1
186,001,1
231,280,1
240,s043,1
275,s220,4
006,282,1
210,012,1
001,204,1
002,s043,9
