actual_OCC,coded_OCC,count
980,465,2
001,s130,4
204,285,2
041,041,1
291,275,1
180,285,2
306,s160,4
482,s160,1
141,141,1
210,186,1
263,s043,1
276,132,1
283,270,1
982,204,1
012,s043,2
171,121,1
180,180,3
003,s160,1
122,s220,1
280,285,1
270,274,1
180,s160,3
220,s220,29
232,281,1
272,285,3
005,s160,1
285,626,2
160,s160,1
200,182,2
021,s160,1
172,s160,4
275,s130,2
161,172,3
470,051,1
035,260,1
043,204,1
050,s043,1
283,s220,1
220,170,6
980,243,1
211,043,1
001,052,1
161,281,1
293,260,1
270,285,10
001,s160,6
271,290,2
271,s160,2
272,s043,3
s043,186,1
270,s220,2
121,121,1
271,281,1
002,272,1
270,490,2
276,285,3
001,275,1
272,s220,1
270,272,3
043,043,6
002,s160,1
206,s220,1
200,306,1
210,270,1
271,285,10
292,260,1
180,186,3
s220,285,1
395,s130,1
100,s160,1
161,272,1
002,260,1
s043,285,1
160,s220,1
260,490,1
306,182,2
001,s220,4
270,280,2
041,s043,1
470,470,1
001,272,3
275,290,2
280,260,5
003,043,1
102,100,1
240,240,1
285,186,10
s220,275,1
122,s160,1
006,285,1
204,s043,5
043,260,5
260,263,5
470,s043,1
s043,s160,1
s980,s043,1
260,186,1
001,132,2
002,s220,1
220,183,3
306,272,1
001,043,8
022,285,1
275,s160,10
043,275,2
281,291,1
220,285,10
306,s220,1
023,s160,2
274,263,1
271,260,16
980,s220,1
030,132,1
282,186,1
186,260,1
100,s130,1
980,272,1
260,s043,2
980,286,1
274,274,7
043,281,1
274,275,2
210,275,1
022,260,1
161,s043,1
982,s043,1
260,275,2
274,280,1
220,s160,38
s043,043,1
271,292,1
172,172,3
001,101,1
130,204,1
232,260,1
043,052,1
001,s043,20
161,s160,7
271,s130,2
012,012,2
274,260,9
170,171,1
275,275,57
200,186,2
275,280,2
141,s130,1
170,s220,2
001a,260,1
285,130,2
023,170,1
270,s160,2
003,210,1
s220,s220,2
276,281,3
283,s160,1
s043,s220,1
132,100,1
161,285,1
306,121,1
s043,s043,2
382,260,1
271,s220,2
043,270,1
285,306,1
141,052,1
306,260,1
263,260,3
186,s220,6
001,263,1
280,275,3
170,121,1
183,183,2
382,275,1
s220,186,2
180,s220,2
263,130,1
272,s130,1
232,285,1
023,283,1
283,285,2
220,132,1
272,132,1
272,276,1
274,281,1
482,s220,1
043,s220,2
122,172,1
220,174,1
280,s043,1
130,s160,1
980,s130,1
s043,465,1
220,283,1
283,281,1
s043,204,1
186,s160,7
001,102,1
005,s043,1
001,130,1
186,285,3
281,285,6
161,s220,1
274,s043,1
012,260,2
132,132,2
186,183,1
285,260,24
210,s043,3
285,s160,15
002,170,1
263,s130,1
285,s220,15
012,270,1
270,270,37
s220,182,1
021,132,1
186,186,7
285,283,1
306,s043,1
210,s160,1
161,161,7
003,186,1
980,186,1
161,291,1
s220,260,3
281,s160,2
306,285,2
263,626,1
280,280,5
306,291,1
023,285,1
170,172,1
210,s220,1
172,s130,1
306,161,1
271,270,5
220,100,2
240,012,1
282,s160,1
281,s220,2
132,s220,1
151,s220,1
220,160,1
280,281,4
030,170,1
174,s220,1
122,121,1
260,285,3
281,260,3
121,s160,1
001,465,7
382,281,1
165,s160,1
980,275,1
130,186,1
270,260,42
286,260,1
043,291,1
283,275,2
276,270,5
160,160,1
280,276,1
272,263,1
271,271,1
170,285,1
275,270,11
151,s130,1
200,s160,2
100,s220,1
132,s130,2
285,270,5
211,s043,4
220,204,1
204,465,1
043,285,3
001a,285,1
306,306,3
272,275,3
172,s220,4
001,243,1
270,s043,5
276,276,3
482,285,1
160,285,1
276,260,8
270,276,1
172,170,1
100,100,1
204,204,6
382,285,2
220,121,4
291,285,2
170,170,3
272,s160,1
021,160,1
122,123,1
s220,s160,2
274,270,3
282,281,1
220,123,3
260,260,21
200,285,1
220,260,1
021,263,1
001,100,1
122,100,1
043,186,1
001,021,1
270,275,9
281,275,1
263,263,4
306,180,1
220,s043,2
482,186,1
980,043,1
270,180,1
651,s043,1
274,s160,1
285,286,1
220,172,6
204,s220,2
263,132,5
171,s160,1
132,s160,2
280,270,4
281,s043,3
263,451,1
285,275,8
260,s160,1
271,186,1
220,161,3
220,281,3
s980,204,1
151,285,1
180,121,1
023,s220,3
275,260,62
220,s130,4
272,391,1
285,s043,7
001,270,1
183,s160,2
183,186,2
280,204,1
275,s043,12
003,s043,3
260,132,3
281,272,2
982,285,1
980,285,1
170,s160,3
023,281,1
003,s220,1
275,186,1
130,s220,1
980,260,1
285,465,1
291,260,9
043,s160,2
270,281,1
286,270,1
211,465,4
174,170,1
275,272,1
285,272,4
260,272,1
102,s130,1
274,s220,2
161,260,1
240,260,2
281,186,1
291,281,3
001,285,3
132,170,1
281,281,7
285,132,2
285,043,1
180,123,1
220,186,16
003,285,1
470,052,1
285,s130,1
285,182,3
281,270,1
030,s130,1
001,626,1
s043,s130,1
272,272,28
