actual_OCC,coded_OCC,count
COP,ATHLETE,1
COP,ENGINEER,1
CLERGY,ARTIST,1
ENGINEER,ENGINEER,6
MUSICIAN,AUTHOR,6
ATHLETE,CLOWN,1
ATHLETE,PERSONAL,1
AUTHOR,AUTHOR,81
CLERGY,PROF,1
AUTHOR,CEO,3
COP,DIPLOMAT,2
ADMIN,SECRETARY,1
ENGINEER,PROF,1
BIZOP,PERSONAL,1
AUTHOR,SALES,1
AUTHOR,PERSONAL,2
AUTHOR,ACTOR,4
ARTS OTHER,AUTHOR,1
NEWS,ANNOUNCER,2
PROF,ANNOUNCER,1
EDUC OTHER,EDUC OTHER,7
LEGISLATOR,CEO,4
MUSICIAN,BLUE COLLAR,1
LAWYER,MUSICIAN,1
TEACHER,PROF,4
DOCTOR,DOCTOR,23
CLOWN,ARTIST,1
CEO,ANNOUNCER,1
MILITARY,AUTHOR,1
PROF,MUSICIAN,5
CLERGY,BIZOP,1
BIZOP,MUSICIAN,1
ARTIST,CEO,1
DIPLOMAT,BIZOP,1
ADMIN,LAWYER,2
DIPLOMAT,DIRECTOR,1
ATHLETE,ENGINEER,1
ARTS OTHER,NEWS,1
ADMIN,DIPLOMAT,25
PROF,DOCTOR,4
ADMIN,ANNOUNCER,1
NEWS,AUTHOR,20
LEGISLATOR,EDUC OTHER,1
DIRECTOR,ANNOUNCER,1
DIPLOMAT,JUDGE,1
PERSONAL,PERSONAL,5
CEO,ARTIST,1
CEO,LEGISLATOR,1
CEO,ATHLETE,2
PROF,ARCHITECT,1
NURSE,ARTS OTHER,1
SCIENTIST,SCIENTIST,60
ARCHITECT,ENGINEER,1
ACTOR,BLUE COLLAR,1
ARTIST,ENGINEER,2
ACTOR,CLOWN,1
ARCHITECT,BLUE COLLAR,2
SCIENTIST,ARTS OTHER,1
TEACHER,TEACHER,1
MUSICIAN,DIPLOMAT,5
AUTHOR,NEWS,16
CLERGY,LAWYER,1
MATH,PROF,1
DIPLOMAT,AUTHOR,4
MUSICIAN,ARTIST,4
ANNOUNCER,ANNOUNCER,12
CEO,PROF,2
PROF,CLOWN,1
NEWS,CEO,4
AUTHOR,MUSICIAN,5
BIZOP,DIPLOMAT,4
ACTOR,FARM,1
AUTHOR,SCIENTIST,3
CLOWN,CLOWN,10
SCIENTIST,AUTHOR,4
ARTS OTHER,ARTIST,1
DIPLOMAT,CLERGY,2
ARTS OTHER,ACTOR,3
CLERGY,CLERGY,25
