actual_OCC,coded_OCC,count
ARTIST,BLUE COLLAR,6
JUDGE,ADMIN,4
DANCER,DIPLOMAT,3
MUSICIAN,AUTHOR,9
PERSONAL,PERSONAL,6
COUNSELOR,SCIENTIST,1
SCIENTIST,PERSONAL,8
AUTHOR,CEO,39
DIPLOMAT,DANCER,2
FINANCE,ADMIN,1
MATH,ARCHITECT,1
DIPLOMAT,SCIENTIST,14
EDUC OTHER,EDUC OTHER,8
TEACHER,PROF,2
ADMIN,CEO,64
TEACHER,ARTS OTHER,2
JUDGE,PERSONAL,2
DIPLOMAT,BIZOP,10
DOCTOR,MILITARY,1
ARTS OTHER,DOCTOR,1
ARTIST,ARTIST,26
CEO,MUSICIAN,7
NEWS,AUTHOR,27
DOCTOR,COUNSELOR,1
LEGISLATOR,ATHLETE,1
FINANCE,PERSONAL,1
DOCTOR,NEWS,4
CLOWN,MUSICIAN,3
LAWYER,ANNOUNCER,2
MATH,TEACHER,1
SCIENTIST,ANNOUNCER,2
MUSICIAN,DIPLOMAT,22
NEWS,DIPLOMAT,15
NEWS,BLUE COLLAR,2
CLOWN,ARTIST,5
MILITARY,ENGINEER,1
ARTS OTHER,DIPLOMAT,5
DIRECTOR,COP,5
ATHLETE,MATH,1
ENGINEER,ADMIN,6
NEWS,ATHLETE,3
LAWYER,PERSONAL,4
JUDGE,CLERGY,1
ARCHITECT,ADMIN,2
CLERGY,DOCTOR,5
ENGINEER,SCIENTIST,3
EDUC OTHER,AUTHOR,2
ARTS OTHER,CEO,10
SECRETARY,LAWYER,1
DIRECTOR,AUTHOR,10
PROF,ARTS OTHER,8
FARM,NEWS,1
DANCER,ARTIST,7
CLOWN,DANCER,2
SECRETARY,CLERGY,1
ENGINEER,ARTS OTHER,2
COP,LEGISLATOR,1
DANCER,DOCTOR,3
DOCTOR,CLERGY,2
ARTS OTHER,AUTHOR,8
LAWYER,JUDGE,8
AUTHOR,MILITARY,5
AUTHOR,PROF,37
PROF,SCIENTIST,50
COUNSELOR,LAWYER,1
LAWYER,CEO,30
ADMIN,ADMIN,75
CEO,BIZOP,17
NEWS,ARCHITECT,2
CLERGY,CEO,14
PERSONAL,DIPLOMAT,1
ACTOR,DIPLOMAT,13
DIPLOMAT,CEO,62
MUSICIAN,CLERGY,10
ARTS OTHER,ARCHITECT,3
