actual_OCC,coded_OCC,count
DIPLOMAT,DIPLOMAT,30
EDUC OTHER,EDUC OTHER,4
MUSICIAN,AUTHOR,1
MILITARY,ATHLETE,1
DIRECTOR,BIZOP,1
AUTHOR,AUTHOR,56
CLERGY,PROF,1
NEWS,DIPLOMAT,3
PERSONAL,PERSONAL,3
COP,DIPLOMAT,2
ENGINEER,PROF,1
AUTHOR,ACTOR,2
MATH,ARCHITECT,1
ENGINEER,ENGINEER,1
DIPLOMAT,AUTHOR,1
TEACHER,PROF,2
DOCTOR,DOCTOR,16
CLOWN,ARTIST,1
CEO,ANNOUNCER,1
EDUC OTHER,DIPLOMAT,1
ADMIN,LAWYER,2
ADMIN,DIPLOMAT,19
CEO,MUSICIAN,1
NEWS,AUTHOR,17
MUSICIAN,MUSICIAN,45
AUTHOR,PERSONAL,1
DIPLOMAT,NEWS,3
PROF,ARCHITECT,1
SCIENTIST,SCIENTIST,44
ARCHITECT,ENGINEER,1
ACTOR,AUTHOR,1
ADMIN,CEO,11
MUSICIAN,DIPLOMAT,4
AUTHOR,NEWS,13
LAWYER,MUSICIAN,1
MUSICIAN,ARTIST,1
BIZOP,DIPLOMAT,3
PROF,CLOWN,1
NEWS,CEO,1
AUTHOR,MUSICIAN,2
ANNOUNCER,ANNOUNCER,2
AUTHOR,SCIENTIST,2
CLOWN,CLOWN,6
SCIENTIST,AUTHOR,3
ARTS OTHER,ARTIST,1
ARTS OTHER,ACTOR,1
CLERGY,CLERGY,10
SALES,DIPLOMAT,1
DIRECTOR,AUTHOR,2
ARTS OTHER,ARTS OTHER,8
ADMIN,BLUE COLLAR,2
PROF,ARTS OTHER,1
COUNSELOR,PROF,1
CLOWN,DANCER,1
ADMIN,ARCHITECT,1
ACTOR,ARTS OTHER,1
CEO,AUTHOR,1
NEWS,SCIENTIST,1
MILITARY,LAWYER,1
DANCER,DANCER,14
PROF,MUSICIAN,5
LAWYER,ADMIN,1
LAWYER,LAWYER,24
AUTHOR,PROF,14
PROF,SCIENTIST,26
COUNSELOR,NURSE,1
FINANCE,PROF,1
LAWYER,CEO,6
CLOWN,MUSICIAN,1
MUSICIAN,ACTOR,1
CLERGY,CEO,2
AUTHOR,ADMIN,1
DOCTOR,AUTHOR,1
DIPLOMAT,CEO,7
ADMIN,SCIENTIST,3
ANNOUNCER,PROF,1
SCIENTIST,DOCTOR,4
LEGISLATOR,CLERGY,1
DIPLOMAT,ARCHITECT,3
ENGINEER,ARCHITECT,5
SCIENTIST,PROF,15
LEGISLATOR,DIPLOMAT,2
ATHLETE,ATHLETE,11
ANNOUNCER,CLOWN,1
CEO,LAWYER,7
ADMIN,CLERGY,1
MILITARY,CLERGY,1
ACTOR,ACTOR,27
AUTHOR,BIZOP,1
MILITARY,DIPLOMAT,1
DOCTOR,SCIENTIST,1
NURSE,NURSE,1
COUNSELOR,CLERGY,1
CEO,CLERGY,1
NEWS,PROF,3
ATHLETE,DIPLOMAT,2
PROF,PROF,56
CEO,PROF,1
ARTIST,AUTHOR,1
ANNOUNCER,ATHLETE,1
NEWS,ARTIST,1
PERSONAL,AUTHOR,1
ANNOUNCER,NEWS,1
BIZOP,AUTHOR,1
ARTS OTHER,ENGINEER,6
CLOWN,AUTHOR,1
LAWYER,ACTOR,1
ADMIN,NEWS,1
LEGISLATOR,LAWYER,1
AUTHOR,ARTS OTHER,1
PROF,ARTIST,3
CLERGY,DIPLOMAT,1
DIPLOMAT,ACTOR,1
SCIENTIST,CEO,3
DIPLOMAT,ADMIN,3
AUTHOR,ARTIST,1
SECRETARY,PERSONAL,1
JUDGE,JUDGE,7
MUSICIAN,PROF,5
NEWS,NEWS,31
DIRECTOR,SCIENTIST,1
