actual_OCC,coded_OCC,count
DIPLOMAT,DIPLOMAT,33
ENGINEER,ENGINEER,2
MUSICIAN,AUTHOR,4
ATHLETE,CLOWN,1
AUTHOR,AUTHOR,64
ACTOR,AUTHOR,1
NEWS,DIPLOMAT,2
COP,DIPLOMAT,1
ENGINEER,PROF,1
AUTHOR,ACTOR,2
PROF,ANNOUNCER,1
EDUC OTHER,EDUC OTHER,6
CEO,SCIENTIST,1
TEACHER,PROF,3
ATHLETE,ATHLETE,21
DIPLOMAT,COP,1
PROF,MUSICIAN,3
BIZOP,MUSICIAN,1
ADMIN,LAWYER,2
DIPLOMAT,LEGISLATOR,1
ADMIN,DIPLOMAT,14
CEO,MUSICIAN,1
ADMIN,ANNOUNCER,1
SALES,BIZOP,2
MUSICIAN,MUSICIAN,47
PERSONAL,PERSONAL,1
DIPLOMAT,NEWS,4
PROF,ARCHITECT,1
NURSE,ARTS OTHER,1
SCIENTIST,SCIENTIST,32
ARCHITECT,ENGINEER,1
ARTIST,ENGINEER,2
ADMIN,CEO,1
MUSICIAN,DIPLOMAT,1
AUTHOR,NEWS,9
DIPLOMAT,AUTHOR,2
MUSICIAN,ARTIST,1
ANNOUNCER,ANNOUNCER,10
DIRECTOR,SALES,1
AUTHOR,MUSICIAN,2
BIZOP,DIPLOMAT,2
ADMIN,NEWS,1
AUTHOR,SCIENTIST,1
CLOWN,CLOWN,6
SCIENTIST,AUTHOR,3
ARTS OTHER,ARTIST,1
DIPLOMAT,CLERGY,1
ARTS OTHER,ACTOR,1
ARCHITECT,ADMIN,1
EDUC OTHER,AUTHOR,1
DIRECTOR,AUTHOR,3
ARTS OTHER,ARTS OTHER,11
ADMIN,BLUE COLLAR,3
PROF,ARTS OTHER,1
COUNSELOR,PROF,1
ATHLETE,DOCTOR,1
FINANCE,FINANCE,1
ADMIN,ARCHITECT,1
ACTOR,ARTS OTHER,1
BLUE COLLAR,COP,1
SCIENTIST,ARTS OTHER,1
LAWYER,DIPLOMAT,3
ADMIN,ATHLETE,1
DANCER,DANCER,13
MILITARY,AUTHOR,1
AUTHOR,PROF,10
PROF,SCIENTIST,20
ADMIN,BIZOP,1
CLERGY,ARTIST,1
ATHLETE,BLUE COLLAR,1
LAWYER,CEO,1
CLOWN,MUSICIAN,1
MUSICIAN,ACTOR,3
CLERGY,CEO,1
TEACHER,DANCER,1
CEO,FINANCE,1
DOCTOR,AUTHOR,1
LAWYER,ARTIST,1
TEACHER,COUNSELOR,1
ADMIN,SCIENTIST,1
DIPLOMAT,MUSICIAN,1
CLERGY,CLERGY,12
PROF,LAWYER,1
ENGINEER,ARCHITECT,2
SCIENTIST,PROF,14
CLOWN,ANNOUNCER,1
ADMIN,DOCTOR,2
DOCTOR,DOCTOR,13
JUDGE,DIPLOMAT,1
ANNOUNCER,CLOWN,1
CEO,LEGISLATOR,1
ACTOR,COP,1
COUNSELOR,COUNSELOR,2
MILITARY,CLERGY,1
MUSICIAN,CLOWN,1
EDUC OTHER,BIZOP,1
LAWYER,LEGISLATOR,1
DANCER,PROF,1
COP,ENGINEER,1
DOCTOR,SCIENTIST,1
ARTIST,ACTOR,1
COUNSELOR,CLERGY,1
ACTOR,DIRECTOR,1
NEWS,PROF,3
ATHLETE,DIPLOMAT,1
PROF,PROF,36
ARCHITECT,NEWS,1
ARTIST,AUTHOR,1
TEACHER,ANNOUNCER,1
NEWS,ARTIST,1
PERSONAL,AUTHOR,1
BLUE COLLAR,CEO,1
ANNOUNCER,NEWS,1
BIZOP,AUTHOR,1
ARTS OTHER,ENGINEER,6
MILITARY,MUSICIAN,1
DIRECTOR,ATHLETE,1
LEGISLATOR,LAWYER,1
AUTHOR,ARTS OTHER,1
PROF,ARTIST,3
CLERGY,DIPLOMAT,2
SCIENTIST,CEO,2
PROF,FINANCE,1
DIPLOMAT,ADMIN,1
MUSICIAN,ADMIN,2
AUTHOR,ARTIST,1
JUDGE,JUDGE,11
MUSICIAN,PROF,1
PROF,MATH,2
NEWS,NEWS,28
DIRECTOR,SCIENTIST,1
ATHLETE,ANNOUNCER,1
PROF,CEO,1
ARTIST,ARTIST,25
CEO,LAWYER,8
ADMIN,PROF,3
PROF,DOCTOR,2
COUNSELOR,AUTHOR,1
CEO,CEO,27
DIRECTOR,ADMIN,1
COP,COP,5
MILITARY,ATHLETE,1
DIPLOMAT,LAWYER,1
NEWS,AUTHOR,16
ARCHITECT,BLUE COLLAR,1
SALES,SALES,6
ACTOR,ACTOR,31
NEWS,ANNOUNCER,2
AUTHOR,LAWYER,1
ADMIN,ADMIN,19
MILITARY,ADMIN,1
BIZOP,BIZOP,1
DIRECTOR,DIRECTOR,6
DOCTOR,DIPLOMAT,1
CEO,ARTS OTHER,1
CEO,JUDGE,1
AUTHOR,DIRECTOR,1
MATH,MATH,3
ADMIN,AUTHOR,1
JUDGE,LAWYER,2
ARCHITECT,ARCHITECT,4
SALES,CEO,2
ANNOUNCER,MUSICIAN,1
SALES,PROF,1
ATHLETE,COP,2
CEO,BLUE COLLAR,1
LEGISLATOR,LEGISLATOR,7
EDUC OTHER,DIPLOMAT,1
MILITARY,DIPLOMAT,1
SCIENTIST,NEWS,1
PROF,AUTHOR,8
BIZOP,CLERGY,1
ATHLETE,CEO,1
ARTS OTHER,NURSE,1
LAWYER,LAWYER,21
NURSE,NURSE,1
PROF,ADMIN,1
MILITARY,LAWYER,1
AUTHOR,DIPLOMAT,2
EDUC OTHER,LAWYER,1
SCIENTIST,DIPLOMAT,1
PROF,NEWS,1
DIRECTOR,MUSICIAN,1
CEO,ADMIN,4
LEGISLATOR,DIPLOMAT,2
AUTHOR,TEACHER,1
SALES,ADMIN,1
ARTIST,PROF,2
CLERGY,ARTS OTHER,1
DIRECTOR,ACTOR,1
DIRECTOR,DIPLOMAT,2
TEACHER,TEACHER,1
ACTOR,MUSICIAN,5
CEO,DIPLOMAT,22
ADMIN,MUSICIAN,1
PROF,CLERGY,1
MUSICIAN,ANNOUNCER,1
TEACHER,AUTHOR,1
PROF,DIPLOMAT,4
ACTOR,DANCER,1
