actual_OCC,coded_OCC,count
ARTIST,AUTHOR,1
EDUC OTHER,EDUC OTHER,3
MILITARY,ATHLETE,1
EDUC OTHER,DIPLOMAT,1
PERSONAL,AUTHOR,1
ACTOR,AUTHOR,1
NEWS,DIPLOMAT,1
PERSONAL,PERSONAL,1
COP,DIPLOMAT,1
ENGINEER,PROF,1
BIZOP,AUTHOR,1
ARTS OTHER,ENGINEER,3
AUTHOR,ACTOR,1
LEGISLATOR,LEGISLATOR,2
AUTHOR,ARTS OTHER,1
TEACHER,PROF,1
DOCTOR,DOCTOR,7
SCIENTIST,CEO,1
ADMIN,AUTHOR,1
PROF,MUSICIAN,3
ADMIN,LAWYER,2
AUTHOR,ARTIST,1
ADMIN,DIPLOMAT,4
CEO,MUSICIAN,1
ARTIST,ARTIST,19
SALES,BIZOP,1
MUSICIAN,MUSICIAN,28
MUSICIAN,PROF,1
MUSICIAN,CLOWN,1
AUTHOR,AUTHOR,45
DIRECTOR,SCIENTIST,1
DIPLOMAT,NEWS,2
PROF,ARCHITECT,1
SCIENTIST,SCIENTIST,17
ARCHITECT,ENGINEER,1
ADMIN,PROF,2
PROF,DOCTOR,1
COUNSELOR,AUTHOR,1
CEO,CEO,14
CLERGY,DIPLOMAT,1
MUSICIAN,DIPLOMAT,1
AUTHOR,NEWS,6
DIPLOMAT,AUTHOR,1
DIPLOMAT,LAWYER,1
NEWS,AUTHOR,14
ARCHITECT,BLUE COLLAR,1
ANNOUNCER,ANNOUNCER,2
SALES,SALES,1
ACTOR,ACTOR,19
NEWS,ARTIST,1
PROF,ARTIST,3
SCIENTIST,AUTHOR,2
CLOWN,CLOWN,3
ARTS OTHER,ARTIST,1
ADMIN,ADMIN,8
ARTS OTHER,ACTOR,1
CLERGY,CLERGY,6
CEO,ARTS OTHER,1
CEO,JUDGE,1
DIRECTOR,AUTHOR,2
LAWYER,LAWYER,16
ADMIN,BLUE COLLAR,1
PROF,ARTS OTHER,1
ARCHITECT,ARCHITECT,4
ADMIN,ARCHITECT,1
ACTOR,ARTS OTHER,1
NEWS,NEWS,15
SALES,PROF,1
ATHLETE,COP,2
MILITARY,LAWYER,1
DANCER,DANCER,10
BIZOP,DIPLOMAT,1
MILITARY,DIPLOMAT,1
SCIENTIST,NEWS,1
AUTHOR,PROF,8
PROF,SCIENTIST,10
DIPLOMAT,DIPLOMAT,11
ARTS OTHER,NURSE,1
CEO,SCIENTIST,1
NURSE,NURSE,1
NEWS,ANNOUNCER,1
CLOWN,MUSICIAN,1
MUSICIAN,ACTOR,1
CLERGY,CEO,1
AUTHOR,DIPLOMAT,1
DOCTOR,AUTHOR,1
SCIENTIST,DIPLOMAT,1
ADMIN,SCIENTIST,1
MILITARY,AUTHOR,1
CEO,ADMIN,1
LAWYER,DIPLOMAT,2
JUDGE,JUDGE,6
ACTOR,MUSICIAN,3
ARTIST,PROF,1
CLERGY,ARTS OTHER,1
DIRECTOR,ACTOR,1
PROF,AUTHOR,4
ENGINEER,ARCHITECT,1
SCIENTIST,PROF,5
LEGISLATOR,DIPLOMAT,1
ATHLETE,ATHLETE,4
ANNOUNCER,CLOWN,1
CEO,LAWYER,3
MILITARY,CLERGY,1
CEO,DIPLOMAT,10
ADMIN,MUSICIAN,1
TEACHER,AUTHOR,1
ARTS OTHER,ARTS OTHER,6
PROF,DIPLOMAT,2
COUNSELOR,CLERGY,1
NEWS,PROF,2
ATHLETE,DIPLOMAT,1
PROF,PROF,22
ACTOR,DANCER,1
