actual_OCC,coded_OCC,count
DIPLOMAT,DIPLOMAT,52
EDUC OTHER,EDUC OTHER,7
MUSICIAN,AUTHOR,5
ATHLETE,CLOWN,1
DIRECTOR,BIZOP,1
AUTHOR,AUTHOR,75
CLERGY,PROF,1
NEWS,DIPLOMAT,4
COP,DIPLOMAT,2
ENGINEER,PROF,1
AUTHOR,PERSONAL,1
AUTHOR,ACTOR,3
MATH,ARCHITECT,1
PROF,ANNOUNCER,1
ENGINEER,ENGINEER,3
CEO,SCIENTIST,4
DIPLOMAT,AUTHOR,2
TEACHER,PROF,4
DOCTOR,DOCTOR,22
CLOWN,ARTIST,1
CEO,ANNOUNCER,1
EDUC OTHER,DIPLOMAT,1
BIZOP,MUSICIAN,1
ADMIN,LAWYER,2
DIPLOMAT,LAWYER,2
ADMIN,DIPLOMAT,29
CEO,MUSICIAN,1
ADMIN,ANNOUNCER,1
NEWS,AUTHOR,19
LEGISLATOR,EDUC OTHER,1
PERSONAL,PERSONAL,3
DIPLOMAT,NEWS,4
CEO,LEGISLATOR,1
PROF,ARCHITECT,1
NURSE,ARTS OTHER,1
SCIENTIST,SCIENTIST,56
ARCHITECT,ENGINEER,1
ACTOR,AUTHOR,1
ARTIST,ENGINEER,2
ADMIN,CEO,12
SCIENTIST,ARTS OTHER,1
MUSICIAN,DIPLOMAT,4
AUTHOR,NEWS,16
LAWYER,MUSICIAN,1
MUSICIAN,ARTIST,2
ANNOUNCER,ANNOUNCER,10
DIRECTOR,SALES,1
PROF,CLOWN,1
NEWS,CEO,1
AUTHOR,MUSICIAN,4
BIZOP,DIPLOMAT,4
AUTHOR,SCIENTIST,3
PROF,ARTIST,3
SCIENTIST,AUTHOR,4
ARTS OTHER,ARTIST,1
DIPLOMAT,CLERGY,1
ARTS OTHER,ACTOR,1
CLERGY,CLERGY,16
DIPLOMAT,CEO,7
EDUC OTHER,AUTHOR,1
SALES,DIPLOMAT,1
DIRECTOR,AUTHOR,3
LEGISLATOR,LEGISLATOR,8
ADMIN,BLUE COLLAR,4
PROF,ARTS OTHER,1
COUNSELOR,PROF,2
ATHLETE,DOCTOR,1
FINANCE,FINANCE,1
CLOWN,DANCER,1
ADMIN,ARCHITECT,1
ACTOR,ARTS OTHER,1
BLUE COLLAR,COP,1
CEO,AUTHOR,1
NEWS,SCIENTIST,1
LEGISLATOR,DIPLOMAT,3
ADMIN,ATHLETE,1
MUSICIAN,MUSICIAN,64
PROF,MUSICIAN,5
LAWYER,ADMIN,1
ARTS OTHER,SCIENTIST,1
AUTHOR,PROF,15
PROF,SCIENTIST,35
ADMIN,BIZOP,1
COUNSELOR,NURSE,1
CLERGY,ARTIST,1
ATHLETE,BLUE COLLAR,1
LAWYER,CEO,7
NEWS,ANNOUNCER,2
DANCER,DANCER,17
MUSICIAN,ACTOR,3
CLERGY,CEO,2
TEACHER,DANCER,1
AUTHOR,ADMIN,1
DOCTOR,AUTHOR,1
LAWYER,ARTIST,1
TEACHER,COUNSELOR,1
ADMIN,SCIENTIST,3
ANNOUNCER,PROF,1
SCIENTIST,DOCTOR,4
COP,COP,5
LEGISLATOR,CLERGY,1
DIPLOMAT,ARCHITECT,3
ENGINEER,ARCHITECT,6
PROF,LAWYER,1
CLOWN,ANNOUNCER,1
ADMIN,DOCTOR,2
ATHLETE,ATHLETE,28
JUDGE,DIPLOMAT,1
ANNOUNCER,CLOWN,1
CEO,LAWYER,12
ACTOR,COP,1
