actual_OCC,coded_OCC,count
MUSICIAN,MATH,2
EDUC OTHER,EDUC OTHER,2
MUSICIAN,AUTHOR,17
ARTIST,AUTHOR,3
MILITARY,PROF,1
ARTIST,CLOWN,1
AUTHOR,AUTHOR,47
ACTOR,AUTHOR,10
NEWS,DIPLOMAT,3
NEWS,MUSICIAN,3
ATHLETE,ACTOR,2
ENGINEER,PROF,2
ADMIN,ARCHITECT,1
AUTHOR,ACTOR,5
ARTS OTHER,AUTHOR,2
DIPLOMAT,SCIENTIST,3
DANCER,DIPLOMAT,1
DANCER,NEWS,1
LAWYER,MUSICIAN,1
ATHLETE,ATHLETE,28
EDUC OTHER,ARTIST,2
ADMIN,ARTIST,5
MUSICIAN,ATHLETE,1
ARTS OTHER,MUSICIAN,1
EDUC OTHER,DIPLOMAT,2
ACTOR,SCIENTIST,2
JUDGE,PERSONAL,4
DIPLOMAT,BIZOP,1
ATHLETE,ENGINEER,1
ARTS OTHER,NEWS,3
ARTIST,ARTIST,21
CEO,MUSICIAN,1
NEWS,ARTS OTHER,1
SALES,BIZOP,1
DANCER,ANNOUNCER,1
MUSICIAN,MUSICIAN,57
ENGINEER,MATH,1
PROF,PROF,31
TEACHER,ARTIST,1
DIPLOMAT,NEWS,1
CEO,ATHLETE,3
PROF,ARCHITECT,4
DIRECTOR,MUSICIAN,2
SCIENTIST,SCIENTIST,30
CLERGY,PROF,3
ARTIST,ENGINEER,3
ACTOR,CLOWN,1
LAWYER,SCIENTIST,1
SCIENTIST,ARTS OTHER,1
CLERGY,DIPLOMAT,5
MUSICIAN,DIPLOMAT,12
AUTHOR,NEWS,12
MATH,PROF,2
DIPLOMAT,AUTHOR,4
MUSICIAN,ARTIST,62
BIZOP,DIPLOMAT,2
COP,AUTHOR,2
CLOWN,ARTIST,8
AUTHOR,MUSICIAN,8
ANNOUNCER,ANNOUNCER,5
ATHLETE,ARTS OTHER,1
LAWYER,ACTOR,1
ARTS OTHER,DIPLOMAT,2
AUTHOR,SCIENTIST,15
CLOWN,CLOWN,3
SCIENTIST,AUTHOR,8
ARTS OTHER,ARTIST,14
SCIENTIST,MATH,3
NEWS,ATHLETE,3
SCIENTIST,ATHLETE,1
LEGISLATOR,PERSONAL,1
COP,NEWS,1
CLERGY,CLERGY,6
ENGINEER,SCIENTIST,2
SALES,DIPLOMAT,1
MUSICIAN,ARCHITECT,2
DOCTOR,ARTIST,1
COP,MUSICIAN,1
DIRECTOR,AUTHOR,10
ARTS OTHER,ARTS OTHER,12
DANCER,ARTIST,9
MILITARY,ARTS OTHER,1
DANCER,MUSICIAN,2
PROF,ARTIST,4
DOCTOR,PROF,1
CEO,AUTHOR,4
NEWS,SCIENTIST,4
LAWYER,DIPLOMAT,3
ADMIN,ATHLETE,1
ATHLETE,CLOWN,1
MATH,ARCHITECT,2
PROF,MUSICIAN,1
ARTIST,ATHLETE,1
AUTHOR,PROF,15
PROF,SCIENTIST,40
ACTOR,SALES,2
DIRECTOR,ARTS OTHER,4
ARCHITECT,CLERGY,1
ACTOR,ARTIST,42
DIPLOMAT,DIPLOMAT,10
DOCTOR,ATHLETE,1
ARTIST,DIPLOMAT,2
ARTIST,SALES,1
CEO,BIZOP,1
DANCER,SCIENTIST,1
CLOWN,MUSICIAN,2
MUSICIAN,ACTOR,11
ARTS OTHER,ACTOR,2
ANNOUNCER,CLERGY,1
BLUE COLLAR,DIPLOMAT,1
ACTOR,DIPLOMAT,5
LAWYER,ARTIST,3
ADMIN,SCIENTIST,6
ARTS OTHER,ARCHITECT,2
ARCHITECT,PROF,1
SCIENTIST,ARTIST,4
EDUC OTHER,ADMIN,1
COP,COP,1
SALES,AUTHOR,1
DIRECTOR,ARTIST,16
DIPLOMAT,ARCHITECT,1
ENGINEER,ARCHITECT,4
CLERGY,PERSONAL,1
SCIENTIST,PROF,18
LAWYER,PROF,1
DOCTOR,DOCTOR,3
JUDGE,DIPLOMAT,4
ANNOUNCER,CLOWN,1
AUTHOR,ARCHITECT,3
MUSICIAN,SCIENTIST,10
MILITARY,CLERGY,2
ACTOR,ACTOR,37
ENGINEER,AUTHOR,1
DANCER,ARTS OTHER,1
DIRECTOR,PROF,2
DANCER,PROF,2
MILITARY,DIPLOMAT,4
DOCTOR,SCIENTIST,4
ARTIST,ACTOR,1
CEO,CLERGY,2
ATHLETE,ARTIST,7
NEWS,PROF,3
MUSICIAN,SALES,1
ARTS OTHER,BLUE COLLAR,1
ATHLETE,DIPLOMAT,3
COUNSELOR,DOCTOR,1
CEO,PROF,4
MILITARY,ATHLETE,1
LEGISLATOR,SCIENTIST,1
ANNOUNCER,ATHLETE,1
AUTHOR,ATHLETE,4
NEWS,ARTIST,6
AUTHOR,PERSONAL,1
ACTOR,NEWS,1
ANNOUNCER,NEWS,4
MILITARY,EDUC OTHER,1
