from,to
David F. Powers,John F. Kennedy Jr.
David McDowell,Tad Mosel
Ruth Roman,Ronald Reagan
Harold Melvin,Billy Paul
Karen Tuttle,Harold C. Schonberg
Roger Mynors,Queen Elizabeth II
John Benson Brooks,Ray McKinley
Peter Grant,Phil Everly
Betty Allen,Virgil Thomson
Louise Reinhardt Smith,Louise Smith
Howard M. Temin,Renato Dulbecco
Hugh McCracken,Laura Nyro
Bruce Gordon,Vincent Price
Frank E. Taylor,John Huston
Jim Vaill,Paul Newman
Barney Kessel,Norman Granz
Don Wilson,Jack Benny
Matt Kennedy,Cary Grant
Lynn Oliver,Art Blakey
Mr. Darby,Jim Drake
John R. Walsh,Jack Benny
James A. Hood,John F. Kennedy
Alexis Smith,William Holden
Helen Keane,Art Farmer
David Gebhard,Michael Graves
Samuel L. Haber,William Haber
Leon Schwab,Gloria Swanson
Diana Barnato Walker,Jacqueline Cochran
Fred Katz,Burt Lancaster
Edward Chodorov,Anne Jackson
Rosalie Allen,Roy Rogers
Helmut Dantine,Ronald Reagan
Arnold Wesker,John Osborne
Joan Roberts,Shirley Temple
Michael Manley,Fidel Castro
John Paul II,Pedro Arrupe
John Hejduk,Lebbeus Woods
Warren J. Ferguson,Lyndon B. Johnson
Lovell Thompson,John Kenneth Galbraith
George L. Hinman,Jimmy Carter
David Lean,Queen Elizabeth II
Dick Shawn,Mel Brooks
Screamin' Jay Hawkins,Jimi Hendrix
Franz Allers,Harold C. Schonberg
Peter Maxwell Davies,John Williams
Mario Richard,Queen Elizabeth II
Allan Kornblum,John A. Walker Jr.
Jacob Lawrence,Richard Wright
Tanaquil Le Clercq,Merce Cunningham
Ramon Juan Alberto Camps,Buenos Aires
Dwight Macdonald,William Barrett
Rogers E.M. Whitaker,Francis Whitaker
George Folsey,George Cukor
Karl Hass,Erich Priebke
John B. Kelly Jr.,William E. Simon
Armin H. Meyer,Richard M. Nixon
Winifred Wolfe,Sandra Dee
Czeslaw Milosz,Milovan Djilas
Johnnie Wright,Chet Atkins
Fatema Mernissi,Susan Sontag
Jean Michel Basquiat's,Ethel Redner Scull
Thaddeus Horgan,Staten Island
Howard H. Baker Jr.,Robert H. Bork
Lewis Allen,Raymond Massey
Claude Brown,Tom Wolfe
Edward Albee,Susan Sontag
Robert Leuci,Sidney Lumet
Paul M. Weyrich,Ronald Reagan
Philo Dibble,Hillary Rodham Clinton
Sammy Fain,Peter Pan
Glenn O'Brien,Charlie Rose
Kitty Kallen,Mel Brooks
Robert H. Levenson,Helmut Krone
David Salomon,Geoffrey Bennison
Lord Bernstein,David Bernstein
Ulrich Franzen,Peter Blake
Ben Sonnenberg,Elias Canetti
Andrzej Panufnik,Witold Lutoslawski
Mr. Yelchin,Anton Yelchin
Lynn Fontanne,Marc Connelly
Germaine Tillion,Francois Mitterrand
Richard M. Bissell Jr.,Fidel Castro
William Thomas McKinley,Gunther Schuller
Gerald R. Ford,Oliver W. Sipple
Gino Bechi,Anna Moffo
John P. Diggins,Abraham Lincoln
Paul C. Reardon,Edward M. Kennedy
Dan Shomron,Idi Amin
Charles L. Black Jr.,Louis Armstrong
Joseph A. Gimma,Nelson A. Rockefeller
John C. Lungren,John F. Kennedy
Tony Gwynn,Ted Williams
Charlie Sifford,Stanley Mosk
Charles Adams Baker,Robert Preston
Don Hewitt,Jackie Gleason
Lillian Rogers Parks,Jacqueline Kennedy
Hugh Marlowe,Gregory Peck
Chris Griffin,John Hammond
Joe DiMaggio,Les Brown
Paul W. Tibbets Jr.,Takeshi Araki
Teddy Charles,Tito Puente
Jerome Richardson,Art Farmer
Gen. Guillermo Suarez Mason,Buenos Aires
Tom Wicker,John F. Kennedy
Hermann Prey,Hans Werner Henze
Catherine L. Shea,Arthur Gelb
James Bridges,Alfred Hitchcock
Alan Sillitoe,Michael Redgrave
Lee Davenport,Ivan Getting
J. B. Priestley,Iris Murdoch
Tonino Delli Colli,Clint Eastwood
Karla Kuskin,Paula Fox
C. William Verity Jr.,Ronald Reagan
Edward M. Love Jr.,Whitney Houston
Donald O'Connor,Walter Matthau
Hank Locklin,Elvis Presley
Charles Sellier Jr.,George W. Bush
Benjamin L. Hooks,Richard M. Nixon
Jerome Chodorov,Lana Turner
Lester D. Mallory,Buenos Aires
Suzanne Pleshette,Rod Taylor
Nancy Paterson,Slobodan Milosevic
Alfredo C. Machado,Arthur Hailey
Delmar Dennis,Ku Klux Klan
Fred Ebb,Gwen Verdon
Adele Simpson,Lady Bird Johnson
England's Royal Ballet,Margot Fonteyn
Nino Manfredi,Alberto Sordi
Samuel M. Niefeld,Maralin Niska
James J. Howard,Barry Goldwater
Fernando Bujones,Erik Bruhn
Stephen De Staebler,Robert Motherwell
Nancy Hanks,Lyndon B. Johnson
James Fletcher,Bill Clinton
Harold Scott,Esther Rolle
Mike McCormack,Dante Lavelli
Helmut Andresen,Mill Neck
Michael S. Comay,Abba Eban
Abe Burrows's,Herman Levin
Ernie Banks,Monte Irvin
Wayne Jackson,Albert King
Arthur R. Taylor,George Woods
Loel Guinness,Rita Hayworth
Lou Rymkus,George Blanda
Marvin Camras,George Bush
Harold J. Cromer,Bill Robinson
Harold Pinter,Meryl Streep
Orin Lehman,Hugh L. Carey
Dominic J. Baranello,Mario M. Cuomo
David J. Sencer,Gerald R. Ford
J. Richardson Dilworth,Arthur A. Houghton Jr.
Morris P. Glushien,David Dubinsky
Manny Albam,Stan Kenton
Stan Getz,Miles Davis
James Thomas Kruger,John Vorster
Herbert Scarf,Paul A. Samuelson
Mel Gussow,Samuel Beckett
Ariel D. Rubstein,Leonie Rysanek
Gwendolyn Brooks,Paul Engle
Howard L. Hausman,Stan Getz
Shirley Scott,Jimmy Smith
David W. Rubin,Vladimir Horowitz
Vincent O'Leary,Stony Brook
Shirley Temple Black,Marlene Dietrich
Harry Matthews,Bob Murphy
William Mazer,Helen Cohen Mazer
Joan Leslie,Mickey Rooney
Cary Middlecoff,Tommy Bolt
Pete Martin,Gary Cooper
Wolfgang Mommsen,Hans Mommsen
Sabina Zlatin,Klaus Barbie
Sergio Leone,Eli Wallach
Richard Berry,Frank Zappa
Haila Stoddard,Harold Pinter
Henry A. Mucci,Douglas MacArthur
Jerome Andrews,Martha Graham
Samuel T. Cohen,Jimmy Carter
David Loth,John Marshall
Shelly Gross,Don Rickles
Carl Brewer,Gordie Howe
Joanne Siegel,Noel Neill
Elizabeth A. Connelly,Staten Island
John Lewis Cobbs,John Lewis
Tom Gola,Bill Bradley
Mary Soames,Margaret Thatcher
Ralph Bellamy,Franklin D. Roosevelt
James Brady,Clay Felker
Francoise Giroud,Francois Mitterrand
Sergei Zalygin,Mikhail S. Gorbachev
Robert B. Carleson,Ronald Reagan
Ferlin Husky,Ken Nelson
Moses Asch,Pete Seeger
Matty Alou,Harry Walker
Murray Burnett,Marlene Dietrich
Ashley Montagu,Johnny Carson
Ray Stark,William Wyler
J. Ernest Wharton,Gore Vidal
Bernard H. Ridder Jr.,Lee Hills
Ray Harrison,John Martin
Aliza Begin,Menachem Begin
Michael Winner,Orson Welles
June Allyson,Cyd Charisse
Ellis G. Arnall,Franklin D. Roosevelt
Max Reinhardt,Graham Greene
Charles R. Grean,Phil Harris
Whitey Lockman,Monte Irvin
E. L. Doctorow,John Updike
Hugh Scott,Barry Goldwater
John Colman,George Balanchine
Morton Gottlieb,Jack Lemmon
Neil Aspinall,Brian Epstein
Mikhail A. Suslov,Hugh Scott
Sy Weintraub,Ian Richardson
Harold R. Denton,Jimmy Carter
Felix Fibich,Joseph Papp
Isidor Isaac Rabi,Edward Teller
Doris Cole Abrahams,John Dexter
David Honeyboy Edwards,Robert Johnson
John Belushi,Menachem Begin
Peter M. Hirsch,Edie Adams
William Augustus Bootle,Donald L. Hollowell
Vivian Cadden,Joseph E. Cadden
Ben Blank,Jules Bergman
Mel Stuart,Jack Gould
Lech Kaczynski,George W. Bush
George Pickow,Jean Ritchie
Herbert Stein,Nixon Administrations
Dick Griffey,Michael Jackson
Art Athens,Mario M. Cuomo
Kitty Buck,John F. Kennedy
Gwen Ifill,John Edwards
Richard M. Scammon,John F. Kennedy
John Edwin Mroz,Ira D. Wallach
Judith Malina,Peter K. Leisure
Kay Walsh,Marlene Dietrich
Sam Phillips,Conway Twitty
Stanley Kramer,Bosley Crowther
Jim Hall,Chico Hamilton
Edward Jablonski,Henry Holt
Ray Walston,Peter Sellers
Nelson A. Rockefeller,Richard M. Nixon
Robert Stone,Graham Greene
Halton C. Arp,John N. Bahcall
Richard R. Lower,Christiaan N. Barnard
Thomas S. Foley,Henry M. Jackson
Demian Acquavella,Alvin Ailey
Dorothy Jordan,Bette Davis
Shirley Povich's,Red Smith
Lord Zuckerman,Harold Wilson
Robert Fagles,Sam Peckinpah
Garret G. Ackerson Jr.,Joseph R. McCarthy
Betty Freeman,Alan Rich
Bernard Schwartz,Thomas Jefferson
Walter Roe Mansfield,Lawrence E. Walsh
Leopold Simoneau,Sena Jurinac
Perez Garcia,Lyndon B. Johnson
Lucien Clergue,Michel Tournier
Tom Wicker,Jimmy Carter
Ronald Reagan,Martin Anderson
Sam Denoff,Mary Tyler Moore
Edward W. Said,Saddam Hussein
Siegfried Unseld,Andy Warhol
Fred J. Cook,Alger Hiss
Suzanne Bloch,Albert Einstein
John Hartford,Chet Atkins
Gene Norman,Peggy Lee
Nicolas Slonimsky,Frank Zappa
Reportedly Linked,Kurt Waldheim
James Merrill,Alfred A. Knopf
Frank P. Bourgin,George Braziller
Nadia Nerina,Charles Gordon
Milton Babbitt,Pierre Boulez
Brenda Lewis,Sam Levene
Qiao Guanhua,Deng Xiaoping
John G. McClelland,Pierre Berton
Marty Feldman,Peter Boyle
Dean Jeffries,Tom Wolfe
Harold Hecht,Mattiwilda Dobbs
Jane Greer,Robert Young
Herbert Mitgang,Jimmy Walker
August Wilson,Amiri Baraka
Garret FitzGerald,Margaret Thatcher
Miriam Coln,Marlon Brando
Charlie Palmieri,John Storm Roberts
Jerry Perenchio,Barbra Streisand
Ann Todd,Gregory Peck
John Orrell,Sam Wanamaker
Grover Mitchell,Thad Jones
Roger E. Ailes,Lee Atwater
Donna Reed,Barbara Bel Geddes
Lucien Carr,Jack Kerouac
Gen. Liu Huaqing,Deng Xiaoping
Joe Morello,Johnny Smith
Otto Graham,Paul Brown
Harold J. Cromer,Irvin Feld
Margaret W. Poe,Eugene Ormandy
Chips Moman,Larry Butler
William Sloane Coffin Jr.,Benjamin Spock
Ole C. Risom,Richard Scarry
Christopher Jones,David Lean
Robert Loggia,Don Ameche
Kenny Madison,Jarvis Williams
Chuck Noll,Dwight White
Burt Shevelove,Peter Cook
Joel McCrea,Sam Peckinpah
Gussie Moran,Greta Garbo
Walter Bolden,Jackie McLean
Phil Harris,Jack Benny
Black English,Gwendolyn Brooks
James H. R. Cromwell,Doris Duke
Robert W. Stone,Gloria Swanson
Albert H. Blumenthal,Hugh L. Carey
Lillian Libman,George London
Don Hewitt,Ed Bradley
Carter Burden,Norman Mailer
Bella S. Abzug,Jimmy Carter
Lois Marshall,Patricia Mason
Fred Astaire,Cary Grant
Peter Boyle,Vincent Canby
Anthony Quinn,Rita Hayworth
Joe Cocker,Billy Joel
Kurt Vonnegut's,William J. Caunitz
Fritz Weaver,George C. Scott
Jack S. Kilby,Robert N. Noyce
Anita Loos,Morton Gottlieb
Alice Denham,Hugh Hefner
Brooke Astor,David Rockefeller
Anthony Perkins,Roy Bean
Allen Weinstein,Alger Hiss
Maurice White,Don Whitehead
Nicola Rescigno,Joan Sutherland
Cyril M. Harris,Russell Johnson
