c,p,r,rev,y
General Motors,806.0,1.0,9823.5,1961
Exxon Mobil,584.8,2.0,5661.4,1961
U.S. Steel,195.4,3.0,3250.4,1961
General Electric,212.6,4.0,2959.1,1961
Esmark,19.1,5.0,2510.8,1961
Chrysler,18.5,6.0,2071.6,1961
Armour,1.6,7.0,2056.1,1961
Gulf Oil,182.8,8.0,1705.3,1961
Mobil,183.8,9.0,1703.6,1961
DuPont,344.4,10.0,1687.7,1961
Amoco,132.8,11.0,1667.4,1961
Bethlehem Steel,117.2,12.0,1660.3,1961
CBS,84.6,13.0,1631.0,1961
Texaco,226.1,14.0,1574.4,1961
AT&T Technologies,55.8,15.0,1526.2,1961
Shell Oil,121.1,16.0,1312.1,1961
Kraft,37.4,17.0,1210.3,1961
ChevronTexaco,211.9,18.0,1113.3,1961
Goodyear Tire & Rubber,48.1,19.0,1090.1,1961
Boeing,37.0,20.0,1033.2,1961
Sinclair Oil,91.6,21.0,1021.5,1961
Navistar International,36.3,22.0,994.1,1961
RCA,40.5,23.0,941.0,1961
Union Carbide,89.8,24.0,923.7,1961
Firestone Tire & Rubber,40.5,25.0,916.0,1961
Douglas Aircraft,36.2,26.0,915.2,1961
Procter & Gamble,52.3,27.0,911.0,1961
Republic Steel,52.9,28.0,846.3,1961
Citgo Petroleum,43.7,29.0,813.2,1961
ConocoPhillips,76.2,30.0,794.6,1961
General Foods,27.9,31.0,783.0,1961
Uniroyal,28.0,32.0,782.6,1961
Borden Chemical,22.7,33.0,776.8,1961
Lockheed Martin,22.4,34.0,732.9,1961
Alcoa,46.5,35.0,708.3,1961
International Paper,73.5,36.0,681.2,1961
Wilson,3.1,37.0,680.5,1961
Sunoco,40.3,38.0,659.5,1961
United Technologies,26.0,39.0,654.2,1961
American Can,30.4,40.0,652.4,1961
General Dynamics,20.8,41.0,648.6,1961
Rockwell Automation,22.2,42.0,645.8,1961
Eastman Kodak,69.8,43.0,633.5,1961
Goodrich,38.8,44.0,630.7,1961
Continental Group,20.7,45.0,616.2,1961
Bendix,25.5,46.0,607.7,1961
Atlantic Richfield,36.8,47.0,596.2,1961
Fortune Brands,41.3,48.0,533.1,1961
Ryerson Tull,41.1,49.0,532.0,1961
ARMCO,43.1,50.0,530.8,1961
Honeywell Intl.,10.8,51.0,519.7,1961
AMAX,43.1,52.0,509.5,1961
Conoco,41.7,53.0,500.1,1961
Allis-Chalmers,26.1,54.0,492.9,1961
Jones & Laughlin Steel,25.0,55.0,492.9,1961
General Mills,11.2,56.0,487.6,1961
National Intergroup,30.3,57.0,484.1,1961
Curtiss-Wright,19.4,58.0,475.1,1961
Olin,34.3,59.0,470.1,1961
Asarco,21.5,60.0,466.8,1961
Intl. Business Machines,46.5,61.0,461.4,1961
Anaconda,26.7,62.0,461.1,1961
Tidewater Oil,34.5,63.0,459.0,1961
Cudahy,-7.2,64.0,454.8,1961
Briggs Manufacturing,0.8,65.0,440.9,1961
Sperry,28.5,66.0,440.9,1961
Nabisco Group Holdings,44.8,67.0,438.3,1961
PPG Industries,38.6,68.0,431.0,1961
Dow Chemical,33.4,69.0,428.3,1961
Youngstown Sheet & Tube,20.2,70.0,428.2,1961
Kennecott,77.9,71.0,423.6,1961
NL Industries,36.6,72.0,419.3,1961
Standard Brands,10.6,73.0,415.9,1961
Sealed Air,14.8,74.0,413.4,1961
Caterpillar,25.1,75.0,401.0,1961
American Motors,-11.1,76.0,400.3,1961
Ralston Purina,15.5,77.0,399.6,1961
American Cyanamid,27.1,78.0,397.6,1961
Pullman,13.3,79.0,391.0,1961
Pure Oil,31.2,80.0,388.3,1961
BorgWarner,24.5,81.0,380.3,1961
Nabisco Brands,19.9,82.0,376.4,1961
Avco,3.6,83.0,375.4,1961
Unocal,35.9,84.0,349.7,1961
Philco,6.8,85.0,349.3,1961
Burlington Industries Equity,8.4,86.0,347.5,1961
Monsanto,23.7,87.0,341.8,1961
Campbell Soup,23.6,88.0,338.7,1961
Owens-Illinois,21.5,89.0,336.7,1961
Pillsbury,4.9,90.0,336.0,1961
Singer,11.9,91.0,333.9,1961
Hormel Foods,1.8,92.0,331.8,1961
Hygrade Food Products,1.0,93.0,324.2,1961
Republic Aviation,9.0,94.0,323.5,1961
Carnation,7.7,95.0,310.0,1961
Amstar,7.6,96.0,308.8,1961
Reynolds Metals,20.3,97.0,306.8,1961
Morrell (John),0.5,98.0,306.5,1961
BP America,18.5,99.0,304.4,1961
American Standard,20.4,100.0,303.4,1961
United Merchants & Mfrs.,9.2,101.0,300.1,1961
Crane,5.8,102.0,299.8,1961
Crown Zellerbach,26.8,103.0,298.0,1961
Deere,20.6,104.0,295.6,1961
Liggett Group,22.2,105.0,294.1,1961
Sylvania Electric Products,9.5,106.0,281.6,1961
J.P. Stevens,3.6,107.0,277.6,1961
Phelps Dodge,41.2,108.0,277.1,1961
Beatrice,4.8,109.0,275.0,1961
Rath Packing,1.4,110.0,273.6,1961
Martin Marietta,20.1,111.0,270.7,1961
TRW,11.7,112.0,269.0,1961
Quaker Oats,8.9,113.0,266.1,1961
Weyerhaeuser,35.5,114.0,262.5,1961
Colgate-Palmolive,12.5,115.0,261.8,1961
NCR,12.7,116.0,259.1,1961
Manville,16.7,117.0,253.2,1961
Babcock & Wilcox,15.2,118.0,250.5,1961
CF&I Steel,7.1,119.0,250.2,1961
A.O. Smith,5.4,120.0,249.6,1961
Marathon Oil,38.2,121.0,248.5,1961
Foremost Dairies,6.1,122.0,247.4,1961
Furniture Brands Intl.,10.2,123.0,246.8,1961
ACF Industries,7.8,124.0,245.1,1961
Otis Elevator,6.3,125.0,244.0,1961
Coca-Cola,25.9,126.0,243.3,1961
Rockwell-Standard,12.1,127.0,241.8,1961
J.E. Seagram,25.7,128.0,236.3,1961
Grumman,11.2,129.0,235.3,1961
National Supply,9.3,130.0,231.7,1961
3M,24.6,131.0,230.9,1961
Honeywell,15.3,132.0,229.4,1961
Scott Paper,18.8,133.0,228.8,1961
Ashland,6.6,134.0,227.9,1961
Del Monte Foods,6.7,135.0,226.9,1961
Kaisertech,14.0,136.0,226.6,1961
Remington Rand,12.2,137.0,225.5,1961
FMC,12.1,138.0,225.3,1961
Oscar Mayer,2.8,139.0,224.4,1961
Richfield Oil,25.6,140.0,222.8,1961
Studebaker,-26.2,141.0,222.3,1961
H.J. Heinz,5.6,142.0,220.6,1961
Admiral,6.5,143.0,219.6,1961
