Full Name,Last Name,Date of Death
Gov. Harold Guy Hunt,Hunt,1/30/2009
Gov. George Corley Wallace,Wallace,9/13/1998
,,
,,
Gov. James Elisha Folsom,Folsom,11/20/1987
,,
Gov. Jay S. Hammond,Hammond,8/1/2005
Gov. Walter J. Hickel,Hickel,5/7/2010
,,
Gov. William Allen Egan,Egan,5/6/1984
,,
Gov. Tauese P. F. Sunia,Sunia,3/26/2003
Gov. Hyrum Rex Lee,Lee,7/26/2001
Gov. Frank Elliott Barnett,Barnett,7/15/2016
Gov. A.P. Lutali,Lutali,8/1/2002
,,
Gov. Peter Tali Coleman,Coleman,4/28/1997
,,
Gov. Rose Mofford,Mofford,9/15/2016
Gov. Evan Mecham,Mecham,2/22/2008
Gov. Raul H. Castro,Castro,4/10/2015
"Gov. John ""Jack"" R. Williams",Williams,8/24/1998
Gov. Samuel Pearson Goddard,Goddard,2/1/2006
Gov. Paul Jones Fannin,Fannin,1/13/2002
Gov. Ernest William McFarland,McFarland,6/8/1984
Gov. John Howard Pyle,Pyle,11/29/1987
Gov. Frank D. White,White,5/21/2003
Gov. Dale Bumpers,Bumpers,1/1/2016
Gov. Orval Eugene Faubus,Faubus,12/14/1994
Gov. Sidney Sanders McMath,McMath,10/4/2003
Gov. George Deukmejian,Deukmejian,5/8/2018
Gov. Ronald Wilson Reagan,Reagan,6/5/2004
Gov. Edmund Gerald Brown,Brown,2/16/1996
Gov. John D. Vanderhoof,Vanderhoof,9/19/2013
Gov. John Arthur Love,Love,1/21/2001
Gov. Stephen Lucid Robert McNichols,McNichols,11/25/1997
Gov. Stephen Lucid Robert McNichols,McNichols,3/23/1987
Gov. William A. O'Neill,O'Neill,11/24/2007
Gov. Ella T. Grasso,Grasso,2/5/1981
Gov. Thomas J. Meskill,Meskill,10/29/2007
Gov. John Dempsey,Dempsey,7/16/1989
Gov. Abraham Alexander Ribicoff,Ribicoff,2/22/1998
Gov. John Davis Lodge,Lodge,10/29/1985
Gov. Chester Bliss Bowles,Bowles,5/2/1986
Gov. James Coughlin Shannon,Shannon,3/6/1980
Gov. Sherman W. Tribbitt,Tribbitt,8/14/2010
Gov. Russell W. Peterson,Peterson,2/21/2011
Gov. David Penrose Buckson,Buckson,1/17/2017
Gov. James Caleb Boggs,Boggs,3/26/1993
Gov. Raymond Early Baldwin,Baldwin,10/4/1986
,,
Gov. Elbert Nortrand Carvel,Carvel,2/6/2005
,,
Gov. Lawton Chiles,Chiles,12/12/1998
Gov. Reubin O'Donovan Askew,Askew,3/13/2014
Gov. Claude Roy Kirk,Kirk,9/28/2011
Gov. Haydon Burns,Burns,11/22/1987
Gov. Cecil Farris Bryant,Bryant,3/1/2002
Gov. Thomas Leroy Collins,Collins,3/12/1991
Gov. Charley Eugene Johns,Johns,1/23/1990
Gov. Millard Fillmore Caldwell,Caldwell,10/23/1984
Gov. Zell Miller,Miller,3/23/2018
Gov. George Dekle Busbee,Busbee,7/16/2004
Gov. Lester Garfield Maddox,Maddox,6/25/2003
Gov. Carl Edward Sanders,Sanders,11/16/2014
Gov. Samuel Ernest Vandiver,Vandiver,2/21/2005
Gov. Samuel Marvin Griffin,Griffin,6/13/1982
Gov. Melvin Ernest Thompson,Thompson,10/3/1980
Gov. Herman Eugene Talmadge,Talmadge,3/21/2002
,,
Gov. Ellis Gibbs Arnall,Arnall,12/13/1992
Gov. Ricardo Jerome Bordallo,Bordallo,1/31/1990
,,
Gov. Manuel Flores Guerrero,Guerrero,10/9/1985
Gov. William Francis Quinn,Quinn,8/28/2006
Gov. Cecil Dale Andrus,Andrus,8/24/2017
,,
Gov. Don William Samuelson,Samuelson,1/20/2000
Gov. Robert E. Smylie,Smylie,7/17/2004
Gov. Leonard Beck Jordan,Jordan,6/30/1983
Gov. Daniel Walker,Walker,4/29/2015
Gov. Richard Buell Ogilvie,Ogilvie,5/10/1998
Gov. Samuel H. Shapiro,Shapiro,3/16/1987
Gov. William Grant Stratton,Stratton,3/2/2001
Gov. Frank O'Bannon,O'Bannon,9/13/2003
Gov. Robert D. Orr,Orr,3/10/2004
Gov. Otis Ray Bowen,Bowen,5/4/2013
Gov. Edgar Doud Whitcomb,Whitcomb,2/4/2016
Gov. Matthew Empson Welsh,Welsh,5/28/1995
Gov. George N. Craig,Craig,12/17/1992
Gov. Robert D. Ray,Ray,7/8/2018
Gov. Harold Everett Hughes,Hughes,10/23/1996
Gov. Norman Arthur Erbe,Erbe,6/8/2000
Gov. Herschel C. Loveless,Loveless,5/4/1989
Gov. Leo Arthur Hoegh,Hoegh,7/15/2000
Gov. Robert Donald Blue,Blue,12/13/1989
Gov. Joan Finney,Finney,7/28/2001
Gov. Robert F. Bennett,Bennett,10/9/2000
Gov. Robert Blackwell Docking,Docking,10/8/1983
Gov. William Henry Avery,Avery,11/4/2009
Gov. John Anderson,Anderson,9/15/2014
Gov. Edward Ferdinand Arn,Arn,1/22/1998
Gov. Frank Carlson,Carlson,5/30/1987
Gov. Alfred Mossman Landon,Landon,10/12/1987
Gov. Wallace G. Wilkinson,Wilkinson,6/29/2002
Gov. Wendell Hampton Ford,Ford,1/22/2015
