name,dod,gov_of
James Thomas,1845-12-25T00:00:00Z,Governor of Maryland
William Pinkney Whyte,1908-03-17T00:00:00Z,Governor of Maryland
James Black Groome,1893-10-05T00:00:00Z,Governor of Maryland
Robert Milligan McLane,1898-04-16T00:00:00Z,Governor of Maryland
Albert Ritchie,1936-02-24T00:00:00Z,Governor of Maryland
"Benedict Calvert, 4th Baron Baltimore",1715-04-16T00:00:00Z,Governor of Maryland
"Charles Calvert, 5th Baron Baltimore",1751-04-24T00:00:00Z,Governor of Maryland
Charles Herbert Allen,1934-04-20T00:00:00Z,Governor of Puerto Rico
Jesús T. Piñero,1952-11-16T00:00:00Z,Governor of Puerto Rico
Luis A. Ferré,2003-10-21T00:00:00Z,Governor of Puerto Rico
Theodore Roosevelt Jr.,1944-07-12T00:00:00Z,Governor of Puerto Rico
Nelson A. Miles,1925-05-15T00:00:00Z,Governor of Puerto Rico
George Whitefield Davis,1918-07-12T00:00:00Z,Governor of Puerto Rico
Arthur Yager,1941-12-24T00:00:00Z,Governor of Puerto Rico
William D. Leahy,1959-07-20T00:00:00Z,Governor of Puerto Rico
Blanton Winship,1947-10-09T00:00:00Z,Governor of Puerto Rico
Rexford Tugwell,1979-07-21T00:00:00Z,Governor of Puerto Rico
James Wright,1785-11-20T00:00:00Z,Governor of Georgia
Seth John Cuthbert,1797-08-23T00:00:00Z,Governor of Georgia
William Glascock,1793-01-01T00:00:00Z,Governor of Georgia
Humphrey Wells,t180754784,Governor of Georgia
John Houstoun,1796-07-20T00:00:00Z,Governor of Georgia
John Martin,1786-01-01T00:00:00Z,Governor of Georgia
John Wereat,1799-01-25T00:00:00Z,Governor of Georgia
Lamartine Griffin Hardman,1937-02-18T00:00:00Z,Governor of Georgia
Nathaniel Edwin Harris,1929-09-21T00:00:00Z,Governor of Georgia
Myrick Davies,1781-01-01T00:00:00Z,Governor of Georgia
Peter Early,1817-08-15T00:00:00Z,Governor of Georgia
Samuel Elbert,1788-11-01T00:00:00Z,Governor of Georgia
Eurith D. Rivers,1967-06-11T00:00:00Z,Governor of Georgia
