code,notSure,officialTitle
1,1,Chief Executives
2,2,General and Operations Managers
3,3,Legislators
4,4,Advertising and Promotions Managers
5,5,Marketing and Sales Managers
6,6,Public Relations Managers
10,10,Administrative Services Managers
11,11,Computer and Information Systems Managers
12,12,Financial Managers
13,13,Human Resources Managers
14,14,Industrial Production Managers
15,15,Purchasing Managers
16,16,"Transportation, Storage, and Distribution Managers"
20,20,"Farm, Ranch, and Other Agricultural Managers"
21,21,Farmers and Ranchers
22,22,Construction Managers
23,23,Education Administrator
30,30,Engineering Managers
31,31,Food Service Managers
32,32,Funeral Directors
33,33,Gaming Managers
34,34,Lodging Managers
35,35,Medical and Health Services Managers
36,36,Natural Sciences Managers
40,40,Postmasters and Mail Superintendents
41,41,"Property, Real Estate, and Community Association Managers"
42,42,Social and Community Service Managers
43,43,"Managers, All Other"
Business Operations Specialists,,
50,50,"Agents and Business Managers of Artists, Performers, and Athletes"
51,51,"Purchasing Agents and Buyers, Farm Products"
52,52,"Wholesale and Retail Buyers, Except Farm Products"
53,53,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
54,54,"Claims Adjusters, Appraisers, Examiners, and Investigators"
56,56,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
60,60,Cost Estimators
62,62,"Human Resources, Training, and Labor Relations Specialists"
70,70,Logisticians
71,71,Management Analysts
72,72,Meeting and Convention Planners
73,73,Other Business Operations Specialists
Financial Specialists,,
80,80,Accountants and Auditors
81,81,Appraisers and Assessors of Real Estate
82,82,Budget Analysts
83,83,Credit Analysts
84,84,Financial Analysts
85,85,Personal Financial Advisors
86,86,Insurance Underwriters
90,90,Financial Examiners
91,91,Loan Counselors and Officers
93,93,"Tax Examiners, Collectors, and Revenue Agents"
94,94,Tax Preparers
95,95,"Financial Specialists, All Other"
Professional and Related Occupations,,
Computer and Mathematical Occupations,,
100,100,Computer Scientists and Systems Analysts
101,101,Computer Programmers
102,102,Computer Software Engineers
104,104,Computer Support Specialists
106,106,Database Administrators
110,110,Network and Computer Systems Administrators
111,111,Network Systems and Data Communication Analysts
120,120,Actuaries
121,(See code 124),Mathematicians
122,122,Operations Research Analysts
123,(See code 124),Statisticians
124,"(Inc. 121, 123)","Miscellaneous Mathematical Science Occupations, Including Mathematicians and Statisticians"
Architecture and Engineering Occupations,,
130,130,"Architects, Except Naval"
131,131,"Surveyors, Cartographers, and Photogrammetrists"
132,132,Aerospace Engineers
133,(See code 153),Agricultural Engineers
134,(See code 153),Biomedical Engineers
135,135,Chemical Engineers
136,136,Civil Engineers
140,140,Computer Hardware Engineers
141,141,Electrical and Electronics Engineers
142,142,Environmental Engineers
143,143,"Industrial Engineers, Including Health and Safety"
144,144,Marine Engineers
145,145,Materials Engineers
146,146,Mechanical Engineers
150,(See code 152),"Mining and Geological Engineers, Including Mining Safety Engineers"
151,151,Nuclear Engineers
152,152 (Inc. 150),"Petroleum, Mining and Geological Engineers, Including Mining Safety Engineers"
153,"153 (Inc. 133, 134)","Miscellaneous Engineers, Including Agricultural and Biomedical"
154,154,Drafters
155,155,"Engineering Technicians, Except Drafters"
156,156,Surveying and Mapping Technicians
"Life, Physical, and Social Science Occupations",,
160,160,Agricultural and Food Scientists
161,161,Biological Scientists
164,164,Conservation Scientists and Foresters
165,165,Medical Scientists
170,170,Astronomers and Physicists
171,171,Atmospheric and Space Scientists
172,172,Chemists and Materials Scientists
174,174,Environmental Scientists and Geoscientists
176,176,"Physical Scientists, All Other"
180,180,Economists
181,181,Market and Survey Researchers
182,182,Psychologists
183,(See code 186),Sociologists
184,184,Urban and Regional Planners
186,186 (Inc. 183),"Miscellaneous Social Scientists, Including Sociologists"
190,190,Agricultural and Food Science Technicians
191,191,Biological Technicians
192,192,Chemical Technicians
193,193,Geological and Petroleum Technicians
194,(See code 196),Nuclear Technicians
196,196 (Inc. 194),"Miscellaneous Life, Physical, and Social Science Technicians, Including Social Science Research Assistants and Nuclear Technicians"
Community and Social Services Occupations,,
200,200,Counselors
201,201,Social Workers
202,202,Miscellaneous Community and Social Service Specialists
204,204,Clergy
205,205,"Directors, Religious Activities and Education"
