fn,firstSentence,confidence
Indobit-A-NYT1987 - Sep 1 - Oct 31-56.txt, who retired last year as manager of the sulfur division of Exxon Chemicals
Indobit-A-NYT1995 - July 1 - Aug 31-300.txt," a teacher and balletmaster at American Ballet Theater, the Stuttgart Ballet and the Royal Ballet, drowned on Aug. 15 in Miami Beach"
Indobit-A-NYT1984_1-500-69.txt, a senior partner in the New York City law firm of Davis Polk & Wardwell
Indobit-A-NYT1988_1001-1500-87.txt, one of the early members of Bob Wills's popular swing band the Texas Playboys
Indobit-A-NYT1982_1001-1500-396.txt, who became famous as the ''Valentine Lady'' for re-mailing Valentines for thousands of people around the world
Indobit-A-NYT1988_1-500-320.txt, Archbishop of Santa Fe from 1964 to 1974
Indobit-A-NYT2001 - Oct 1 - Dec 31-64.txt," who wrote numerous songs for popular Doris Day movies during the 1960's and later wrote ""Tutti Frutti"" with Little Richard"
Indobit-A-NYT2001 - Oct 1 - Dec 31-191.txt, who was among the medical team that treated President John F. Kennedy's gunshot wounds and who later maintained that Lee Harvey Oswald had not been the lone gunman
Indobit-A-NYT1983 - Jan 1 - March 31-215.txt, a financial-management consultant
Indobit-A-NYT1995 - Nov 1 - Dec 31-267.txt, a teacher to generations of young tap dancers in New York and Chicago
Indobit-A-NYT2005 - Jan 1 - March 31-46.txt, whose QTV brand of teleprompters is used by the White House and in thousands of TV newsrooms
Indobit-A-NYT1985 - Jan 1 - March 31-178.txt, a Hebraic and Arabic scholar and an authority on Islamic civilization
Indobit-A-NYT2006_1001-1372-313.txt, a Washington Senators infielder who was one of baseball's leading hitters of the 1930s and early '40s
Indobit-A-NYT2008_501-1000-357.txt, an All-Pro defensive back who helped the Baltimore Colts win two National Football League championships in the 1950s
Indobit-A-NYT1990_January to June_1001-1500-362.txt, who as head of Hammer Films produced horror movies that chilled a generation of filmgoers
Indobit-A-NYT2007 - Jan 1 - March 31-103.txt,
Indobit-A-NYT1992_501-1000-332.txt, a patron of the arts
Indobit-A-NYT1980_501-904-153.txt, a Deputy Minister of Defense responsible for armaments
Indobit-A-NYT2012_1-500-361.txt, the top defenseman with the great Soviet hockey teams of the 1970s and '80s
Indobit-A-NYT1998_501-1000-288.txt, a clarinetist and saxophonist who played with many of the great jazz ensembles during a career that began in the 1930's and lasted about 50 years
Indobit-A-NYT1997 - July 1 - Sep 30-118.txt, who served as United States Ambassador to the Dominican Republic in the 1970's
Indobit-A-NYT2000_1001-1500-163.txt, an English-born painter who worked in an Abstract Expressionist vein
Indobit-A-NYT1998_1001-1500-128.txt," a partner in Hague Art Deliveries, which developed 420 West Broadway, one of the primary gallery buildings during the heyday of the SoHo art scene"
Indobit-A-NYT1982_1001-1500-330.txt, a painter and etcher
Indobit-A-NYT1994_1001-1500-320.txt, for many years the head of one of the biggest mail order merchandisers in Europe
Indobit-A-NYT1990_January to June_501-1000-227.txt, a tenor saxophonist in major jazz bands and an original swing arranger whose own band toured American Army camps in World War II
Indobit-A-NYT2008_1-500-473.txt," Va. Lorenzo Odone, whose parents' battle to save him from a nerve disease was the subject of the movie ''Lorenzo's Oil"
Indobit-A-NYT1988_1-500-109.txt, professor emeritus of biochemistry at the College of Physicians and Surgeons of Columbia University
Indobit-A-NYT2009 - Oct 1 - Dec 31-218.txt," whose complex improvisations on 6-string, 12-string and lap steel guitar earned him a devoted cult following"
Indobit-A-NYT1997 - July 1 - Sep 30-367.txt, a leading researcher in the study of pain and its relation to health
Indobit-A-NYT2010_501-1000-494.txt, Frank W. Lewis mesmerized
Indobit-A-NYT1983 - April 1 - June 30-158.txt, a former New York State Senator and Assemblyman
Indobit-A-NYT2000_1-500-485.txt, a State Department veteran who was an authority on human rights
Indobit-A-NYT1995 - July 1 - Aug 31-220.txt, a shortstop who played in three World Series and the first All-Star Game
Indobit-A-NYT1991 - May 1 - May 31-172.txt, a photographer at The New York Times for more than 40 years
Indobit-A-NYT1995 - Sep 1 - Oct 31-247.txt," the mother of Beverly Sills, the chairwoman of Lincoln Center for the Performing Arts"
Indobit-A-NYT2004_501-1000-393.txt, a scholar of Greek antiquity who in the 1960's helped unearth the relics of battles fought more than two millenniums ago
Indobit-A-NYT1993 - July 1 - Aug 31-47.txt, the maternal grandmother of the Princess of Wales
Indobit-A-NYT1992_1-500-310.txt," the volunteer nurse known as the ""Angel of Arnhem"" to hundreds of wounded British soldiers in World War II"
Indobit-A-NYT1987 - Sep 1 - Oct 31-293.txt, one of the first blacks hired by the Columbia-Presbyterian Medical Center medicine department
Indobit-A-NYT1985 - Oct 1 - Dec 31-130.txt, a professor of nuclear engineering at the Massachusetts Institute of Technology
Indobit-A-NYT2012_1-500-75.txt, a colorful indie-film executive who helped steer art-house movies like ''Bowling for Columbine'' and ''Hotel Rwanda'' to the masses
Indobit-A-NYT1982_1-500-107.txt, a restorer of three-dimensional art works
Indobit-A-NYT2007 - July 1 - Sep 30-105.txt, a late-blooming Cubist painter
Indobit-A-NYT1989 - July 1 - Aug 31-135.txt, a Long Island restaurateur
Indobit-A-NYT1990_July to December_501-1000-33.txt," he had 23 victories, 15 losses"
Indobit-A-NYT1983 - April 1 - June 30-394.txt," a retired United States Marshal who commanded the 71-day standoff against 300 militant Indians at Wounded Knee, S.D., in 1973"
Indobit-A-NYT1989 - Sep 1 - Oct 31-253.txt, a professor of biophysics at Rockefeller University
Indobit-A-NYT2003 - July 1 - Sep 30-132.txt," a composer known as Tite Curet, who wrote nearly 2,000 dance songs and ballads"
Indobit-A-NYT1992_1-500-82.txt, a pioneer in developing cancer radiation treatments
Indobit-A-NYT1988_1001-1500-121.txt," formerly a medical consultant to Consumers Union Inc., which publishes the monthly Consumer Reports magazine"
Indobit-A-NYT1990_July to December_501-1000-65.txt,
