Source,Target,weight
Peter Bogdanovich,Burt Reynolds,2
Gus Levy,Alfred Drake,2
Hugh Hastings,Arthur Miller,3
Sheldon Harnick,Jack Nicholson,48
Sally Gracie,Andrei Vishinsky,2
Jeff Bridges,"' ' Harper,''''Where Eagles Dare,''''The Long Goodbye,''''The Missouri Breaks",2
Lillian Rose Watkins,Dr. Ralph Waldo Emerson Jones,2
Jack Nicholson,Harry Met Sally,48
Nora Ephron,Betty Friedan,2
John T. Edge,Dorcas Avedon,2
Royal Wedding,Clark Gable,2
Gloria Steinem,Bob Woodward,2
You When You Know I,You Can See Forever,2
Robert Malcolm,John Raitt,2
Viking Press,Ken Kesey,2
Warren Beatty,Peter Bogdanovich,4
Twyla Tharp,Leonard Bernstein,2
Orson Welles,Konstantin Stanislavski,5
Jack Nicholson,Andrei Vishinsky,48
Walter Damrosch,Simon Bucharoff,2
Franz Kline,Adolph Gottlieb,2
My Life,Lillian Hellman,2
Elaine Stritch,Ben Hecht,2
Woody Allen,Al Pacino,5
Dorothy Pennebaker Brando,Anthony Quinn,3
Orson Welles,Marc Antony,5
Jim Mahoney,Bob Hope,5
Will Geer,Herman J. Mankiewicz,2
Marty Pilletti,Claire Bloom,2
Me When I Said I Love You When You Know I,I Said I Love You When You Know I,2
Mary Ida Nicholson Gordy,Lillian Carter,2
I Love You When You Know I,Fred Allen,2
Ned Rorem,Craig Highberger,2
Richard Thomas,President George H. W. Bush,2
James Chressanthis,Bob Rafelson,3
Peter Sellers,Dr. Fu Manchu,4
Mr. De Palma,Mike Nichols,4
Peter Manso,Mr. De Niro,2
Jack Nicholson,Alan Freed,48
You Believe Me When I Said I Love You When You Know I,My Heart,2
Pat Boone,John Randolph,3
Paul Newman,Dag Drollet,8
Michael Douglas,Doug Blackburn,4
Johnny Carson,Jack Nicholson,48
Eddie Robinson,Dr. Ralph Waldo Emerson Jones,3
President John F. Kennedy,Mike Nichols,4
Nicole Kidman,Gustav Hasford,3
Saul Zaentz,George Lucas,5
James Thomas Harrison,Bill Murray,3
Jay Cantor,Janet Maslin,3
Meg Wolitzer,I Feel Bad About My Neck,2
Jamie Potenberg,Brad Pitt,2
You Know I,My Heart,2
Love With You,""" Royal Wedding",2
Viva Zapata,Larry King Live,2
Lee Strasberg,Henry Lee Hopper,5
Marlon Brando,Ben Hecht,9
Morris Landau,Martin Landau,2
Warren Beatty,Julie Christie,5
Julia Roberts,Jack Nicholson,48
Johnny Carson,Frank Gorshin,2
William Zsigmond,Gene Hackman,2
Ringo Starr,Lee Hill,3
Michael Douglas,Anthony Minghella,4
Natalie Wood,Arnold Schwarzenegger,4
James Dean,Harold Brodkey,5
David Cronenberg,""" Hot Rod Girl",2
Sherrill David Robinson,Bob Kane,2
So Paulo,Raul Julia,2
Millicent Safro,Candice Bergen,2
Vincente Minnelli,""" Royal Wedding",2
Meryl Streep,Julia Child,4
Karen Blanche Ziegler,Diane Koehnemann Bay,2
Eva Marie Saint,Ann Douglas,2
Peter Fonda,Henry Hathaway,9
Roger Hill,Richard Head Welles,2
Ralph Freed,Burton Lane,2
Joe Roth,Don Johnson,2
Harry Fischer,Gilbert Lloyd,2
