date,id,fullBody,firstSentence,title
1980-11-07 00:00:00,14253,"Walter R. Williams Jr., former chairman and chief executive officer of the Union Dime Savings Bank, died Monday at his home in Short Hills, N.J. He was 69 years old.

 Mr. Williams joined Union Dime as treasurer in January 1950 after eight years as executive secretary of the Savings Banks Association of the State of New York. He was named a vice president of the bank later in 1950 and president and chief executive officer in 1959. In 1968, Mr. Williams was elected chairman, a position he held until his retirement in September 1976.

 Mr. Williams's banking career began with the Franklin Savings Bank in New York City in 1932 after his graduation from Yale University. Mr. Williams is survived by his wife, the former Manie H. Connor; two daughters, Mrs. John Tetjens of Lake Oswego, Ore., and Mrs. M. D. Nicholson of Toronto; a sister, Mrs. R. J. Chamier of Moberly, Mo., and five grandchildren.","Walter R. Williams Jr., former chairman and chief executive officer of the Union Dime Savings Bank, died Monday at his home in Short Hills, N.J.","November 7, 1980, Friday, Late City Final Edition  Walter R. Williams Jr., 69, Dead; Former Chairman of Union Dime"
1980-09-29 00:00:00,22555,"Olegario Lorenzo, a longtime New York City hair stylist and the father of Frank Lorenzo, chairman and chief executive officer of Texas International Airlines and New York Air, died Saturday at Memorial Sloan-Kettering Hospital. He was 75 years old and was a resident of Rego Park, Queens.

 Mr. Lorenzo, a native of Tuy in the province of Galicia, Spain, came to this country at the age of 18. For 35 years he was the proprietor of the Larian Beauty Salon at 148 East 34th Street. He retired two years ago.

 Besides his son, Frank, of Houston, he is survived by his wife, Ana; another son, Valentin, of Northport, L.I.; a sister, Carmen Munoz of Tuy, and seven grandchildren.","Olegario Lorenzo, a longtime New York City hair stylist and the father of Frank Lorenzo, chairman and chief executive officer of Texas International Airlines and New York Air, died Saturday at Memorial Sloan-Kettering Hospital.","September 29, 1980, Monday, Late City Final Edition  OLEGARIO LORENZO"
1980-06-24 00:00:00,22176,"UF814DALLAS, June 23 (AP) - Jesse Curry, who was the chief of police when President Kennedy was assassinated here in 1963, died last night of a heart attack. He was 66 years old.

 He collapsed at home shortly before 11 P.M. and was prounounced dead on arrival at Baylor University Medical Center. Mac McMurtry of the Dallas County Medical Examiner's office said today that the cause of death was a heart attack, adding that Mr. Curry, who was retired, had been in failing health in the last few months.

 Chief Curry and his 1,100-man force captured Lee Harvey Oswald, the accused assassin of Mr. Kennedy, within 90 minutes of the assassination in downtown Dallas Nov. 22, 1963. But two days later Jack Ruby slipped into the City Hall basement and shot Oswald fatally during a jail transfer. That shooting was seen by millions on live national television.

 Job Tensions Affected Health

 Three years later, Chief Curry resigned from the force and became chief of security for a large bank. At the time, he said that tensions of the office were affecting his health.

 ''The worst thing that ever happened to us was Jack Ruby,'' he said. ''I wake up every now and then at 2 and 3 in the morning thinking about Kennedy, Oswald and Ruby and can't go back to sleep.''

 Jack Ruby died of cancer in 1967. In Mexia, Tex., meanwhile, Justice of the Peace Opaline Bonner ruled that John Holbrook, 56, one of the 10 psychiatrists who testified at Ruby's trial for murder, died last Monday of an overdose of alcohol and Valium.

 Ruby had said that he suffered from ''psychomotor epilepsy,'' which allegedly made him insane at the time he shot Oswald, but Dr. Holbrook, testifying for the state, said that Ruby did not have that disorder.

 Mr. Curry became police chief in 1960 after working his way up through the ranks. He joined the force as a patrolman in 1936, when his salary was $89 a month. He was born in Hamilton, Tex., in 1913, the son of a policeman who became a preacher. His family later moved to Dallas.","Jesse Curry, who was the chief of police when President Kennedy was assassinated here in 1963, died last night of a heart attack.","June 24, 1980, Tuesday, Late City Final Edition  JESSE CURRY;63 DALLAS POLICE AIDE"
1980-10-20 00:00:00,14175,"Herman Hollander, an American Zionist who emigrated to Israel in 1948 and later served in the Cabinet of Prime Minister David Ben-Gurion, died here this weekend. He was 69 years old.

 Mr. Hollander, who was appointed the new nation's first director general of the Ministry of Trade and Industry in 1950, was born in Germany. He joined the family leather business at an early age, traveling on business to Europe and North and South America. He continued his business travels after settling in New York City in the 1930's.

 He held office in a number of Zionist organizations in the United States, including that of vice president of the Mizrachi Organization of America from 1940 to 1948, when he moved his family to Israel.

 He was a member of the World Zionist Actions Committee, which in May 1948 voted to proclaim Israel's independence when the British left Palestine.

 Because of his experience in international trade, Mr. Hollander was recruited for Government service and took over the trade and industry post in the Ben-Gurion Government. He was closely involved in tackling the fledgling nation's economic problems both as a Government official and as a member of Zionist committees.

 Mr. Hollander is survived by his wife, two daughters and a son.","Herman Hollander, an American Zionist who emigrated to Israel in 1948 and later served in the Cabinet of Prime Minister David Ben-Gurion, died here this weekend.","October 20, 1980, Monday, Late City Final Edition  Herman Hollander, 69, Served in Israeli Cabinet"
1980-08-12 00:00:00,22368,"Frank Van Dyk, a prime mover in the establishment of Blue Cross health insurance plans across the country in the 1930's and a founder and former vice president of community relations of the Associated Hospital Service of New York, now called Blue Cross and Blue Shield of Greater New York, died Sunday at his home in Ridgewood, N.J. He was 83 years old.

 During the Depression year of 1931, Mr. Van Dyk, as the executive director of the Hospital Council of Essex County, N.J., was acutely aware of the difficulties people had in paying their hospital bills. He began exploring the possibility of prepaid hospital care throughout the community.

 He knew of an insurance plan for schoolteachers that had been initiated in 1929 at Baylor University Hospital in Dallas, Tex., by Dr. Justin Ford Kimball, the Dallas Superintendent of Schools. Mr. Van Dyk visited Dallas to gather information and then, in 1931, he organized the Associated Hospital of Essex County, N.J. That organization, now known as the Hospital Service of New Jersey, was the first communitywide prepaid hospital care plan in the United States.

 Fannie Hurst Subscribed

 In 1935, Mr. Van Dyk started the Associated Service of Greater New York with a staff of six at 370 Lexington Avenue. Fannie Hurst, the novelist, was the first subscriber. In the first eight months the number of subscribers grew to 40,000, and on the organization's 10th anniversary it had 2 million enlisted. Today, Blue Cross and Blue Shield subscribers in the lower 17 counties of New York State total 9 million.

 Mr. Van Dyk was elected vice president in charge of enrollment in 1939, a post he held until 1961 when he was made vice president in charge of community services. He retired in 1962.

 He was a native of Paterson, N.J. Survivors include his wife, the former Rebecca Johnson; three daughters, Kathleen Sikkema of Ellsworth, Me., Elizabeth De Meyer of Southwest Harbor, Me., and Mildred Wood of Ridgewood, N.J.; two brothers, Myndert, also of Ridgewood, and Richard of Beach Haven, N.J.; 10 grandchildren, and four great-grandchildren.","Frank Van Dyk, a prime mover in the establishment of Blue Cross health insurance plans across the country in the 1930's and a founder and former vice president of community relations of the Associated Hospital Service of New York, now called Blue Cross and Blue Shield of Greater New York, died Sunday at his home in Ridgewood, N.J.","August 12, 1980, Tuesday, Late City Final Edition  FRANK VAN DYKE OF BLUE CROSS,83"
1981-01-13 00:00:00,37426,"George Papadopulos, former Stark County Sheriff who was president of the National Sheriffs Association, died yesterday, apparently of a heart attack. He was 53 years old.

 Officials at Timken Mercy Hospital said that the sheriff, who had held the county post for 13 years, was pronounced dead at 12:25 P.M. Mr. Papadopulos, who last fall was named as the nation's No. 1 sheriff by the sheriffs' association, unexpectedly lost his reelection bid in November to Robert Berens, a Republican.

 In the heated campaign, Mr. Berens repeatedly asserted that organized crime had grown in Stark County during the Papadopulos Democratic administrations. The allegations led Mr. Papadopulos to file a libel suit against Mr. Berens. Mr. Papadopulos still held the sheriffs' association presidency when he died.

 He is survived by his wife, Betty, a son and two daughters.","George Papadopulos, former Stark County Sheriff who was president of the National Sheriffs Association, died yesterday, apparently of a heart attack.","January 13, 1981, Tuesday, Late City Final Edition  George Papadopulos; Head of Sheriffs Group"
1981-09-26 00:00:00,42707,"Harold H. Cook, retired senior vice president and director of the former investment banking firm of Spencer Trask & Company, died Wednesday in St. Luke's Hospital in Phoenix. A former resident of Montclair, N J., he was 77 years old and had lived in Scottsdale, Ariz., since his retirement in 1969.

 Virtually all of Mr. Cook's business career had been with Spencer Trask, which eventually became a part of Shearson Loeb Rhoades Inc. He joined the company shortly after graduating from Williams College in 1926.

 He was a governor of the New York Stock Exchange from 1962 to 1968 and a past governor of the Investment Bankers Association and the National Asso ciation of Security Dealers.

 Mr. Cook is survived by his wife, Catherine; a daughter by a previous marriage, Joan Maxwell Cook of Ipswich, Mass.; two stepchildren, Carla J. and John G. Baehr; a sister, Beatrice Egbert of Upper Montclair, N.J., and two grandchildren.","Harold H. Cook, retired senior vice president and director of the former investment banking firm of Spencer Trask & Company, died Wednesday in St. Luke's Hospital in Phoenix.","September 26, 1981, Saturday, Late City Final Edition  Harold H. Cook, 77, Is Dead; A Retired Investment Banker"
1981-06-02 00:00:00,3236,"Dr. Herman A. Brusson, a former vice president of the Olin Corporation of Connecticut who had 400 patents credited to his name, died Sunday in New Haven Hospital. He was a resident of Woodbridge, Conn., and was 79 years old.

 Dr. Brusson, a chemist with a doctorate from the Federal Polytechnic Institute in Switzerland, is credited with helping to develop Plexiglas, several pesticides and flame-retardant polyurethane foam. In 1931, he invented an oil additive that was widely used by major oil companies.

 He worked for the Goodyear Tire and Rubber Company from 1925 to 1928. Dr. Brusson left Goodyear in 1928 to work for Rohm and Haas, a chemical manufacuring company that he stayed with for 20 years. Upon leaving there, he went to the Industrial Rayon Corporation. In 1952, joined what is now Olin Mathieson Chemicals Corporation.

 Dr. Brusson is survived by his wife, Virginia, and three daughters, Rita of Woodbridge, Dorothy Govalla of Barstow, Calif., and Barbara Burns of Tokyo.

 Services are scheduled at noon on Thursday at Congregation Mishkan Israel in Hamden, Conn.","Dr. Herman A. Brusson, a former vice president of the Olin Corporation of Connecticut who had 400 patents credited to his name, died Sunday in New Haven Hospital.","June 2, 1981, Tuesday, Late City Final Edition  Dr. Herman A. Brusson, A Chemist and Inventor"
1981-03-18 00:00:00,37728,"Joel Schlesinger, an industrial real-estate broker and appraiser, and chairman of the board of the Schlesinger Company, an industrial real-estate concern of Clifton, N.J., died Monday at the Orange Memorial Hospital. He was 84 years old and lived in West Orange.

 He was a member of the New Jersey Water Policy Commission and the New Jersey Riparian Lands Commission, and a founder of the Kessler Institute for Rehabilitation in West Orange.

 Mr. Schlesinger is survived by a daughter, Barbara S. Marcovich of Paris; two grandsons, and a nephew, Frank A. Schlesinger, president of the Schlesinger Company.","Joel Schlesinger, an industrial real-estate broker and appraiser, and chairman of the board of the Schlesinger Company, an industrial real-estate concern of Clifton, N.J., died Monday at the Orange Memorial Hospital.","March 18, 1981, Wednesday, Late City Final Edition  JOEL SCHLESINGER"
1981-08-31 00:00:00,42582,"William H. Adams, a senior vice president and director of administration services of the Chase Manhattan Bank, died of a heart attack yesterday at New York Hospital. He was 57 years old and lived in Farmingdale, L.I.

 Mr. Adams joined the bank in 1941. After serving in the Air Force during World War II, he was assigned to the bank's corporate trust department in 1945. He was appointed director of administration services in 1971.

 He is survived by his wife, the former Muriel Schmidt; a son, Douglas of Huntington, L.I.; his mother, Bessie Adams of Queens; a sister, Carol Haulser of Smithtown, L.I.; a brother, Raymond of Farmingdale, and two grandchildren.","William H. Adams, a senior vice president and director of administration services of the Chase Manhattan Bank, died of a heart attack yesterday at New York Hospital.","August 31, 1981, Monday, Late City Final Edition  WILLIAM H. ADAMS"
