firstSentence,id,date,fullBody,title
"James T. McGrath, vice president and general counsel of Doubleday & Company, died of cancer Monday in St. Luke's Hospital.",22535,1980-09-24 00:00:00,"James T. McGrath, vice president and general counsel of Doubleday & Company, died of cancer Monday in St. Luke's Hospital. He was 46 years old and lived in Point Lookout, L. I.

 Mr. McGrath joined the publishing company in 1968. In addition to his regular legal duties, he also had responsibilities for the New York Mets and the Doubleday Broadcasting divisions.

 The Doubleday executive, who was a Navy veteran, had an accounting degree from Pace College and worked in the tax accounting departments of such corporations as Union Carbide, Eastman Kodak and Mobil Oil.

 He got his law degree from St. John's University the same year he joined Doubleday and was named its general counsel, assistant secretary and assistant treasurer. His election to vice president came in 1975.

 Mr. McGrath is survived by his wife, the former Barbara Kehoe; five children, Christopher, Timothy, Kevin, Julia and James; his mother, Christina M. McGrath of Point Lookout and two brothers, the Rev. Bernard Jr., pastor of Holy Family Roman Catholic Church, Hicksville, L.I., and John, also of Point Lookout.

 A mass of Christian burial will be offered tomorrow at 10:30 A.M. at Our Lady of the Miraculous Medal Church in Point Lookout.","September 24, 1980, Wednesday, Late City Final Edition  James T. McGrath, 46; A Doubleday Executive"
"Stuart D. Armour, a Canadian economist and chairman of the Great Lakes Waterways Development Association until his retirement two years ago, collapsed and died of a heart attack last week.",22169,1980-06-21 00:00:00,"Stuart D. Armour, a Canadian economist and chairman of the Great Lakes Waterways Development Association until his retirement two years ago, collapsed and died of a heart attack last week. He was 87 years old and lived in Hamilton, Ontario.

 Mr. Armour retired as head of the waterways association in 1978 after 15 years in the job. From 1947 to 1963, he was economic adviser to the president of the Steel Company of Canada. He was an economic adviser for the Canadian Government throughout World War II and until he joined the steel company.

 Mr. Armour was an advocate of free passage through the lakes and waterways along the United States-Canadian border. He chided the United States Government for what he called a skinflint policy for planning to charge tolls on the St. Lawrence Seaway when the jointly built system was formally opened in April 1959.

 He died June 13 as he was returning from a lunch in Hamilton. Mr. Armour is survived by a sister, Mrs. Clarence Doheny of Granville, Ohio; two sons, Peter of Philadelphia and David of Washington, D.C.; two daughters, Margaret Sellers of Winnepeg, Manitoba, and Katherine Fulton of Toronto, and 14 grandchildren.","June 21, 1980, Saturday, Late City Final Edition  Stuart D. Armour, at 87, A Canadian Economist"
"James T. McNamara, a vice president of government affairs of the Prudential Insurance Company and a former New York State Assemblyman, died Monday of cancer at the Columbia-Presbyterian Medical Center.",22398,1980-08-20 00:00:00,"James T. McNamara, a vice president of government affairs of the Prudential Insurance Company and a former New York State Assemblyman, died Monday of cancer at the Columbia-Presbyterian Medical Center. He was 64 years old and lived in the Riverdale section of the Bronx.

 Mr. McNamara served two terms as a Democratic Assemblyman from Manhattan. He was elected in 1940 from the 13th Assembly District and in 1948 from the Seventh Assembly District in Manhattan; both were in the Morningside Heights area.

 He joined Prudential in 1957 and was appointed a vice president in 1973. He was a graduate of the United States Military Academy at West Point. Surviving him are wife, the former Mary J. McManus, a daughter, Christine Cwikla, and a son, Neal, both of Manhattan, and two grandchildren.","August 20, 1980, Wednesday, Late City Final Edition  J. T. McNamara, Insurance Aide And Former State Assemblyman"
"Frank B. Maher, who rose from clerk to president of the John Hancock Mutual Life Insurance Company in a career that spanned 56 years, died yesterday at his home in Weston, Mass.",14326,1980-11-20 00:00:00,"Frank B. Maher, who rose from clerk to president of the John Hancock Mutual Life Insurance Company in a career that spanned 56 years, died yesterday at his home in Weston, Mass. He was 74 years old.

 After four years as president and chief operating officer of John Hancock, the fifth largest life insurance company in the country, Mr. Maher stepped down in 1974, but continued as a board member and member of the committee on corporate finance until 1977. For two more years, he maintained an office in the headquarters in Boston and served on the committee for the acquisition of real estate and agricultural businesses.

 Mr. Maher grew up in New York City. He attended New York University. He is survived by his wife, the former Josephine V. Loveday; two sons, F. Barry Jr., and Peter; three daughters, Joanne M. Wilson, Denise Dunne and Jennifer M. Dibble; two brothers and 15 grandchildren.","November 20, 1980, Thursday, Late City Final Edition  Frank B. Maher, Headed John Hancock Insurance"
"J. Sydney Stone, a retired lawyer and a former board member of Avon Products, died Tuesday in the Glynn-Brunswick Memorial Hospital in Brunswick, Ga. Mr. Stone, who lived in Sea Island, Ga, and had a summer home in Greensboro, Vt., was 79 years old.",22165,1980-06-20 00:00:00,"J. Sydney Stone, a retired lawyer and a former board member of Avon Products, died Tuesday in the Glynn-Brunswick Memorial Hospital in Brunswick, Ga. Mr. Stone, who lived in Sea Island, Ga, and had a summer home in Greensboro, Vt., was 79 years old. He was born in Ypsilanti, Mich., and lived for many years in Bronxville, N.Y. He was a graduate of Princeton University and Harvard Law School. He joined the law firm of Breed, Abbot & Morgan in 1926 and became a partner in 1934. He retired in 1967.

 Mr. Stone was a member of the Avon board from 1942 until 1974. He also served as a director of Roosevelt Raceway and was a president of the Bronxville Public Library. He was a past president and a member for more than 40 years of the Anglers Club of New York.

 He is survived by his wife, Mary; a son, John C. 2d of Princeton, N.J.; a daughter, Mrs. C. Paul Slater of Bronxville, and four grandchildren.","June 20, 1980, Friday, Late City Final Edition  J. SYDNEY STONE, RETIRED LAWYER AND FORMER AVON BOARD MEMBER"
"La Rue Applegate, former vice president in charge of press relations and publications for Merrill Lynch, Pierce, Fenner & Smith Inc., the stockbrokerage concern, died last Thursday at St. Francis Hospital in Miami Beach.",3133,1981-05-12 00:00:00,"La Rue Applegate, former vice president in charge of press relations and publications for Merrill Lynch, Pierce, Fenner & Smith Inc., the stockbrokerage concern, died last Thursday at St. Francis Hospital in Miami Beach. He was 67 years old and lived in Miami Beach.

 He had been associate business editor of Time magazine when he joined Merrill Lynch in 1943. He was a former general partner of Merrill Lynch and was founding editor of its magazine, Investor's Reader, which stopped publishing in 1973. He became a vice president of Merrill Lynch in 1959 and retired in 1971.

 From 1937 to 1946, Mr. Applegate, a stamp collector, wrote a Sunday stamps column for The New York Times. He is survived by his wife, the former Bettye Rogers; three daughters, Lynn Tanzi of Kings Park, L.I., Jill Petralia of San Rafael, Calif., and Aria Catterson of Huntington, L.I.; a son, Gregory of Philadephia; a sister, Aria Brown of Dunedin, Fla.; two brothers, Emerson and Jackie, both of St. Petersburg, Fla., and six grandchildren.","May 12, 1981, Tuesday, Late City Final Edition  La Rue Applegate, 67, Executive Held Press Post at Merrill Lynch"
"Maj. Gen. Harry H. Vaughan, whose actions as confidant and aide-de-camp to President Truman a generation ago led to a series of national uproars, died here yesterday at DeWitt Army Hospital.",3175,1981-05-22 00:00:00,"Maj. Gen. Harry H. Vaughan, whose actions as confidant and aide-de-camp to President Truman a generation ago led to a series of national uproars, died here yesterday at DeWitt Army Hospital. He was 87 years old.

 General Vaughan's reputation ranged from that of White House court jester to national menace, depending on the severity of the storm engulfing him at a particular moment.

 General Vaughan traded barbs with the likes of Drew Pearson, the columnist, and Senator Joseph R. McCarthy, who accused the Presidential aide of being an influence-peddling ''5 percenter,'' a term applied to those who offered to get Government contracts for businesses for a fee, usually 5 percent. The general, called to testify about his activities by a Senate committee, was reprimanded for accepting seven home freezers as gifts for himself and highranking friends.

 When Mr. Truman was urged by Mr. Pearson to dismiss General Vaughan after it was disclosed that the general had accepted a medal from the neofascist Argentine Government, the President retorted, ''No S.O.B. is going to tell me who to have on my staff or in my Cabinet.'' The remark touched off a national outburst of tongueclucking.

 Awards for Gallantry

 Yet General Vaughan, who retired from the Army in January 1953, was hardly a summer soldier. He was awarded two Silver Stars for gallantry and the French Croix de Guerre for bravery in World War I, in which he served alongside Mr. Truman.

 The two men from Missouri met at Fort Sill, Okla., in 1917 when both were young lieutenants in the field artillery. Lieutenant Vaughan managed to extricate Lieutenant Truman from a dressing-down given by their brigade commander, and they became friends for life.

 They served in the Army Reserves between the wars and at the outbreak of World War II, with Mr. Truman serving in the United States Senate, Mr. Vaughan returned to active duty as a lieutenant colonel. He was injured in a plane crash in Australia in 1943, and while being treated at Walter Reed Army Hospital in Washington was transferred to the staff of the Senate Armed Services subcommittee investigating arms procurement that was headed by Senator Truman.

 General Vaughan made many trips to battlefields as an investigator for the committee, whose uncovering of deception by the munitions industry led to national prominence for Senator Truman, and the Senator's eventual selection by President Roosevelt as his running mate in 1944.

 Aide to the Vice President

 After the election the new Vice President named then-Brigadier General Vaughan as his military aide, a rare appointment for a reserve officer. In Mr. Truman's eight years as Vice President and then President, he and General Vaughan were the charter members of a group that met frequently to play poker, swap stories and drink bourbon with branch water.

 Mr. Truman and his aide often had lunch together and followed the meal with a swim in the White House pool. Once admonished for having too much influence over the President, General Vaughan retorted: ''The President and I discuss numerous things, but my influence over him is doubtful. I don't suppose anyone gives him more advice than I do, or has less of it used.''

 General Vaughan was born in Glasgow, Mo., on Nov. 26, 1893, and grew up in St. Louis. He received a bachelor's degree from Westminster College in Fulton, Mo., in 1916.

 General Vaughan, whose wife died in 1975, is survived by a son, a daughter and three grandchildren. Funeral services will be Saturday in Alexandria, Va.","May 22, 1981, Friday, Late City Final Edition  HARRY H. VAUGHAN, MAJOR GENERAL WHO WAS AN AIDE TO TRUMAN,DIES"
"Charles P. Bowen Jr., former chairman of Booz, Allen & Hamilton, the management consulting firm, died Sunday at Greenwich Hospital in Greenwich, Conn.",42730,1981-09-29 00:00:00,"Charles P. Bowen Jr., former chairman of Booz, Allen & Hamilton, the management consulting firm, died Sunday at Greenwich Hospital in Greenwich, Conn. He was 67 years old.

 Mr. Bowen joined Booz, Allen in 1944 and became a partner in 1948. He was named president in 1961 and chairman in 1970, and on his retirement in 1976 was named honorary chairman.

 During his years as a top executive of Booz, Allen, the firm diversified its consulting services and overseas activities, and became the second largest management consulting firm in the United States behind McKinsey & Company.

 Before his service with Booz, Allen, Mr. Bowen spent nine years in industry, mos tly in the industrial engineering field with General Electric, Car negie Illinois Steel, Borg-Warner and Bell Aircraft. He was a trustee of the Conference Board and of the Committee for Economic Deve lopment.

 Mr. Bowen, a native of West Collingswood, N .J., graduated in business and engineering administration from the Massachusetts Institute of Technology.

 He is survived by his wife, the former Hope Ludlow; three children, Geoffrey, Eve and Deborah; his mother, Helen Bowen; his brother, John S. Bowen, and his sister, Barbara Bowen.","September 29, 1981, Tuesday, Late City Final Edition  Charles Bowen Jr., 67; Booz, Allen Chairman"
"Norma Newman Cohen, a leader in the national movement to help persons with impaired vision and co-founder and president of the Hollywood, Fla., chapter of Fight for Sight Inc., died yesterday at her home in Hollywood.",3018,1981-04-21 00:00:00,"Norma Newman Cohen, a leader in the national movement to help persons with impaired vision and co-founder and president of the Hollywood, Fla., chapter of Fight for Sight Inc., died yesterday at her home in Hollywood. She was 81 years old.

 Mrs. Cohen, a former resident of New York City, had also been active in other charitable and community affairs, including the American Red Cross, the Federation of Jewish Philanthropies and the United Jewish Appeal.

 She is survived by two sons, Melvin Owen of Cape Coral, Fla., and Edwin Owen of Manhattan; a daughter, Alese Pechter of East Hills, L. I.; eight grandchildren; a brother, Arthur Newman, and a sister, Ruth Newmark, both of Hollywood, Fla.

 Funeral services will be held at noon today at Temple Beth-El in Hollywood, with burial at 10 A.M. tomorrow at Old Mount Carmel Cemetary in Brooklyn.","April 21, 1981, Tuesday, Late City Final Edition  Norma Newman Cohen, a Leader In Group to Aid Vision-Impaired"
"Dr. Bernard E. Pinck, a former Mayor of Passaic, N.J., and chief of urology at Passaic General Hospital and Beth Israel Hospital in Passaic, died Sunday at St. Mary's Hospital in Passaic.",37432,1981-01-13 00:00:00,"Dr. Bernard E. Pinck, a former Mayor of Passaic, N.J., and chief of urology at Passaic General Hospital and Beth Israel Hospital in Passaic, died Sunday at St. Mary's Hospital in Passaic. He was 64 years old and lived in Passaic, where he was Mayor from 1967 to 1971.

 At his death, Dr. Pinck was clinical professor of urology at New York University Medical Center and Mount Sinai Medical Center in Manhattan.

 He graduated from Johns Hopkins University and the Johns Hopkins Medical School. In World War II, he was a captain with the Army's 235th Medical Division in France.

 Dr. Pinck was a former president of the Passaic County Medical Association. He is survived by his wife, the former Gladys Pasternack; a daughter, Elizabeth; two sons, Lawrence and Jonathan; a sister, Shirley Brawer, and a grandson.","January 13, 1981, Tuesday, Late City Final Edition  Dr. Bernard E. Pinck, 64, A Former Passaic Mayor"
