id,title,firstSentence
21878,A. LEE PARSONS,"A. Lee Parsons, an executive of the American Textile Manufacturers Institute until his retirement in 1976, died of cancer in Palo Alto, Calif., on April 9."
29247,"Frank Kermode, 90, A Critic Who Wrote With Style, Is Dead","Frank Kermode, who rose from humble origins to become one of England's most respected and influential critics, died Tuesday at his home in Cambridge, England."
52730,David Young Dies at 71; Painter and Friend to Jazz Artists,"David X. Young, a painter whose rodent-infested, illegally rented loft became a citadel of jazz improvisation and experimentation in the 1950's and 60's, died on May 22 in Manhattan."
5426,"Irwin Levine, 58; Wrote 'Yellow Ribbon'","Irwin Levine, a writer of the hit song ""Tie a Yellow Ribbon Round the Old Oak Tree,"" died on Wednesday at St. Barnabas Medical Center here."
20914,"E. Lynn Harris, Who Wrote of Gay Black Men's Lives, Dies at 54","E. Lynn Harris, whose novels about successful and glamorous black men with sexual identity conflicts (and the women and men who love them) made him one of the nation's most popular writers, died in Los Angeles on Thursday."
18406,"Michael F. Dillon, 64, A Presiding State Judge","Michael F. Dillon, the Presiding Justice of the State Appellate Division in Rochester, suffered a fatal heart attack Tuesday night while speaking at a farewell dinner for a Cuomo administration official."
30607,"C. BRUCE ELBRICK, EX-ENVOY, IS DEAD","C. Burke Elbrick, who in the span of a 42-year diplomatic career had been Ambassador to Portugal, Yugoslavia and Brazil, died of pneumonia here on Wednesday at Georgetown University Hospital."
43283,ALEXA KENIN,"Alexa Kenin, an actress on stage and television and in motion pictures, died at her apartment in Manhattan on Tuesday."
16516,"Dominic Quinn, 73, A Talk-Show Host And Fan of Opera","Dominic Quinn, a talk-show host in Philadelphia who cherished opera, the printed word and, very pointedly, the proper use of the English language, died on Friday at his home in Wayne, Pa."
44759,"Patty Duke, Oscar and Emmy Winner Who Began as a Child Star, Dies at 69","Patty Duke, an Oscar-winning actress renowned at midcentury as a child star of stage, film and television, who, amid public struggles with bipolar disorder, went on to cultivate a respected career in adulthood as an actress and mental-health advocate, died on Tuesday at a hospital near her home in Coeur d'Alene, Idaho."
28233,"F. Otto Haas, 78, Chief Of Chemical Company","F. Otto Haas, former president and chief executive of the Rohm & Haas chemical company, died on Sunday at his home in Ambler, Pa."
47926,"John C. Lackas, 85, Colonel and Professor","John C. Lackas, a retired Army colonel and a professor emeritus of business at Queensborough Community College, died on Friday at the Monroe Health Care Center, in Monroe, N.J., where he lived."
12271,"William Stansbury; Ex-U.S. Official, 84, Led Housing Efforts","William T. Stansbury, a retired official of the Department of Housing and Urban Development, died on Sunday at a hospital in the Philadelphia suburb of Springfield, Pa."
29841,"Sven Andersson, Ex-Minister Of Defense in Sweden, Dies","Sven Andersson, a former Swedish Defense Minister and Foreign Minister who was a dominant force in politics after World War II, died today."
42376,"THOMAS R. CARSKADON, WRITER AND 20TH CENTURY FUND AIDE","Thomas Reynolds Carskadon, a retired associate director of the 20th Century Fund, died Thursday at the Starkville (Miss.)"
25965,"Bill Thomas, 79, Film Costume Designer, Dies","Bill Thomas, an Academy Award-winning costume designer with more than 300 films to his credit, died May 30 at his home in Beverly Hills, Calif."
44556,"Nina Simone, 70, Soulful Diva and Voice of Civil Rights, Dies","Nina Simone, a singer whose distinctively emotional style blended elements of jazz, gospel, blues, European art song and other influences, died yesterday at her home in Carry-le-Rouet, France, near Marseille."
58487,"Robert McCabe Jr., 88, Kidney Donation Specialist, Dies","The clock was ticking. The kidneys of a 14-year-old girl who had died in a Virginia hospital had been removed from her body with her parents' consent, in the hope that the organs might extend the life of others."
23002,"Phil Stern, Photographer; Chronicler of Movie Stars And a President Was 95","Phil Stern, a celebrated photographer whose images caught the horrors of war, the bittersweet joys of a doomed president's inaugural ball and the intimate moments of jazz greats and Hollywood stars just being themselves, died on Saturday in Los Angeles."
47748,LOUIS BERNSTEIN,"Louis Bernstein, a teacher and principal in the New York City school system for more than 50 years until his retirement in 1964, died of a heart attack Monday at his home in Hollywood, Fla."
52397,"John R. Beishline, 78, General and Teacher","Brig. Gen. John R. Beishline, who was special assistant to Gen. Matthew B. Ridgway in 1952 when General Ridgway was Supreme Commander of the Allied Powers in Europe and was Army liaison with the White House under President Truman, died Thursday in Clearwater, Fla. General Beishline, who was 78 years old, lived in Greenwich, Conn., and had a winter home in Clearwater."
28762,"FRANK H. BROWN, 83, EX-CHIEF OF REGIONAL MEDIATORS, DIES","Frank H. Brown, former regional director of the Federal Mediation and Conciliation Service, died yesterday at a nursing home in Livingston, N.J., after a long illness."
16373,"Daniel L. Klayman; Chemist, 63","Daniel L. Klayman, the longtime head of the organic chemistry section of the Walter Reed Army Institute of Research in Washington, died on Thursday at Holy Cross Hospital in Silver Spring, Md."
9449,"Marvin Barnes, Enigmatic Basketball Player, Dies at 62","Marvin Barnes, one of basketball's most talented and defiantly self-indulgent players, whose career dissolved in a haze of drugs and alcohol, died on Monday in Providence, R.I."
30998,"Arleen Auger, 53, Subtle Interpreter of Art Songs","Arleen Auger, an American soprano who was renowned for both her commanding presence on the opera stage and the subtlety of her song interpretations, died on Thursday at the home of a friend in Leusden, a suberb of Amsterdam, in the Netherlands."
