id,title,firstSentence,fullBody
3211,"Gene Baylos, 98, Is Dead; Comic Kept Peers in Stitches","Gene Baylos, a hard-working nightclub comic of the old school whose gags were legend among fellow comedians, died on Monday at St. Luke's Hospital in Manhattan.","Gene Baylos, a hard-working nightclub comic of the old school whose gags were legend among fellow comedians, died on Monday at St. Luke's Hospital in Manhattan. He was 98 and a Manhattan resident. His death was reported by his niece, Perry Matsa. Like countless comedians of his generation, Mr. Baylos began his career in the Catskills in the 1930's and then worked the once-booming national nightclub circuit, starting in the mid-1940's. He opened for Sammy Davis Jr. at the Copacabana in New York and appeared at Ciro's in Los Angeles, the Chez Paree in Chicago and Mother Kelly's in Miami. He went on to enjoy modest success on television, appearing in small roles on situation comedies like ''The Dick Van Dyke Show'' and ''Car 54, Where Are You?'' and doing his stand-up act on variety shows like ''The Hollywood Palace.'' He also acted in ''The Family Jewels'' with Jerry Lewis in 1965. But he never got the big break that would have made him as well known as a Milton Berle, a Buddy Hackett or even a Shecky Greene. ''I'm not complaining,'' he told an interviewer for The Daily News in 1981. ''When I was making $10 a night at the Loew's Pitkin in 1942 and living in the Bronx with my mother, I loved it then. When I was making $50 a week, schlepping to Hoboken for three shows a night, I loved it. I'm not bitter. I love my job. I love show business.'' Exactly why he never broke through was hard to say. Phil Greenwald, the talent booker for the Concord Hotel in the Catskills, offered a possible explanation in an interview with The New York Times in 1976. ''Gene is the oldest club-date act in America,'' Mr. Greenwald said. ''He's a very funny guy, a sweet guy. He's played the Concord a million times. His trouble is he doesn't focus his routine enough. He goes off in too many directions.'' Another possible explanation was that Mr. Baylos, while successful as a nightclub act, used material considered too risque for television, where stand-up comedy migrated after the big nightclubs began closing. Jokes like the one about a man who finds his wife in bed with his best friend and says to him, ''Sam, I have to -- but you?'' may seem tame today, but they were considered unfit for a family audience in the 1950's and 60's. Still, Mr. Baylos was always able to find work, even if it was just a booking at a private party. And he could always find an appreciative audience at the New York Friars Club or anywhere else comedians congregated. Alan King once called him ''the comedian in residence, the court jester of the Friars Club,'' adding, ''Put him in a room with 20 comedians and nobody gets laughs except Baylos.'' While Mr. Baylos got big laughs among his peers -- sometimes with shtick as simple as slipping a roll into his pocket while bragging about a lucrative booking -- comedians are, as Mr. Baylos's friend and fellow comic Joey Adams put it, ''a very limited audience.'' Mr. Baylos is survived by his wife of 50 years, Cyrile. He continued working until September 1999, when he fell and broke a hip on the way to the Friars Club, Ms. Matsa said."
29437,"KIM WILLIAMS, COMMENTATOR AND WRITER, DIES IN MONTANA","Kim Williams, a naturalist, writer and guest commentator on National Public Radio's daily news program ''All Things Considered,'' died of cancer yesterday at her home in Missoula, Mont.","Kim Williams, a naturalist, writer and guest commentator on National Public Radio's daily news program ''All Things Considered,'' died of cancer yesterday at her home in Missoula, Mont. She was 62 years old. In her decade on the program, Ms. Williams gained national attention for her folksy commentaries and offbeat advice on ANything from what to eat to when to marry to how to dress. Ms. Williams started giving advice when she was 50 years old, she once told Ian Frazier of The New Yorker, who wrote about her twice in ''Talk of the Town.'' ''There are certain things that you just should do,'' The New Yorker quoted her as saying. ''In the spring, you should eat a dandelion salad. And, starting in July, you have to try and have huckleberry days. Late-afternoon huckleberrying is a grand thing to do.'' Ms. Williams announced on the air three weeks ago that she had terminal cancer and was refusing chemotherapy. In her final radio show, July 16, with Susan Stamberg, co-host of ''All Things Considered,'' she said, ''I wish to die in peace, not in pieces.'' Hundreds Paid Tribute Although Ms. Williams had asked people not to send her mail, Ms. Stamberg said hundreds of letters arrived. Ms. Williams listened from her home to the July 24 program while fans paid tribute, some by audiotape and other in letters read by Ms. Stamberg. A man from Texas wrote, ''I will always think of her and her inimitable voice guiding me along as I walk now through the woods or ponder the culinary merits of some backyard flora.'' Ms. Williams wrote four books. Her latest, published last March, is ''Kim Williams' Book of Uncommon Sense, A Practical Guide With 10 Rules for Nearly Everything.'' Some of the ''uncommon sense'' includes thse thoughts: On losing weight: ''Throw out all women's magazines, they'll drive you schizo. Page 1 is a diet. Page 2 is a chocolate cake. It's a no-win situation.'' On staying married: ''At 9 P.M., say to your spouse, 'Hey did I make you laugh today? Did you make me laugh? Well, now's the time.''' On choosing food: ''If it has more than 10 ingredients, throw it out.'' On dying: ''Don't go ahead of time and don't go ignominiously.'' A Native of New York Ms. Williams was born in Gallatin, N.Y. She attended Cornell University where she received a degree in home economics. She worked various jobs, moved to Missoula, Mont., with her husband in 1971, and began writing a nature column at The Missoulian newspaper. That job led to her own program on the local public radio station, KUFM, which eventually led to ''All Things Considered.'' The University of Montana, where Ms. Williams received her master's degree in interdisciplinary studies, has established the Kim Williams Graduate Fellowship, to be awarded to a student of journalism interested in environmental studies. Ms. Williams is survived by her husband, Melvin Williams; her mother, Veronika Kandiko of Housatonic, Mass.; five sisters, and a brother. A public memorial service will be held at the Music Recital Hall at the University of Montana at 11 A.M. Aug. 14."
29480,"Evan Walker, Writer, Teacher of Literature","Evan Walker, a writer and teacher of literature, died in Presbyterian Hospital Aug. 23 of spinal meningitis and pneumonia.","Evan Walker, a writer and teacher of literature, died in Presbyterian Hospital Aug. 23 of spinal meningitis and pneumonia. He was 49 years old and lived in Brooklyn. Mr. Walker wrote plays, films and short stories. His play ''East of Jordan'' was produced by the Free Southern Theater in Los Angeles and the Freedom Theater at Cheney College in West Chester, Pa. Another play, ''Coda,'' was the first professional production of the D.C. Repertory Theater founded by Robert Hooks. Several of Mr. Walker's short stories were published in Black World. One, ''Harlem Transfer,'' won the 1970 Conrad Trent Rivers award. With the late Larry Neal, Mr. Walker made a film, ''Holy Days,'' in the early 1970's. He later made documentaries and educational films, including ''Arts: Alternative to Education,'' ''Liberia: Opportunity for Investment'' and ''Jimmy Carter Visits Liberia.'' A graduate of Howard University and the Yale School of Drama, Mr. Evan taught literature at the State University at New Paltz, the City University in Brooklyn and the North Bronx Family Service Center. He is survied by his mother, Myrtis Manigaulte; and his sister, Renee Manigaulte. A marriage to Joan Huggins Walker ended in divorce. Private memorial services will be held tomorrow."
21559,MILTON W. MAYS DEAD AT 73;FORMER INSURANCE EXECUTIVE,"Milton W. Mays, former president of the Continental Insurance Companies and former vice chairman of its parent concern, the Continental Corporation, died of a heart attack Tuesday at Greenwich (Conn.) Hospital.","Milton W. Mays, former president of the Continental Insurance Companies and former vice chairman of its parent concern, the Continental Corporation, died of a heart attack Tuesday at Greenwich (Conn.) Hospital. He was 73 years old and lived in Greenwich. He joined the Continental Corporation as secretary in 1954 after 18 years with an insurance trade association. He was named executive vice president of the Continental Corporation in 1969 and later that year was elected president of the Continental Insurance Companies. Mr. May became president of the parent concern in 1971 and was elected vice chairman in 1974. He served in that post until he retired in 1976. Mr. Mays was born in Butler, Pa., and graduated from the University of Pennsylvania. He received a master's degree and a doctorate from the university's Wharton School of Finance and Commerce. He is survived by his wife, Florence, and a daughter, Penny Gustafson of Roswell, Ga."
49220,"Cecil Wright, 74, Dies; Ex-President of Penney","Cecil L. Wright, former president and chief administrative officer of the J.C. Penney Company, died of a heart attack Wednesday at Bethesda Memorial Hospital in Boynton Beach, Fla. Mr. Wright, who lived in Boynton Beach and Roaring Gap, N.C., was 74 years old.","Cecil L. Wright, former president and chief administrative officer of the J.C. Penney Company, died of a heart attack Wednesday at Bethesda Memorial Hospital in Boynton Beach, Fla. Mr. Wright, who lived in Boynton Beach and Roaring Gap, N.C., was 74 years old. Mr. Wright was president of Penney from 1968 to 1972 and a director until 1979. He began working for Penney at the age of 19 in his hometown, Greeneville, Tenn. Before being named executive vice president in 1967, he was vice president, general sales manager and merchandise manager for the chain. In World War II, he served as a lieutenant in the Navy. Mr. Wright lived for several years in Roslyn, L.I., and had been a member of the Sales Executive Club of New York and the Economic Club of New York. Surviving are his wife, Ruth, and a son, Stephen, both of Boynton Beach, and a sister, Elizabeth Craven, of Greeneville."
55086,"Howard Tager, 49, A Medical Professor and Diabetes Expert","Dr. Howard S. Tager, a researcher on diabetes and a medical professor at the University of Chicago, died at his home here on Tuesday.","CHICAGO, Sept. 9 Dr. Howard S. Tager, a researcher on diabetes and a medical professor at the University of Chicago, died at his home here on Tuesday. He was 49. He died of a heart attack, university officials said. Dr. Tager's specialty was the structure and workings of two hormones, insulin and glucagon, which affect the levels of blood sugar in the body. In 1979 he and two others at the university, Dr. Arthur Rubenstein and Dr. Donald Steiner, discovered how a genetic mutation leads to an abnormal form of insulin that causes diabetes. Their research contributed to an improved understanding of diabetes and insulin therapy. ""He made many really important contributions revolving around the insulin molecule and how it regulates blood sugar,"" Dr. Rubenstein, who is the chairman of the University of Chicago's department of medicine, said of Dr. Tager. ""He was also unique in his ability to use physics, chemistry and biochemistry to detect these abnormal insulin structures."" Dr. Tager was born in Los Angeles. He received a bachelor's degree from the University of California at Los Angeles in 1966 and a Ph.D. in biological chemistry from the University of Michigan in 1971. He taught at the Medical College of Ohio in 1973 before moving to the University of Chicago as an assistant professor of biochemistry the next year. He was promoted to associate professor in 1981, when he was also named to direct the University of Chicago's Diabetes Research and Training Center, one of six such centers in the country, and held that post until 1986. In 1985, Dr. Tager was named the Louis Block Professor of Biochemistry and Molecular Biology. He was also appointed to a two-year term as chairman of the department of biochemistry and molecular biology. He began a second term as chairman last June. Dr. Tager wrote more than 100 scientific papers and won research awards from the American Diabetes Association and the Juvenile Diabetes Foundation. He is survived by a brother, Dr. Robert M. Tager of Mendocino, Calif."
17422,"Henry Wade, Prosecutor in National Spotlight, Dies at 86","Henry Wade, who in nearly four decades as district attorney of Dallas County, Tex., became the very symbol of law and order there and is perhaps best remembered for the prosecution of Jack Ruby and as the Wade in Roe v. Wade, died yesterday at an assisted-living center in Dallas.","Henry Wade, who in nearly four decades as district attorney of Dallas County, Tex., became the very symbol of law and order there and is perhaps best remembered for the prosecution of Jack Ruby and as the Wade in Roe v. Wade, died yesterday at an assisted-living center in Dallas. He was 86. Mr. Wade's cigar chewing, his drawl, his love of dominoes and his puttering around his farm near Dallas gave him an artfully deceiving image. His folksy manner masked a keen legal mind, a fiercely competitive streak and a relentless faith in the efficacy of punishment. He was district attorney from 1951 to 1987, and during the early years, when his office was relatively small, he often prosecuted cases himself. When he did, he never lost a single one. As a prosecutor in those years, and earlier during three years when he was assistant district attorney, he asked for death sentences on 30 occasions, and got them on 29. As a whole, defense lawyers engaged against his prosecutors achieved one of the lowest acquittal rates in the country. Mr. Wade's office was itself sued in 1970 by a pregnant waitress, Norma McCorvey, identified at the time only as Jane Roe. (The plaintiff in a companion suit had already taken the name Doe.) Ms. McCorvey, a resident of Dallas, sought to keep the district attorney from enforcing a Texas law that prohibited abortion except when a woman's life was at stake. At trial, where one of Mr. Wade's assistants argued his case, the law was declared unconstitutional. The case ultimately made its way to the Supreme Court, which in 1973 issued the landmark decision affirming a woman's right to abortion. Mr. Wade had previously come to national attention in 1964, when he led the prosecution of Jack Ruby. Mr. Ruby had killed Lee Harvey Oswald, President John F. Kennedy's assassin, and it took a jury less than two hours to convict him and sentence him to death. A Texas appeals court overturned the conviction in 1966, citing reasons that included failure to move the trial from Dallas, but Mr. Ruby, by then suffering badly from cancer, died before a new trial could be held. The trial that led to Mr. Ruby's conviction was punctuated by testy exchanges between Mr. Wade and the defendant's lawyer, Melvin Belli. Mr. Belli called Mr. Wade ""a country bumpkin."" Mr. Wade, for his part, insisted on pronouncing Mr. Belli's name BELL-ee rather than BELL-eye, until the judge put a stop to it. What proved to be one of Mr. Wade's less welcome forays into the national spotlight involved the case of Lenell Geter, a young black engineer with no previous criminal record who was serving a life sentence for robbery. Mr. Geter was freed in 1984, having served two years behind bars, after the Dallas prosecutors conceded that he had not committed the crime. Henry Menasco Wade was born on Nov. 11, 1914, in Rockwall, Tex., near Dallas, the son of a judge. He graduated from the University of Texas, received his law degree with highest honors there and was admitted to the Texas bar. After serving as an F.B.I. agent, he was named an assistant district attorney in Dallas in 1947. He ran for district attorney three years later, and was elected. Having held the office for 36 years, he retired in 1987 and became of counsel to a Dallas law firm."
1788,"Carmen Weinstein, 82; Led the Jews of Cairo","Carmen Weinstein, the leader of Cairo's small Jewish community and the driving force behind the restoration of Maimonides's yeshiva and other monuments of Egyptian Jewish history, died on Saturday at her home here on the island of Zamalek.","CAIRO -- Carmen Weinstein, the leader of Cairo's small Jewish community and the driving force behind the restoration of Maimonides's yeshiva and other monuments of Egyptian Jewish history, died on Saturday at her home here on the island of Zamalek. She was 82. Her death was announced by the Jewish Community Council of Cairo, of which she was president. Ms. Weinstein refused to accept that Egypt's once-vibrant Jewish community was dying out, even if its ranks had dwindled to just a few dozen elderly people from more than 80,000 six decades ago. ''We are still in Cairo despite what everybody says,'' she told a Los Angeles Times reporter 11 years ago. When the Historical Society of Jews From Egypt, an American group based in Brooklyn, sought help from Congress to remove historical artifacts and prayer books, known as seforim, to the United States for safekeeping, Ms. Weinstein resisted, saying she would ignore the society's ''insensitive letters referring to our inevitable extinction.'' Instead, in 1997, she persuaded the government to classify the Jewish artifacts as Egyptian antiquities, preventing their sale or export. ''Taking the Jewish seforim, books and records out of Egypt is tantamount to saying that Egypt should demolish the pyramids and the Temple of Luxor because there are no pharaohs left,'' Ms. Weinstein said. She pronounced herself unflustered by any hostility from her Muslim neighbors over tensions between Israel and the Arab world. ''We have no troubles and we don't talk politics,'' she curtly told The Associated Press during Israel's 2009 war against Palestinians in the Gaza Strip. President Mohamed Morsi, of the Muslim Brotherhood, issued a statement mourning the loss of Ms. Weinstein. ''She was a dedicated Egyptian who worked tirelessly to preserve Egyptian Jewish heritage and valued, above all else, living and dying in her country, Egypt,'' he said. Ms. Weinstein was born in Cairo in 1931, during the era of the British-backed monarchy, when Jews were integrated into society as merchants, bankers, artists and professionals. Her father owned a print shop. She attended French and English schools, studied English literature at Cairo University, and earned a master's degree at the American University in Cairo. Like others in the Egyptian elite, she was fluent in French, English and Arabic. Ms. Weinstein was 22 when her father died, in 1953. She took over the print shop with her mother, Esther. They were aided by a younger sister, Glorice, a psychoanalyst in Geneva who survives Carmen. Ms. Weinstein married, but her husband died years ago and she had no children, said Magda S. Haroun, a friend. The death of Ms. Weinstein's father came at a turning point for Egyptian Jews -- a year after a military coup overturned the monarchy and a year before the coup leader, Col. Gamal Abdel Nasser, consolidated power in his own name. Jews had begun leaving Egypt in large numbers during the Arab war with Israel in 1948. Nasser began expelling them. By the end of Egypt's wars with Israel in 1967 and 1973, only a few hundred remained. The Weinstein women were among the holdouts. By the mid-1990s, the remaining Jewish men had mostly died off or moved away. Carmen Weinstein spearheaded a 1996 change to the bylaws of the Jewish Community Council, enabling her mother to become its first female president. After her mother died in 2004, Ms. Weinstein took over. Ms. Weinstein had already distinguished herself as a dogged preservationist. She was best known for her struggle to save the Jewish cemetery at Bassatine from the vandals, squatters and decay that have plagued Egyptian cemeteries of all kinds. It is one of the oldest Jewish cemeteries in the world, and she sometimes used her own money to pay squatters to depart. She will be buried there. Ms. Weinstein also worked to persuade the government to restore some of Cairo's historic synagogues. In 2010, she presided over the restoration of the synagogue and yeshiva once led by Moses Maimonides, a 12th-century Spanish Jew who settled in Cairo, led its Jewish community and became one of the most influential theologians in the history of Judaism. Ms. Haroun said the community of Egyptian Jews in Cairo now numbered fewer than 21, all of them women. A similar community survives in Alexandria, she said, but that group includes one man, who serves as the local council president there. Last month, Ms. Weinstein presided over the annual Passover dinner in a hall of the main synagogue in downtown Cairo. Egyptian Jewish women filled two tables, and they were joined by as many as 50 Jewish expatriates, non-Jewish supporters and foreign diplomats."
41103,"Peter Krueger, Christie's Executive, 32","Peter Krueger, vice president in charge of European furniture at Christie's auction house, died Tuesday of complications from AIDS at the Beth Israel Medical Center in Manhattan.","Peter Krueger, vice president in charge of European furniture at Christie's auction house, died Tuesday of complications from AIDS at the Beth Israel Medical Center in Manhattan. He was 32 years old and lived in Manhattan. Mr. Krueger joined Christie's in 1978 after serving as assistant to the curator of architecture and design at the Cooper-Hewitt Museum in Manhattan and assistant editor for design at New York magazine. He is survived by his parents, Harvey and Constance Krueger of Manhattan, and three sisters, Abigail and Elizabeth, also of Manhattan, and Cathleen Cohen of Wynnewood, Pa."
48724,"Arkady N. Shevchenko, 67, A Key Soviet Defector, Dies","Arkady N. Shevchenko, who stunned the world two decades ago when he became the highest-ranking Soviet diplomat to defect to the United States, died on Feb. 28 in obscurity in his suburban home in Bethesda, Md.","WASHINGTON, March 10 Arkady N. Shevchenko, who stunned the world two decades ago when he became the highest-ranking Soviet diplomat to defect to the United States, died on Feb. 28 in obscurity in his suburban home in Bethesda, Md. He was 67. Mr. Shevchenko's death was announced in a brief statement by his church, St. John the Baptist Russian Orthodox Cathedral in Washington. By the time the world began to learn of his death today, he had been buried for three days. Mr. Shevchenko's body was discovered in his home by a daughter, who had gone to check on her father when she could not reach him by telephone, the Montgomery County police said, adding that there was no sign of foul play. The manner of his death could not have been in more stark contrast to the fanfare that greeted his defection to the United States in April 1978. His decision to stay in the United States and spurn his own country caused a major diplomatic dust-up: the Administration of President Carter was at that time engaged in sensitive disarmament talks with the Soviet Union and, as one American official put it at the time, ""This is the last thing we need right now."" Mr. Shevchenko was Under Secretary General of the United Nations at that time, and apparently on course to have a brilliant career in the Government of the Soviet Union. He was a protege of the stone-faced Soviet Foreign Minister, Andrei A. Gromyko, and some diplomatic observers thought he had a shot at one day succeeding his mentor. As events would reveal, he was also a figure of contradictions, a man who wore different faces for different occasions and different people. One West European diplomat at the United Nations called him ""a faceless functionary"" whose habit of poking harmless fun at Soviet officialdom did not detract from the fact that he was a hard-line, doctrinaire Communist with a built-in suspicion of all things Western. Only a handful of people at the Central Intelligence Agency knew that Mr. Shevchenko had been providing information to the American Government for some two and a half years before his defection. One C.I.A. official who did know was F. Mark Wyatt, who held various high posts in the C.I.A. before his retirement. His specialty was shepherding Soviet agents who wanted to help the United States. ""Arkady was a friend of mine,"" Mr. Wyatt said tonight. ""I am grieved."" Mr. Wyatt and other C.I.A. officials agree that, while Mr. Shevchenko did not provide sensational details of secret weapons or war plans, he furnished valuable insights into the thinking of people at the highest level of the Soviet Government, many of whom he knew personally. There really were people in the Kremlin who thought that the United States was controlled by a cabal of Wall Street capitalists in league with oafish Pentagon types with stars on their shoulders, he told his debriefers -- first at a secret C.I.A. ""safe house"" on East 64th Street in Manhattan and, after his defection became public, in more relaxed settings in New York City and Washington. Mr. Wyatt said he came to respect Mr. Shevchenko greatly, convinced that his decision to turn his back on his country was not based on greed but simply on his conviction, as an educated Soviet citizen, that the United States was a better place to live with a better system of government. On the eve of his defection, Mr. Shevchenko told his aides he had to go back to the Soviet Union to visit his gravely ill mother-in-law. Instead, he had told a few Americans of his decision to abandon his country and his career. As Under Secretary General, he was second only to Kurt Waldheim at the United Nations. ""God, we got a big fish!"" Mr. Wyatt recalls one C.I.A. colleague exclaiming at the time. Indeed, Mr. Shevchenko was considered the C.I.A.'s top trophy of the 1970's. An irony in the case was that one C.I.A. agent who debriefed him was Aldrich Ames, who would later betray the United States by selling secrets to the Soviets. His first wife, Leongina, eventually committed suicide after returning to the Soviet Union. He later married an American, but she soon died of cancer, Mr. Wyatt said. Mr. Shevchenko is survived by his third wife, Natasha, a son and daughter and a stepdaughter. In his first life, Arkady Nikolayevich Shevchenko, a native of Ukraine, studied at the Moscow State Institute of International Relations, earning a doctorate in 1954, two years before joining the Foreign Ministry. His second life was more erratic. In 1978, a Washington call girl charged publicly that she had been paid by the C.I.A. to provide sex for him. The publicity was shattering to him, Mr. Wyatt recalled tonight. But his book ""Breaking With Moscow"" (Knopf, 1985) brought him fame and prosperity, and earned money on the lecture circuit and as a consultant to research organizations. Mr. Shevchenko complained at first that some of his C.I.A. handlers were insensitive to the trauma of defection. But he made peace with his new country and became an American citizen. ""I was at the ceremony,"" Mr. Wyatt said. ""He was very happy."""
