id,title,firstSentence,fullBody
7744,"Donald Shirley, a Pianist With Own Genre, Dies at 86","Donald Shirley, a pianist and composer who gathered classical music with jazz and other forms of popular music under a singular umbrella after being discouraged from pursuing a classical career because he was black, died on April 6 at his home in Manhattan.","Donald Shirley, a pianist and composer who gathered classical music with jazz and other forms of popular music under a singular umbrella after being discouraged from pursuing a classical career because he was black, died on April 6 at his home in Manhattan. He was 86. His death, which was not widely reported at the time, was caused by complications of heart disease, said Michiel Kappeyne van de Coppello, a friend who studied piano with Mr. Shirley. A son of Jamaican parents, Mr. Shirley was a musical prodigy who played much of the standard concert repertory by age 10 and made his professional debut with the Boston Pops at 18, performing Tchaikovsky's Piano Concerto No. 1 in B-flat minor. But when he was in his 20s, he told his family and friends, the impresario Sol Hurok advised him to pursue a career in popular music and jazz, warning him that American audiences were not willing to accept a ''colored'' pianist on the concert stage. Thus derailed, Mr. Shirley took to playing at nightclubs and invented what amounted to his own musical genre. First as part of a duo with a bassist and later as the leader of the Don Shirley Trio, featuring a bassist and a cellist -- an unusual instrumentation suggesting the sonorities of an organ -- he produced music that synthesized popular and classical sounds. He often melded American and European traditions by embedding a well-known melody within a traditional classical structure. In his hands, Irving Berlin's ''Blue Skies,'' for example, became an elaborate set of variations on a theme. In his arrangement -- he called his works transcriptions -- of George Shearing's ''Lullaby of Birdland,'' the famous melody abruptly became a fugue. His recording of Richard Rodgers's ''This Nearly Was Mine,'' from ''South Pacific,'' was Chopinesque. Mr. Shirley's music exhibited a vast musical erudition. He was drawn to indigenous American forms, by which he meant the blues, the work song, the Negro spiritual and the show tune, and his compositions referred to those forms. He was not inclined to improvise and disliked being referred to as a jazz musician. ''He had a love-hate relationship with jazz,'' Mr. Kappeyne van de Coppello said. Still, he was close to many well-known jazz figures, including Duke Ellington, in whose honor he wrote ''Divertimento for Duke by Don,'' a symphonic work that had its premiere in 1974, performed by the Hamilton Philharmonic Orchestra of Ontario. His other orchestral works include a tone poem inspired by James Joyce's ''Finnegans Wake.'' His playing was virtuosic and lush, and in performance he often impressed critics with both his sound and invention. (His admirers also included Igor Stravinsky and Sarah Vaughan.) He eventually did make it back to the concert stage, though rarely to perform the standard classical repertory. He played Gershwin's ''Rhapsody in Blue'' at La Scala in Milan; he played at Carnegie Hall with Ellington; he played Gershwin's Concerto in F, accompanying the Alvin Ailey dancers, at the Metropolitan Opera in New York. In the late 1960s, he made unreleased recordings of Rachmaninoff with the New York Philharmonic and Khachaturian with the Minneapolis Symphony. ''The silky tone and supple rhythmic flow of Mr. Shirley's playing is just as artful and ingratiating as ever,'' Peter G. Davis wrote in The New York Times of a concert at Carnegie Hall in 1971. '' 'I Can't Get Started' heard as a Chopin nocturne, or 'Blowin' in the Wind' as a Rachmaninoff tude, may strike some as a trifle odd, but these -- and everything on the program, in fact -- were beautifully tailored to spotlight Mr. Shirley's easy lyrical style and bravura technique.'' Donald Walbridge Shirley was born in Pensacola, Fla., on Jan. 29, 1927. His father, Edwin, was an Episcopal priest, and family lore has it that young Donald was playing the organ in church at age 3. His mother, the former Stella Gertrude Young, a teacher, died when Donald was 9. He studied music at the Catholic University of America in Washington. He was married once and divorced. He is survived by a brother, Maurice, and a half-sister, Edwina Shirley Nalchawee. Mr. Shirley made a number of recordings in the 1950s and early '60s for the Cadence label, including ''Piano Perspectives,'' ''Don Shirley Plays Love Songs,'' ''Don Shirley Plays Gershwin'' and ''Don Shirley Plays Shirley.'' Later in the 1960s, he recorded with Columbia. It was the founder of Cadence Records, Archie Bleyer, who insisted that Mr. Shirley be called Don, an informality that stuck with him throughout his career as a nettlesome reminder that he was unable to be known as the concert player he had always wished to be. Jazz piano players, Mr. Shirley told The Times in 1982, when he was appearing at the Cookery in Greenwich Village, ''smoke while they're playing, and they'll put the glass of whisky on the piano, and then they'll get mad when they're not respected like Arthur Rubinstein. You don't see Arthur Rubinstein smoking and putting a glass on the piano.'' He added: ''I am not an entertainer. But I'm running the risk of being considered an entertainer by going into a nightclub because that's what they have in there. I don't want anybody to know me well enough to slap me on the back and say, 'Hey, baby.' The black experience through music, with a sense of dignity, that's all I have ever tried to do.''"
6669,"Naome Lewis, Editor, 67","Naome Lewis, a longtime magazine editor, died on March 18 at her home in Manhattan.","Naome Lewis, a longtime magazine editor, died on March 18 at her home in Manhattan. She was 67 years old. She died of bone marrow cancer, her family said. Mrs. Lewis began working at Trains magazine in Milwaukee before World War II. In the mid-1940's she joined McFadden Publishing in Manhattan as an articles editor at True Detective. Several years later she became an associate fiction editor at Collier's. In 1958 she joined Good Houskeeping, where she was the fiction editor from 1960 until her retirement in 1989. At the magazines, she condensed and adapted numerous best-selling novels, including works by Erich Marie Remarque, Jessamyn West, Arthur Hailey, Pearl S. Buck, Daphne du Maurier and Virginia Holt. Mrs. Lewis, who was born in Deerfield, Wis., was drawn to editing by her fondness for reading. Surviving are her husband of 30 years, Robert E. Lewis, a literary agent; two daughters, Ellen J. and Sarah E., both of Manhattan; a brother, James Simonson of Minneapolis, , and a sister, Sonja Schrag of La Crosse, Wis."
40884,"Elizabeth Etnier, 80, An Author, Is Dead","Elizabeth Jay Hollins, an author who wrote under the name Elizabeth Etnier, died on Sunday at her home in Manhattan.","Elizabeth Jay Hollins, an author who wrote under the name Elizabeth Etnier, died on Sunday at her home in Manhattan. She was 80 years old. She died of cancer, her family said. Mrs. Hollins wrote ""On Gilbert Head,"" a critically praised journal of her life in the 1930's with her first husband, the painter Stephen Etnier, on an island in Maine. The marriage ended in divorce, and in 1948 she married Harry B. Hollins. She published short stories and a novella, and in 1966 she edited ""Peace Is Possible: A Reader on World Order."" Achieving world peace was a cause for which she worked closely with Mr. Hollins, who died in March. She was born in New York and graduated from Barnard College. She is survived by two daughters, Stephanie Doane and Victoria Villamil; a stepson, Harry Hollins; four stepdaughters, Elizabeth Aldrich, Lilias Outerbridge, Evelina Kats and Angelica Braestrup; a brother, Peter Jay; three sisters, Sybil Waldron, Augusta Huffman and Katharine Bacon, and four grandchildren. A memorial service is to be held at Christ and St. Stephen's Church, 120 West 69th Street, at 4 P.M. on Thursday."
45781,DOROTHY FOX CROSSLEY,"Dorothy Fox Crossley, co-founder of the Crossley public opinion poll in the 1930's, died May 28 in Princeton, N.J., where she had lived.","Dorothy Fox Crossley, co-founder of the Crossley public opinion poll in the 1930's, died May 28 in Princeton, N.J., where she had lived. She was 89 years old. She was born in Lexington, Mass., and graduated from Radcliffe College, where she was co-founder of the college's first newspaper, The Radcliffe News. In Princeton, she organized the Rose Cottage Nursery School and served as an officer of Crossley Inc., which she founded with her husband, Archibald. Besides her husband, she is survived by two daughters, Helen, of Washington, and Dorothy, of Franconia, N.H.; a son, Joseph, of Morris Plains, N.J., three grandchildren, and three great-grandchildren."
40327,"Renee Furst, Publicity Agent, 62","Renee Furst, a publicity agent known for her work on behalf of foreign and independent films, died last Friday at her home in Manhattan.","Renee Furst, a publicity agent known for her work on behalf of foreign and independent films, died last Friday at her home in Manhattan. She was 62 years old. She died of cancer, said Norman Wang, her assistant. Among the many films she represented were ""Last Year at Marienbad"" (1960), ""La Dolce Vita"" (1960), ""Cousin, Cousine"" (1975), ""Madame Rosa"" (1978), ""Missing"" (1980), ""Fanny and Alexander"" (1983), ""Rumble Fish"" (1983) and ""The Official Story"" (1985). In the late 1970's, she publicized most of the Australian new wave films, including ""Breaker Morant."" She also was the press contact for the Berlin International Film Festival. Recently she became a member of the Academy of Motion Picture Arts and Sciences. Surviving are her husband, Peter; her stepson, Peter A., of San Francisco, and her sister, Sheila Saunders, of Manhattan."
35158,"Ernest Borgnine, Tough but Tender Actor, Dies at 95","Ernest Borgnine, the rough-hewn actor who seemed destined for tough-guy characters but won an Academy Award for embodying the gentlest of souls, a lonely Bronx butcher, in the 1955 film ''Marty,'' died on Sunday in Los Angeles.","Ernest Borgnine, the rough-hewn actor who seemed destined for tough-guy characters but won an Academy Award for embodying the gentlest of souls, a lonely Bronx butcher, in the 1955 film ''Marty,'' died on Sunday in Los Angeles. He was 95. His death, at Cedars-Sinai Medical Center, was announced by Harry Flynn, his longtime spokesman. Mr. Borgnine, who later starred on ''McHale's Navy'' on television, made his first memorable impression in films at age 37, appearing in ''From Here to Eternity'' (1953) as Fatso Judson, the sadistic stockade sergeant who beats Frank Sinatra's character, Private Maggio, to death. But Paddy Chayefsky, who wrote ''Marty'' as a television play, and Delbert Mann, who directed it (it starred Rod Steiger), saw something beyond brutality in Mr. Borgnine and offered him the title role when it was made into a feature film. The 1950s had emerged as the decade of the common man, with Willy Loman of ''Death of a Salesman'' on Broadway and the likes of the bus driver Ralph Kramden (''The Honeymooners'') and the factory worker Chester Riley (''The Life of Riley'') on television. Mr. Borgnine's Marty Pilletti, a 34-year-old blue-collar bachelor who still lives with his mother, fit right in, showing the tender side of the average, unglamorous guy next door. Marty's awakening, as he unexpectedly falls in love, was described by Bosley Crowther in The New York Times as ''a beautiful blend of the crude and the strangely gentle and sensitive in a monosyllabic man.'' Mr. Borgnine received the Oscar for best actor for ''Marty.'' For the same performance he also received a Golden Globe and awards from the New York Film Critics Circle, the National Board of Review and the British Academy of Film and Television Arts. Mr. Borgnine won even wider fame as the star of the ABC sitcom ''McHale's Navy'' (1962-66), originating the role of an irreverent con man of a PT boat skipper. (The cast also included a young Tim Conway.) He wrote in his autobiography, ''Ernie'' (Citadel Press, 2008), that he had turned down the role because he refused to do a television series but changed his mind when a boy came to his door selling candy and said, although he knew who James Arness of ''Gunsmoke'' and Richard Boone of ''Have Gun, Will Travel'' were, he had never heard of Ernest Borgnine. Over a career that lasted more than six decades the burly, big-voiced Mr. Borgnine was never able to escape typecasting completely, at least in films. Although he did another Chayefsky screenplay, starring with Bette Davis as a working-class father of the bride in ''The Catered Affair'' (1956), and even appeared in a musical, ''The Best Things in Life Are Free'' (1956), playing a Broadway showman, the vast majority of the characters he played were villains. Military roles continued to beckon. One of his best known was as Lee Marvin's commanding officer in ''The Dirty Dozen'' (1967), about hardened prisoners on a World War II commando mission. He also starred in three television-movie sequels. But he worked in virtually every genre. Filmmakers cast him as a gangster, even in satirical movies like ''Spike of Bensonhurst'' (1988). He was in westerns like Sam Peckinpah's blood-soaked classic ''The Wild Bunch'' (1969) and crime dramas like ''Bad Day at Black Rock'' (1955). He played gruff police officers, like his character in the disaster blockbuster ''The Poseidon Adventure'' (1972), and bosses from hell, as in the horror movie ''Willard'' (1971). Twice he played a manager of gladiators, in ''Demetrius and the Gladiators'' (1954) and in the 1984 mini-series ''The Last Days of Pompeii.'' Mr. Borgnine's menacing features seemed to disappear when he flashed his trademark gaptoothed smile, and later in life he began to find good-guy roles, like the helpful taxi driver in ''Escape From New York'' (1981) and the title role in ''A Grandpa for Christmas,'' a 2007 television movie. ''McHale's Navy'' and the 1964 film inspired by it were his most notable forays into comedy, but in 1999 he began doing the voice of a recurring character, the elderly ex-superhero Mermaidman, in the animated series ''SpongeBob SquarePants.'' He continued to play that role until last year. He began his career on the stage but unlike many actors who had done the same, Mr. Borgnine professed to have no burning desire to return there. ''Once you create a character for the stage, you become like a machine,'' he told The Washington Post in 1969. In films, he said, ''you're always creating something new.'' Ermes Effron Borgnino was born on Jan. 24, 1917, in Hamden, Conn., near New Haven. His father was a railroad brakeman. His mother was said to be the daughter of a count, Paolo Boselli, an adviser to King Victor Emmanuel of Italy. The boy spent several years of his childhood in Italy, where his mother returned during a long separation from her husband. But they returned to Connecticut, and he graduated from high school there. He joined the Navy at 18 and served for 10 years. During World War II he was a gunner's mate. After the war he considered factory jobs, but his mother suggested that he try acting. Her reasoning, he reported, was, ''You've always liked making a damned fool of yourself.'' He studied at the Randall School of Drama in Hartford, then moved to Virginia, where he became a member of the Barter Theater in Abingdon and worked his way up from painting scenery to playing the Gentleman Caller in ''The Glass Menagerie.'' In the late 1940s he headed for New York, where by 1952 he was appearing on Broadway as a bodyguard in the comic fantasy ''Mrs. McThing,'' starring Helen Hayes. He had already made his movie debut playing a Chinese shopkeeper in the 1951 adventure ''China Corsair.'' Mr. Borgnine never retired from acting. In the 1980s he starred in another television series, the adventure drama ''Airwolf,'' playing a helicopter pilot. He took a supporting role as a bubbly doorman in the 1990s sitcom ''The Single Guy.'' His last film appearance was in ''The Man Who Shook the Hand of Vicente Fernandez,'' not yet released, in which he plays an elderly man who becomes a celebrity to Latino employees at the nursing home where he lives. On television, he was in the series finale of ''ER'' in 2009 and appeared in a cable film, ''Love's Christmas Journey,'' last year. His other films included ''The Vikings'' (1958); ''Ice Station Zebra'' (1968); ''Hoover'' (2000), in which he played J. Edgar Hoover; and ''Gattaca'' (1997). Mr. Borgnine, who lived in Beverly Hills, was married five times. In 1949 he married Rhoda Kemins, whom he had met when they were both in the Navy. They had a daughter but divorced in 1958. On New Year's Eve 1959 he and the Mexican-born actress Katy Jurado were married; they divorced in 1962. His third marriage was his most notorious because of its brevity. He and the Broadway musical star Ethel Merman married in late June 1964 but split up in early August. Mr. Borgnine later contended that Ms. Merman left because she was upset that on an international honeymoon trip he was recognized and she wasn't. In 1965 he married Donna Rancourt; they had two children before divorcing in 1972. In 1973 he married for the fifth and last time, to Tova Traesnaes, who under the name Tova Borgnine became a cosmetics entrepreneur. She survives him, as do his children, Christofer, Nancee and Sharon Borgnine; a stepson, David Johnson; six grandchildren; and his sister, Evelyn Verlardi. Asked about his acting methods in 1973, Mr. Borgnine told The New York Times: ''No Stanislavsky. I don't chart out the life histories of the people I play. If I did, I'd be in trouble. I work with my heart and my head, and naturally emotions follow.'' Sometimes he prayed, he said, or just reflected on character-appropriate thoughts. ''If none of that works,'' he added, ''I think to myself of the money I'm making.''"
58986,"Mary Lea Bandy, 71, Rescuer of Vintage Films","Mary Lea Bandy, who played a major role in the recovery and preservation of thousands of important films as director of the film department at the Museum of Modern Art, died on Sept. 20 in White Plains.","Mary Lea Bandy, who played a major role in the recovery and preservation of thousands of important films as director of the film department at the Museum of Modern Art, died on Sept. 20 in White Plains. She was 71. The cause was pulmonary and cardiac arrest, her husband, Gary, said, adding that she had never fully recovered from viral encephalitis contracted in 2005 and was in a nursing home. She retired in 2006. Ms. Bandy, who became director of MoMA's film department in 1980 and its chief curator in 1994, greatly expanded the museum's film collection and oversaw the construction of an $11.2 million preservation center for the archive in Pennsylvania. One hurdle she faced in saving older films, beyond the technical issues of restoration, was an early Hollywood convention of discarding a movie if there was no further profit to be made from it. Only about 10 percent of the films made from 1910 to 1920 and only 20 percent of the feature films made in the 1920s have survived intact, a 1993 report by the Library of Congress said. ''They thought of them as products like shoes,'' Ms. Bandy said in 1997 in ''The Race to Save 100 Years,'' a Turner Classic Movies documentary about the struggles to preserve decaying film. ''Once they were sold and run through their distribution process, they were finished.'' Ms. Bandy secured rare prints and negatives of films by silent-era directors like D. W. Griffith and Charlie Chaplin and early avant-garde filmmakers like Stan Brakhage and the artist Man Ray. She persuaded Jean-Luc Godard, Martin Scorsese and other contemporary directors to contribute prints of their films to MoMA. She also held screenings of many films from the archive and oversaw exhibitions like one in 2003 of Andy Warhol's Screen Tests, a series of short, silent, mid-1960s film portraits of dozens of notable people, including Susan Sontag, Bob Dylan, Marcel Duchamp and Lou Reed. In 1996 Ms. Bandy presided over the opening of the Celeste Bartos Film Preservation Center in Hamlin, Pa., in the Poconos near Scranton. The center stores MoMA's entire film archive, which now approaches 30,000 titles, many duplicates and millions of still photographs. The two-building, 36,000-square-foot complex has 56 climate-controlled vaults to keep the films in stable condition until they can undergo preservation. When it opened, The New York Times called it ''a cross between a library and a hospital.'' Mary Lea Gibson was born in Evanston, Ill., on June 16, 1943. She graduated from New Trier High School, north of Chicago, before studying art history at Stanford University. She went to New York in 1965 to pursue graduate studies at Columbia University, where she met Gary Bandy, an artist. They married in 1967. Besides her husband, she is survived by a brother, DeWitt Clinton Gibson III, and a sister, Barbara Peters. Ms. Bandy went to work in publishing rather than complete her graduate work. She joined MoMA's publications department in 1973. In 2012 she and the film scholar Kevin Stoehr collaborated on ''Ride, Boldly Ride: The Evolution of the American Western,'' published by University of California Press. The foreword is by Clint Eastwood, all of whose work is preserved by MoMA."
16141,"Lorenzo Bianco Schlick, Dancer, 61","Lorenzo Bianco Schlick, a dancer whose stage name was Larry Bianco, died on March 16 at his home in Brooklyn.","Lorenzo Bianco Schlick, a dancer whose stage name was Larry Bianco, died on March 16 at his home in Brooklyn. He was 61. The cause was cancer, his family said. Mr. Schlick studied ballet in New York City and made Russian and character dancing his specialty. He performed in the original Broadway production of ""Fiddler on the Roof"" with Zero Mostel, and in the movie version and the 1980 Broadway revival. He also danced with the International Dance Ensemble, the Volga Ensemble and other companies. Mr. Schlick is survived by his wife, Nancy Reisner Schlick; his mother, Pamela Bianco of Manhattan; and three stepchildren, Carla Schiffmann of Houston, Robert Schiffmann Jr. of Brooklyn and Erica Payne of Stroudsburg, Pa."
51942,"Hans W. Singer, 95, Creator Of U.N. Development Program","Hans Wolfgang Singer, an economist who devoted his life to analyzing the causes and effects of poverty and helped create the World Food Program and the United Nations Development Program, died in his sleep on Feb. 26 in Brighton, England.","Hans Wolfgang Singer, an economist who devoted his life to analyzing the causes and effects of poverty and helped create the World Food Program and the United Nations Development Program, died in his sleep on Feb. 26 in Brighton, England. He was 95. His death was announced by the University of Sussex, where he last worked. Sir Hans, who was knighted in 1994, was best known for his work on the effects of trade on developing nations. He argued that long-term trade agreements favor developed countries, resulting in falling prices for commodities produced by poorer nations, an idea that came to be known as the Prebisch-Singer thesis. He was born in 1910 in the Rhineland to a middle-class family. Originally he was to follow in his father's footsteps and become a doctor. But he turned to economics instead, drawn by a desire to understand the forces behind Germany's great inflation of 1923 and depression of 1930 and 1931, according to his biographer, John Shaw. As Nazi persecution of Jews increased, he fled Germany in 1933. He had been studying at Bonn University there, and he sought asylum in Britain. He became one of the Cambridge Ph.D students of the economist John Maynard Keynes. Like Keynes, Sir Hans ''treated economics as a moral science,'' noted A. P. Thirlwall, professor of applied economics at the University of Kent in Canterbury. For a study of poverty in Britain, Sir Hans lived with unemployed families and theorized that the loss of dignity that went with lack of work was as serious a problem as unemployment itself. In 1947, he joined the United Nations from Glasgow University, where he began studying the theories on trade and developing nations that earned him renown in economic circles. He spent 22 years at the United Nations, advocating changes to the treatment of developing nations, like giving aid in the form of food. After retiring from the United Nations, he took a fellowship at the Institute for Development Studies in Sussex University, where he published 30 books. Sir Hans was married to Ilse Lina Plaut, a feminist and fund-raiser, for 67 years until her death in 2001. He is survived by a son."
47311,"Juliette T. Benton, 92, Lecturer on Literature","Juliette T. Benton, a lecturer on books and plays who headed the Wednesday Book Group in New York for more than half a century, died on Sunday at her home in Manhattan.","Juliette T. Benton, a lecturer on books and plays who headed the Wednesday Book Group in New York for more than half a century, died on Sunday at her home in Manhattan. She was 92 years old. Mrs. Benton and several other women founded the weekly discussion group in 1932, and she became its head shortly afterward, continuing until it was disbanded in 1987. She was a freelance lecturer for several decades, organizing reading and discussion groups throughout the New York metropolitan area. She wrote book reviews for The Litchfield County Times in Connecticut until shortly before her death. Mrs. Benton was born in Darlington, S.C., and was a graduate of Hunter College. She was a founder and board member of the Muscular Dystrophy Association. She is survived by three sons, Dr. Louis J. Scheinman of Seattle, Walt Witcover of Manhattan and Tom Scheinman of Hewlett Bay Park, L.I.; five granddaughters and one great-granddaughter."
