what,count,examples
had,7,"In October 1997, Mr. Costello had a heart attack, and Larry Ellberger was named to act as chief executive during his recovery.||Mr. Bachman had degrees in mechanical engineering, a bachelor's from Michigan State College and a master's from the University of Pennsylvania.||Mr. Jackson had his first gold record when he was still in high school, performing on the instrumental ''Last Night'' with the Mar-Keys.||'Michael had no medium setting -- he was just full tilt all the time, thinking really fast, speaking fast, and a lot of his songs have the speed and agility of how he actually speaks,'' said Steven Cosson, the founder and artistic director of the Civilians and a frequent collaborator with Mr. Friedman. ''||When Mr. Shearing disbanded the group in 1978, it was less because listeners had grown tired of that instrumentation and sound (although the group's popularity, like that of mainstream jazz in general, had declined considerably) than because Mr. Shearing himself had. '"
served,6,"Mr. Hecht served one term in the Senate, and was defeated in his bid for a second term by Dick Bryan, a Democrat.||After graduation from Washington University in St. Louis in 1949, Mr. Hecht served as an Army counterintelligence agent in Berlin in 1952 and 1953.||Mr. Hecht served on the Banking, Housing and Urban Affairs Committee and was chairman of the Housing and Urban Affairs subcommittee.||During World War II Dr. Friedman served with the Army Air Forces as a medical officer.||A gastroenterologist, Dr. Friedman served for several years as a member of the staff of Georgetown University Hospital in Washington."
fired,1,"In a widely distributed statement, Stephen King, who acknowledged Mr. Matheson as an influence, said: ''Matheson fired the imaginations of three generations of writers."
graduated,6,"A native of West Chester, Pa., Mrs. Grinnell graduated from Goucher College in 1919 and joined the Metropolitan staff that year.||Dr. Traube graduated from Boston University's medical school in 1950, after taking time out from her studies to work in the defense industry.||Mr. Pickett, who was associate executive director for benefit plans for the Ministers and Missionaries Board of the American Baptist Churches, graduated with honors from Denison University in 1953 and from the Yale Divinity School in 1956, the year he was ordained and the year he became the director of campus ministry at Ball State University in Muncie, Ind.||Born in Toulouse, Mr. Galy graduated from the University of Toulouse and received a degree in modern and contemporary history in 1942.||A voracious reader as a boy, Mr. Matheson graduated from Brooklyn Technical High School."
entered,1,"Sister Ann, who was born in Texas City, entered the Society of the Holy Child Jesus in 1940 and took her final vows in 1948."
found,2,"Yet it was the application of computing to business problems -- rather than business itself -- that Mr. Bachman found appealing. ''||They branched out to found Esso Pappas, an industrial complex in Greece."
co,2,"Dorothy Fox Crossley, co-founder of the Crossley public opinion poll in the 1930's, died May 28 in Princeton, N.J., where she had lived.||Dorothy Fox Crossley, co-founder of the Crossley public opinion poll in the 1930's, died May 28 in Princeton, N.J., where she had lived."
falling,1,"Saigon was falling and the United States was fleeing, desperately evacuating the last of its embassy staff and C.I.A. officers in the final, chaotic hours of April 1975."
prompted,1,"The annexation of Austria by Nazi Germany in 1938 prompted Professor Mark to start a journey that ended three years later in Brooklyn where he accepted a professorship at the Polytechnic Institute, now Polytechnic University."
brandished,1,"Addressing the chamber in support of the bill, Assemblyman Burrows suddenly brandished a switchblade knife, snapped its catch and swished its four-inch blade through the air."
