"OCC","term","synset"
1,"satrap","politician.n.01"
1,"mayoress","politician.n.01"
1,"congressman","politician.n.01"
1,"governor","politician.n.01"
1,"floor leader","politician.n.01"
1,"representative","politician.n.01"
1,"Khedive","politician.n.01"
1,"deputy","politician.n.01"
1,"state senator","politician.n.01"
1,"alcalde","politician.n.01"
1,"governor general","politician.n.01"
1,"nawab","politician.n.01"
1,"rep","politician.n.01"
1,"ex-mayor","politician.n.01"
1,"majority leader","politician.n.01"
1,"eparch","politician.n.01"
1,"vicereine","politician.n.01"
1,"burgomaster","politician.n.01"
1,"legislator","politician.n.01"
1,"margrave","politician.n.01"
1,"party whip","politician.n.01"
1,"nabob","politician.n.01"
1,"whip","politician.n.01"
1,"congresswoman","politician.n.01"
1,"senator","politician.n.01"
1,"city manager","politician.n.01"
1,"exarch","politician.n.01"
1,"military governor","politician.n.01"
1,"minority leader","politician.n.01"
1,"backbencher","politician.n.01"
1,"Member of Parliament","politician.n.01"
1,"frontbencher","politician.n.01"
1,"bey","politician.n.01"
1,"proconsul","politician.n.01"
1,"Parliamentarian","politician.n.01"
1,"mayor","politician.n.01"
1,"burgrave","politician.n.01"
1,"filibusterer","politician.n.01"
1,"filibuster","politician.n.01"
1,"viceroy","politician.n.01"
1,"crossbencher","politician.n.01"
270,"soubrette","portrayal.n.02"
270,"villain","portrayal.n.02"
270,"ingenue","portrayal.n.02"
270,"heroine","portrayal.n.02"
270,"impression","portrayal.n.02"
270,"role","portrayal.n.02"
270,"title role","portrayal.n.02"
270,"part","portrayal.n.02"
270,"theatrical role","portrayal.n.02"
270,"baddie","portrayal.n.02"
270,"bit part","portrayal.n.02"
270,"hero","portrayal.n.02"
270,"persona","portrayal.n.02"
270,"minor role","portrayal.n.02"
270,"heavy","portrayal.n.02"
270,"character","portrayal.n.02"
270,"name part","portrayal.n.02"
306,"orthopedist","doctor.n.01"
306,"veterinary surgeon","doctor.n.01"
306,"sawbones","doctor.n.01"
306,"head-shrinker","doctor.n.01"
306,"dermatologist","doctor.n.01"
306,"diagnostician","doctor.n.01"
306,"radiotherapist","doctor.n.01"
306,"ear doctor","doctor.n.01"
306,"diplomate","doctor.n.01"
306,"ENT man","doctor.n.01"
306,"interne","doctor.n.01"
306,"anesthesiologist","doctor.n.01"
306,"general practitioner","doctor.n.01"
306,"accoucheur","doctor.n.01"
306,"ear-nose-and-throat doctor","doctor.n.01"
306,"embryologist","doctor.n.01"
306,"specialist","doctor.n.01"
306,"rheumatologist","doctor.n.01"
306,"baby doctor","doctor.n.01"
306,"angiologist","doctor.n.01"
306,"pediatrician","doctor.n.01"
306,"neurosurgeon","doctor.n.01"
306,"gastroenterologist","doctor.n.01"
306,"perinatologist","doctor.n.01"
306,"analyst","doctor.n.01"
306,"pediatrist","doctor.n.01"
306,"otorhinolaryngologist","doctor.n.01"
306,"etiologist","doctor.n.01"
