fn,words,first500
Indobit-A-NYT2009 - Jan 1 - March 31-18.txt,"[""sailor""]","
 Nick Scandone, a sailing gold medalist at the Beijing Paralympics and a former
 United States Yachtsman of the Year, died early Friday morning at his home in
 Fountain Valley, Calif., after a six-year battle with  Lou Gehrig's disease. He
 was 42.
 The cause was respiratory failure, a complication of amyotrophic lateral
 sclerosis, a progressive neurodegenerative disease, his wife, Mary Kate
 Scandone, said Sunday.
 Scandone was a rising star in the sailing world in the 1980s and '90s. Born on"
Indobit-A-NYT2010_1001-1202-3.txt,"[""film actor"", ""draughtsperson"", ""comics artist"", ""artist"", ""visual artist"", ""biographer"", ""writer"", ""actor"", ""non-fiction writer""]","
 Palle Huld, a Danish actor whose fleet, youthful and highly public
 circumnavigation of the globe as a cowlicked teenager is believed to have
 inspired the popular comic-book character Tintin, died on Nov. 26 in Copenhagen.
 He was 98.
 His death was widely reported in Danish newspapers.
 Created by the Belgian artist Herge (the pseudonym of Georges Remi), Tintin was
 a snub-nosed teenage reporter who traveled the world with his trusty dog, Snowy,
 doing good deeds and foiling bad men.
 The ch"
Indobit-A-NYT1989 - March 1 - April 30-391.txt,"[""politician""]","
 Raul Sendic, the founder of the leftist Tupamaro guerrilla movement in Uruguay,
 died late Thursday at a clinic in Paris after a long illness. He was 64 years
 old and had gone to France several weeks ago from Uruguay seeking treatment.
 A spokesman at the clinic where Mr. Sendic sought treatment declined to comment
 on the cause of death. Reuters reported that people close to Mr. Sendic said he
 had suffered from a neurological ailment known as Charcot's Joints, which
 affects the muscles and"
Indobit-A-NYT1993 - July 1 - Aug 31-212.txt,"[""humanities scholar"", ""researcher"", ""historian"", ""writer"", ""non-fiction writer"", ""scientist""]","
 Albert Prago, a scholar of Latin American history and Marxist economics and a
 Lincoln Brigade veteran of the Spanish Civil War, died on Tuesday at the
 Convalescent Care Center at West Palm Beach, Fla. He was 81 and lived in West
 Palm Beach.
 The cause was cancer of the spine, said his nephew, Clifford Irving, the
 novelist.
 Dr. Prago taught labor history and Latin American history in the adult division
 of the New School for Social Research in Manhattan from 1979 to 1982 and at
 Hofstra on"
Indobit-A-NYT2008_501-1000-219.txt,"[""painter"", ""artist"", ""visual artist""]","
 George Deem, a painter who admired master painters so much that he spent his own
 career repainting their works, albeit with clever alterations, died on Aug. 11
 at home in Manhattan. He was 75.
 The cause was lung cancer, said Ronald Vance, his assistant.
 If imitation is a sincere form of flattery, Mr. Deem's admiration of his
 artistic forebears was carried out on his own canvases. Gifted at reproduction,
 he concentrated on making explicit references to other painters and other
 paintings,"
Indobit-A-NYT1999 - Oct 1 - Dec 31-177.txt,"[""Anglican priest"", ""clergyman"", ""presbyter"", ""priest"", ""cleric"", ""religious servant"", ""cricketer"", ""minister"", ""religious""]","
 Judge Charles G. Sweet, who helped supervise the trials of several of the nine
 people charged in the killing of the labor leader Joseph A. Yablonski and his
 wife and daughter 30 years ago, died on Oct. 31 at a nursing home in Tampa, Fla.
 He was 81.
 Judge Sweet, who had been living for the last few years in a Tampa retirement
 community, was president judge on the Common Pleas Court in Washington County,
 Pa., from 1964 to 1984.
 From 1970 until 1974, he helped oversee long and complex crim"
Indobit-A-NYT2006_1001-1372-216.txt,"[""warrior"", ""soldier"", ""military personnel""]"," LONDON, Nov. 22
 Sir Edward Ford, a royal courtier who provided Queen Elizabeth II with the
 memorable phrase ''annus horribilis'' to describe her troubles in 1992, died
 Sunday. He was 96.
 His death was announced by his family in a notice published Tuesday in The Times
 of London.
 Sir Edward joined the palace staff in 1946 and was the queen's assistant private
 secretary from her accession in 1952 until he retired in 1967.
 In a letter to the queen in 1992, after the collapse of the marriage"
Indobit-A-NYT1989 - Jan 1 - Feb 28-18.txt,"[""naturalist"", ""ornithologist"", ""zoologist"", ""researcher"", ""biologist"", ""scientist""]","
 Oliver L. Austin Jr., an ornithologist who wrote a definitive study, ''Birds of
 the World,'' in 1961 and who was curator emeritus of ornithology at the Florida
 Museum of Natural History, died Saturday at his retirement home in Gainesville,
 Fla. He was 85 years old and had lived for many years in Tuckahoe, N.Y., and in
 Wellfleet. Mass.
 In 1929, Dr. Austin and his father, a surgeon, founded the Austin Ornithological
 Research Station in Wellfleet, which he directed for a quarter-century bef"
Indobit-A-NYT2009 - July 1 - Sep 30-117.txt,"[""fiddler"", ""violinist"", ""performer"", ""singer"", ""artist"", ""instrumentalist"", ""musician"", ""vocalist""]","
 Mike Seeger, a singer and multi-instrumentalist who played an important role in
 the folk revival of the 1950s and '60s, died on Friday at his home in Lexington,
 Va. He was 75.
 The cause was multiple myeloma, a form of blood cancer, said his wife, Alexia
 Smith.
 Although a quieter voice on the national stage than his politically outspoken,
 older half-brother, Pete, Mike Seeger was a significant force in spreading the
 music of preindustrial America during an increasingly consumerist era. I"
Indobit-A-NYT1992_1-500-450.txt,"[""singer"", ""artist"", ""jazz musician"", ""vocalist"", ""musician""]"," CALABASAS, Calif., March 17
 Barbara Morrison, an actress whose film credits include ""My Fair Lady"" and ""From
 Here to Eternity,"" died on March 12 at the Motion Picture and Television
 Hospital in Woodland Hills, Calif. She was 84 years old.
 She died of heart failure, said a hospital spokeswoman, Louella Benson.
 Miss Morrison was born in Weston-super-Mare, England, and graduated from the
 Royal Academy of Dramatic Arts in London. She made her American debut in the
 Chicago production of ""Drea"
